Index	Bogennummer	REDE_Namen	Sprache	tu	hinein	etwas	kohle	in1	den	ofen	dass	wird	die	milch	bald	zu	kochen	anfangen
ab	10300	Welterod	1	Don - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kulle - - - - - - -	en - -	de	Uwe - - - - - -	deß - -	- - - - - -	dej	Milch -	bal - - - - - - - -	ze -	koche - -	onfangt - -
ab	10315	Bleidenstadt	1	Dhu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohln - - - - - - -	in - -	de	Owe - - - - - -	daß - -	- - - - - -	die	Milch -	baal - - - - - - - -	ſe -	kochn - -	anfängt - -
ab	10335	Espeler	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuolle - - - - - - -	on - -	de	Uowe - - - - - -	dat - -	- - - - - -	-	Mälh -	- jeng - - - - - - -	zu -	kooche - -	anfängt - -
ab	1035	Stobno	1	Dug - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kaualo - - - - - - -	in - -	o	Auwo - - - - - -	dat - -	- - - - - -	de	Mälk -	ball - - - - - - - -	t -	kaukon - -	anfenkt - -
ab	10351	Brandscheid	1	Dhu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohlen - - - - - - -	an - -	den	Ofen - - - - - -	dat - -	- - - - - -	die	Melch -	bald - - - - - - - -	zu -	kouchen - -	anfängt - -
ab	10368	Büdesheim	1	Dou - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kollen - - - - - - -	aon - -	d'n	Owen - - - - - -	daot - -	- - - - - -	de	Mälech -	baal - - - - - - - -	ze -	kauche - -	aonnfängt - -
ab	10381	Waldkönigen	1	Doh - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kollen - - - - - - -	one - -	dn	Owen - - - - - -	dat - -	- - - - - -	de	Melch -	bal - - - - - - - -	ſe -	kooche - -	änfängt - -
ab	1050	Krostkowo	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kaule - - - - - - -	i - -	de	Auwe - - - - - -	dat - -	- - - - - -	dei	Melk -	bal - - - - - - - -	tho -	kauke - -	fangt - -
ab	10584	Kalenborn	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kollen - - - - - - -	en - -	d	Owwen - - - - - -	dat - -	- - - - - -	de	Mellech -	bal - - - - - - - -	zu -	kochen - -	anfängd - -
ab	10601	Gappenach	1	De - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kolle - - - - - - -	en - -	de	Owe - - - - - -	dat - -	- - - - - -	de	Melech -	- jeleich - - - - - - -	ſe -	koche - -	anfängt - -
ab	10621	Rhens	1	Doh - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohle - - - - - - -	en - -	dä	Owe - - - - - -	dat - -	- - - - - -	de	Melch -	bal - - - - - - - -	ze -	koche - -	onfängt - -
ab	10649	Attenhausen	1	Dou - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhle - - - - - - -	en - -	de	Uwe - - - - - -	deß - -	- - - - - -	die	Milch -	bal - - - - - - - -	ze -	koche - -	ofängt - -
ab	10663	Heringen	1	Dou - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohle - - - - - - -	in - -	de	Ohwe - - - - - -	deß - -	- - - - - -	de	Milch -	bahl - - - - - - - -	ze -	koche - -	onfängt - -
ab	10690	Honsfeld	1	Doh - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kollen - - - - - - -	en - -	den	Ofen - - - - - -	dat - -	- - - - - -	de	Melch -	- - - - - - - - -	ze -	koochen - -	anfängt - -
ab	10697	Dahlem	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kolle - - - - - - -	en - -	de	Oefe - - - - - -	dat - -	- - - - - -	de	melch -	bal - - - - - - - -	ze -	kauche - -	anfängt - -
ab	10709	Aremberg	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kollen - - - - - - -	en - -	den	Ofen - - - - - -	dat - -	- - - - - -	die	Melch -	bal - - - - - - - -	zu -	kauchen - -	anfängt - -
ab	10736	Hohenleimbach	1	Don - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kolle - - - - - - -	en - -	de	Owe - - - - - -	dat - -	- - - - - -	de	Mellech -	bahl - - - - - - - -	ze -	koche - -	enfängd - -
ab	10857	Hatzfeld (Eder)	1	Du - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohln - - - - - - -	en - -	dä	Owe - - - - - -	deß - -	- - - - - -	de	Mälche -	bahle - - - - - - - -	ze -	koche - -	ohnfängt - -
ab	10974	Haindorf	1	Dou - - - - - - - - - - -	- - - -	- - - - - - - - - -	Koll'n - - - - - - -	in - -	-	Ofe - - - - - -	daß - -	- - - - - -	de	Melich -	bal - - - - - - - -	ze -	koche - -	oufängt - -
ab	110	Rozpedziny	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohle - - - - - - -	in - -	de	Ofe - - - - - -	dat - -	- - - - - -	de	Melk -	bol - - - - - - - -	to -	koke - -	anfängt - -
ab	11132	Schwarzwald	1	Du - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kolln - - - - - - -	in - -	den	Uefen - - - - - -	daß - -	- - - - - -	de	Melich -	bal - - - - - - - -	ze -	kochen - -	oanfängt - -
ab	11149	Wipfra	1	Thuk - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kollen - - - - - - -	in - -	dn	Uefen - - - - - -	daß - -	- - - - - -	de	Melch -	bahl - - - - - - - -	ze -	kochen - -	oanfängkt - -
ab	11180	Remda	1	Tuck - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kolln - - - - - - -	in - -	-	Ufen - - - - - -	daß - -	- - - - - -	de	Melch -	bald - - - - - - - -	z' -	kochen - -	anfängt - -
ab	11197	Zeutsch	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhln - - - - - - -	in - -	-	Ufen - - - - - -	daß - -	- - - - - -	die	Milch -	bald - - - - - - - -	- mitzu	kuchen - -	ohnfängt - -
