Index	Bogennummer	REDE_Namen	Sprache	WS9::Transliteration WS9
ab	10029	Ringhuscheid	1	- Duh - - - Kuoallen - oan dän Uoawän, - - dat - - - Mölech - bahl - - an - zu koachen fängt. - -
ab	10044	Malberg	1	- Duh - - - Koehlen - an den Oowen, - - dat - - de Meleg - bahl - - - ofängt ze koochen. - - -
ab	1009	Nowy Klukom	1	- Duch - - - Kohla - in da Owa, - - dat - - de Mälk - bal - - a - tho kauka fängt. - -
ab	1018	Lasko K Choszczna	1	- Do - - - Kohla - in na Owa, - - dat - - de Melk - bal - - an - to koake fängt. - -
ab	10215	Pantenburg	1	- Dou - - - Kolln - an den Offen, - - dat - - die Mölich - geleich - - - ofängt ſe koachen. - - -
ab	1023	Golin	1	- Do - - - Kahle - i de Awe, - - dat - - do Melk - - - - an - to kaken fängt. - -
ab	10230	Beuren	1	- De - - - Kollen - on de Owen, - - dat - - de Melch - geleich - - - - - koocht. - - -
ab	10259	Mörsdorf	1	- Do - - - Kolle - in de Owe, - - dat - - de Melech - bal - - an - ſe koche fängt. - -
ab	10275	Badenhard	1	- Duh - - - Kohlen - en dä Oewen, - - dat - - die Meilch - bald - - an - zu kochen fängt. - -
ab	1029	Niekursko	1	- Dug - - - Kaualo - in 'o Auwo, - - det - - d' Melk - bal - - an - 't kaukun fängt. - -
ab	10300	Welterod	1	- Don - - - Kulle - en de Uwe, - - deß - - dej Milch - bal - - on - ze koche fangt. - -
ab	10315	Bleidenstadt	1	- Dhu - - - Kohln - in de Owe, - - daß - - die Milch - baal - - - anfängt ſe kochn. - - -
ab	10335	Espeler	1	- Do - - - Kuolle - on de Uowe, - - dat - - - Mälh - jeng - - an - zu kooche fängt. - -
ab	1035	Stobno	1	- Dug - - - Kaualo - in o Auwo, - - dat - - de Mälk - ball - - an - t kaukon fenkt. - -
ab	10351	Brandscheid	1	- Dhu - - - Kohlen - an den Ofen, - - dat - - die Melch - bald - - an - zu kouchen fängt. - -
ab	10368	Büdesheim	1	- Dou - - - Kollen - aon d'n Owen, - - daot - - de Mälech - baal - - aonn - ze kauche fängt. - -
ab	10381	Waldkönigen	1	- Doh - - - Kollen - one dn Owen, - - dat - - de Melch - bal - - än - ſe kooche fängt. - -
ab	1050	Krostkowo	1	- Thu - - - Kaule - i de Auwe, - - dat - - dei Melk - bal - - - - tho kauke fangt. - -
ab	10584	Kalenborn	1	- Do - - - Kollen - en d Owwen, - - dat - - de Mellech - bal - - an - zu kochen fängd. - -
ab	10601	Gappenach	1	- De - - - Kolle - en de Owe, - - dat - - de Melech - jeleich - - an - ſe koche fängt. - -
ab	10621	Rhens	1	- Doh - - - Kohle - en dä Owe, - - dat - - de Melch - bal - - on - ze koche fängt. - -
ab	10649	Attenhausen	1	- Dou - - - Kuhle - en de Uwe, - - deß - - die Milch - bal - - o - ze koche fängt. - -
ab	10663	Heringen	1	- Dou - - - Kohle - in de Ohwe, - - deß - - de Milch - bahl - - - onfängt ze koche. - - -
ab	10690	Honsfeld	1	- Doh - - - Kollen - en den Ofen, - - dat - - de Melch - - - - an - ze koochen fängt. - -
ab	10697	Dahlem	1	- Do - - - Kolle - en de Oefe, - - dat - - de melch - bal - - an - ze kauche fängt. - -
ab	10709	Aremberg	1	- Do - - - Kollen - en den Ofen, - - dat - - die Melch - bal - - an - zu kauchen fängt. - -
ab	10736	Hohenleimbach	1	- Don - - - Kolle - en de Owe, - - dat - - de Mellech - bahl - - en - ze koche fängd. - -
ab	10857	Hatzfeld (Eder)	1	- Du - - - Kohln - en dä Owe, - - deß - - de Mälche - bahle - - ohn - ze koche fängt. - -
ab	10974	Haindorf	1	- Dou - - - Koll'n - in - Ofe, - - daß - - de Melich - bal - - ou - ze koche fängt. - -
ab	110	Rozpedziny	1	- Do - - - Kohle - in de Ofe, - - dat - - de Melk - bol - - an - to koke fängt. - -
ab	11132	Schwarzwald	1	- Du - - - Kolln - in den Uefen, - - daß - - de Melich - bal - - oan - ze kochen fängt. - -
ab	11149	Wipfra	1	- Thuk - - - Kollen - in dn Uefen, - - daß - - de Melch - bahl - - - oanfängkt ze kochen. - - -
ab	11180	Remda	1	- Tuck - - - Kolln - in - Ufen, - - daß - - de Melch - bald - - an - z' kochen fängt. - -
ab	11197	Zeutsch	1	- Thu - - - Kuhln - in - Ufen, - - daß - - die Milch - bald - - ohn - mitzu kuchen fängt. - -
ab	11212	Breitenhain	1	- Thu - - - Kuhlen - in - Ufen, - - daß - - de Milch - bald - - an - zu kochen fängt. - -
ab	11230	Burkersdorf	1	- Thu - - - Kuhlen - in - Ufen, - - daß - - die Milch - balle - - ohn - zu kuchen fängt. - -
