Index	Bogennummer	REDE_Namen	Sprache	tu	leg	mach	schmeiß	schütt	stopp	steck	gooi	wirf	krieg	holz	gib	Kohle	Scheid	Holz	Grüß	Feuer	Glut	Brand	Torf	in	op	bei	den	Ofen	Kachel	Herd	Stoof	Küche	Feuer2	Kachelofen	dass	dann	damit	tut	wird	soll	kann	beginnt	geht	die	Milch	Rahm	bald	gleich	geschwind	gauw	schnell	rasch	enta	hortig	vlug	zu	mit	kochen	sieden	wellen	anfangen	anheben	ankommen
cd	1758	Brasdorf (Antonovka)	1	- - -	-	-	-	sch ö dd	-	-	-	-	-	-	-	k oa - l e -	-	-	-	-	-	-	-	e n	-	-	e	- oa - w e - -	-	-	-	-	-	-	d a tt	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b oh l - - -	-	-	-	-	-	-	-	-	t o	-	k oa - k e - -	-	-	a n - f a ng - t -	-	-
cd	17585	Mladetzko (Mladecko)	1	- - -	l ä	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	i n	-	-	-	- u - f - n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	b aa l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch - n -	-	-	o - - f ä ng - t -	-	-
cd	17643	Seibersdorf (Bělá)	1	- - -	-	m o ch	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	ei n	-	-	-	- o - f - n -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d a r	m e - ll i ch -	-	b o l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch - n -	-	-	o - - f e ng - t -	-	-
cd	17659	Bernhau (Barnov)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k o - ll - n	-	-	-	-	-	-	-	ei n	-	-	-	- o - f - n -	-	-	-	-	-	-	d ao ß	-	-	-	-	-	-	-	-	d e	m e - ll i ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e n -	-	-	o - - f ä ng - t -	-	-
cd	17680	Klantendorf	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	a n	-	-	-	- ou - w e - -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d	m e - l i ch -	-	b a ll t - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e - -	-	-	ao - - f ä ng - t -	-	-
cd	17687	Engelswald (Mošnov)	1	- - -	l äh	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	-	-	-	-	- - - - - - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m e - ll e ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e - -	-	-	o - - f ä ng - t -	-	-
cd	17698	Nirklowitz (Mrsklesy)	1	- - -	l ä g	-	-	-	-	-	-	-	-	-	-	- - - - - -	-	-	-	-	-	-	-	-	-	-	-	- - - - - - -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d ie	m e - l e ch -	-	b a l d - -	-	-	-	-	-	-	-	-	-	-	k ou - ch - t -	-	-	- - - - - - - - -	-	-
cd	17713	Punkendorf (Boňkov)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	ei n	-	-	-	- u - f - n -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d e	m e - ll e ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch - n -	-	-	o - - f ä ng - t -	-	-
cd	1772	Groß Goldbach (Slavinsk)	1	d oh -	-	-	-	-	-	-	-	-	-	-	-	k oah - l e -	-	-	-	-	-	-	-	e n	-	-	e	- oa - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b o l d - -	-	-	-	-	-	-	-	-	t o	-	k oa - k e - -	-	-	a n - f a ng - t -	-	-
cd	17726	Halbendorf (Polouvsí)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	a n	-	-	-	- o - f e - -	-	-	-	-	-	-	d oa ß	-	-	-	-	-	-	-	-	d e	m e - ll i ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e - -	-	-	o n - f ä ng - t -	-	-
cd	17737	Senftleben (Ženklava)	1	- - -	l e	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	-	-	-	-	- - - - - - -	-	-	-	-	-	-	d o s	-	-	-	-	-	-	-	-	d e	m e - l e ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e - -	-	-	o - - f e ng - t -	-	-
cd	-17739	Polanka Wielka	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	i n	-	-	d e	- o - f e - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e - -	-	-	o - - f a ng - t -	-	-
cd	-17744	Bulowice	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e n	-	-	-	-	-	-	-	i m	-	-	-	- o - f e n -	-	-	-	-	-	-	d a ß	-	-	-	w e r d	-	-	-	-	d ie	m i - l - ch -	-	b a l t - -	-	-	-	-	-	-	-	-	-	-	k o - ch e n -	-	-	- - - - - - - - -	-	-
cd	-17746	Chocznia	1	t ou -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- u - b e - -	-	-	-	-	-	-	d a s	-	-	-	-	s o ll	-	-	-	d	m i - l - ch -	-	- - - - - -	-	g sch w i n e	-	-	-	-	-	-	-	-	k o - ch - n -	-	-	- - - - - - - - -	-	-
cd	-17749	Alt-Bielitz (Stare Bielesko)	1	t ü -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	e n	-	-	-	- öu - w a - -	-	-	-	-	-	-	d o	-	-	-	-	-	-	-	-	d ie	m e - l i ch -	-	b a l d e -	-	-	-	-	-	-	-	-	z o	-	k o - ch a - -	-	-	o - - f a ng - t -	-	-
cd	17759	Linz (Mlýnec)	1	t ou -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ua - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b o l - - -	-	-	-	-	-	-	-	-	z i n	-	k o - ch - n -	-	-	o - - f o ng - t -	-	-
cd	17782	Kohlheim (Uhliště)	1	t ou -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d e	m i - l - - -	-	b o l d - -	-	-	-	-	-	-	-	-	s	-	k o - ch a - -	-	-	o - - f o ng - t -	-	-
cd	17792	Čachrau (Čachrov)	1	t ou -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d	m - - ll - - -	-	- - - - - -	g l ei	-	-	-	-	-	-	-	-	-	- - - - - - -	s ui d	-	- - - - - - - - -	-	-
cd	17801	Hurkental (Hůrka)	1	t ou -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - - -	-	- - - - - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ui d n	-	o - - f o ng - t -	-	-
cd	17824	Rotsaifen (Červená)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k oi - ll a n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - - -	-	b o l d - -	-	-	-	-	-	-	-	-	z o n	-	- - - - - - -	s ui d n	-	o - - f o ng - t -	-	-
cd	17832	Winterberg (Vimberk)	1	d ua -	-	-	-	-	-	-	-	-	-	-	-	k u - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m ie - l - - -	-	b u l d - -	-	-	-	-	-	-	-	-	z	-	k ou - ch a - -	-	-	a n - f a ng - t -	-	-
cd	17843	Sehrlenz (Ždírec)	1	t eju -	-	-	-	-	-	-	-	-	-	-	-	k ou - l - n	-	-	-	-	-	-	-	-	-	-	-	- - - - - - -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	d	m i - l i - -	-	p au l - - -	-	-	-	-	-	-	-	-	-	-	k ouh - - - t -	-	-	- - - - - - - - -	-	-
cd	17854	Irsching (Jiřín)	1	t ou -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - w a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l i - -	-	b o l d - -	-	-	-	-	-	-	-	-	z a n	-	k ou - ch a - -	-	-	o n - f a ng - t -	-	-
cd	17862	Hilbersdorf (Jihlava-Heroltice)	1	t ou -	-	-	-	-	-	-	-	-	-	-	-	k oi - - - n	-	-	-	-	-	-	-	i n	-	-	-	- o - b ə - -	-	-	-	-	-	-	d o s	-	-	-	-	-	-	-	-	t	m i - l e - -	-	b o i d - -	-	-	-	-	-	-	-	-	-	-	k o - ch - t -	-	-	- - - - - - - - -	-	-
cd	17876	Sollowitz (Salavice)	1	t ou -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m i - l i - -	-	b o l - - -	-	-	-	-	-	-	-	-	z a	-	k o - ch - n -	-	-	o - - f o ng - t -	-	-
cd	17878	Stannern (Stonařov)	1	t ou -	-	-	-	-	-	-	-	-	-	-	-	k öh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d	m - - l i - -	-	b o l d - -	-	-	-	-	-	-	-	-	z a	-	k o - ch - n -	-	-	o - - f o ng - t -	-	-
cd	17881	Riegerschlag (Lodhéřov)	1	t ui -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f a - -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	-	m i - l i - -	-	b o l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ui t	-	- - - - - - - - -	-	-
de	17882	Wenkerschlag (Dolní Radouň)	1	t ui -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l i - -	-	b o l d - -	-	-	-	-	-	-	-	-	z a n	-	- - - - - - -	s ui n	-	ou - - f ou nk - t -	-	-
de	17884	Buchen (Buk)	1	- - -	l ei g	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f ä - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll i - -	-	b o l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ui t	-	- - - - - - - - -	-	-
de	17895	Hosterschlag (Člunek)	1	t ui -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - ll i - -	-	b o l d - -	-	-	-	-	-	-	-	-	z a n	-	k ou - ch a - -	-	-	ou - - f ou ng - t -	-	-
de	17898	Lipolz (Lipolec)	1	t ui -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	a n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m ü - l i - -	-	b o l d - -	-	-	-	-	-	-	-	-	-	-	k ou - ch - t -	-	-	- - - - - - - - -	-	-
de	17940	Czernowitz (Černovice)	1	t uj -	-	-	-	-	-	-	-	-	-	-	-	k ou - l i n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f a - -	-	-	-	-	-	-	d o s	-	-	-	-	-	-	-	-	d	m i - ll i ch -	-	b o l d - -	-	-	-	-	-	-	-	-	z	-	k ou - ch a - -	-	-	ou - - f ä ng - t -	-	-
de	17942	Gundrum (Komořany)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k ea - l - n	-	-	-	-	-	-	-	a n	-	-	-	- o - m oea - -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d ea	m - - ll ea ch -	-	p o l d - -	-	-	-	-	-	-	-	-	z ea	-	k ou - ch ea - -	-	-	- - - - - - - - -	a n h e j p t	-
de	17956	Prahlitz (Pravlov)	1	t ui -	-	-	-	-	-	-	-	-	-	-	-	k u - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f a - -	-	-	-	-	-	-	d o s	-	-	t ui t	-	-	-	-	-	d ie	m i - ll i - -	-	b o l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a - -	-	-	- - - - - - - - -	-	-
de	17961	Woikowitz (Vojkovice)	1	- - -	l e g	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- u - f - n -	-	-	-	-	-	-	d a ß t	-	-	-	-	-	-	-	-	d ie	m i - ll i - -	-	- - - - - -	-	-	-	-	-	eh a	-	-	-	-	k u - ch - t -	-	-	- - - - - - - - -	-	-
de	17967	Sub-Lechnitz (Lechnica)	1	th u -	-	-	-	-	-	-	-	-	-	-	-	kh o - l a -	-	-	-	-	-	-	-	i n	-	-	t a	- o - b a - -	-	-	-	-	-	-	t a s	-	-	-	-	-	-	-	-	t ie	m i - ll i ch -	-	p a l t - -	-	-	-	-	-	-	-	-	z u	-	k o - ch a - -	-	-	o n - f a nk - t -	-	-
de	17968	Topportz (Toporec)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k äu - l e n	-	-	-	-	-	-	-	i n	-	-	-	- ü - b - n -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d ie	m e - l o ch -	-	b o l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch - n -	-	-	- - - - - - - - -	o n h e b t	-
de	17972	Hobgard (Chmeľnica)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k uh - - - n	-	-	-	-	-	-	-	e n	-	-	s	t u - b - n -	-	-	-	-	-	-	d a t z	-	-	-	w e t	-	-	-	-	d ie	m eui - - - ch -	-	b au - d - -	-	-	-	-	-	-	-	-	-	-	k o - ch - n -	-	-	- - - - - - - - -	-	-
de	17981	Neu Walddorf (Nová Lesná)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k äu - l e n	-	-	-	-	-	-	-	e n	-	-	-	d u - b e n -	-	-	-	-	-	-	d o s	-	-	-	-	-	-	-	-	d i	m e - l i ch -	-	- - - - - -	-	sch u n t	-	-	-	-	-	-	-	-	k u - ch - t -	-	-	- - - - - - - - -	-	-
de	17993	Durelsdorf (Tvarožná)	1	- - -	l e g	-	-	-	-	-	-	-	-	-	-	- - - - - -	-	-	-	-	-	-	-	-	-	-	-	- - - - - - -	-	-	-	-	-	-	d a t z	-	-	-	-	-	-	-	-	d ie	m e - l i ch -	-	- - - - - -	-	-	-	-	-	-	-	-	z u	-	k o - ch - n -	-	-	o n - f ä ng - t -	-	-
de	17999	Leutschau (Levoča)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k äu - l e n	-	-	-	-	-	-	-	e n	-	-	-	- äu - b e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m e - ll i ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e n -	-	-	o n - f ä ng - t -	-	-
de	180	Galowo	1	d au -	-	-	-	-	-	-	-	-	-	-	-	k oa - l e -	-	-	-	-	-	-	-	i d	-	-	d e	- oa - w e - -	-	-	-	-	-	-	d a tt	-	-	-	-	-	-	-	-	d ei	m e - l - k -	-	b a ll - - -	-	-	-	-	-	-	-	-	t au	-	k oa - k e n -	-	-	a - - f ä ng - t -	-	-
de	18000	Zipser Neudorf (Spišská Nová Ves)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e n	-	-	-	-	-	-	-	e n	-	-	-	- au - b e n -	-	-	-	-	-	-	d a ss	-	-	-	-	-	-	-	-	d ie	m e - ll i ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e n -	-	-	o n - f ä ng - t -	-	-
de	18001	Wagendrüssel (Nálepkovo)	1	- - -	l g	-	-	-	-	-	-	-	-	-	-	k ouh - l - n	-	-	-	-	-	-	-	n	-	-	-	- ou - b - n -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	d e	m - - l i ch -	-	p a l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch - t -	-	-	- - - - - - - - -	-	-
de	18003	Göllnitz (Gelnica)	1	- - -	l e g	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	e n	-	-	-	- u - m - m -	-	-	-	-	-	-	d o s z	-	-	-	-	-	-	-	-	d e	m e - ll i ch -	-	p a l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch - n -	-	-	o n - f ä ng - t -	-	-
de	18004	Dobschau (Dobšiná)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	e n	-	-	-	- o - b - m -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d ie	m e - l i ch -	-	p o l d - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e n -	-	-	o n - f ä ng - t -	-	-
de	-18008	Schmöllnitz (Smolník)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e n	-	-	-	-	-	-	-	e n	-	-	-	- o - m - m -	-	-	-	-	-	-	t a ss	-	-	-	-	-	-	-	-	d o	m e - l i ch -	-	p a l t - -	-	-	-	-	-	-	-	-	z o	-	k o - ch - n -	-	-	o n - f ä ng - t -	-	-
de	18010	Metzenseifen (Medzev)	1	- - -	l e g	-	-	-	-	-	-	-	-	-	-	- - - - - -	-	-	-	-	-	-	-	e n	-	-	-	- o - w e n -	-	-	-	-	-	-	t o s	-	-	-	-	-	-	-	-	t e	m e - l i ch -	-	p a l - - -	-	-	-	-	-	-	-	-	-	-	k o - ch - t -	-	-	- - - - - - - - -	-	-
de	18013	Buchwald (Bučina)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k o - - ih n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - - -	-	b u i d - -	-	-	-	-	-	-	-	-	z a n	-	k ou - ch a - -	-	-	ou - - f a g - t -	-	-
de	18018	Schattawa (Záton)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k u - - j n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - - -	-	b u j d - -	-	-	-	-	-	-	-	-	z u	-	k ou - ch a - -	-	-	o - - f o ng - t -	-	-
de	18028	Zaborsch (Záhorí)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k ui - - - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f - n -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	d	m i - l - - -	-	b o i d - -	-	-	-	-	-	-	-	-	z a n	-	- - - - - - -	s ui n	-	- - - - - - - - -	ouh ei b d	-
de	18058	Hirschbergen (Hiršperky/Jeleni)	1	t ue -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f - n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	-	m i - l - - -	-	b o l d - -	-	-	-	-	-	-	-	-	z u m	-	k ou - ch a - -	-	-	- - - - - - - - -	ouh e b t	-
de	18064	Honetschlag (Hodňov)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k u - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f - m -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	-	m i - l - - -	-	b o l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s ui d	-	- - - - - - - - -	-	-
de	18091	Kollerschlag	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f - n -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	d	m ü - ll i - -	-	- - - - - -	g l ei	-	-	-	-	-	-	-	s a n	-	- - - - - - -	s oi n	-	a - - f a ng - t -	-	-
de	18095	Sankt Thoma (Svatý Tomáš)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k o - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f e n -	-	-	-	-	-	-	d a ß	-	-	-	w i r d	-	-	-	-	d	m i - l - - -	-	b o l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch a t -	-	-	- - - - - - - - -	-	-
de	18101	Hohenfurth (Vyšší Brod)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k u - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f - n -	-	-	-	-	-	-	d e ß	-	-	-	-	-	-	-	-	d	m ü - l i - -	-	b o l d - -	-	-	-	-	-	-	-	-	z u n	-	k o - ch - n -	-	-	a n - f e ng - t -	-	-
de	18132	Hummeln (Homole)	1	- - -	-	-	-	-	-	-	-	-	-	-	g i b	k u - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f - n -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	d	m i - l i - -	-	b o l d - -	-	-	-	-	-	-	-	-	z a n	-	k ou - ch - n -	-	-	- - - - - - - - -	a n h e b t	-
de	18135	Rudolfstadt (Rudolfov)	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	d e n	- ou - f - n -	-	-	-	-	-	-	d a ß	-	-	-	w i r d	-	-	-	-	d	m d - l - - -	-	b o l d - -	-	-	-	-	-	-	-	-	-	-	k o - ch - t -	-	-	- - - - - - - - -	-	-
de	18144	Gross-Radischen	1	t ui -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m ü - l i - -	-	b o l d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s oi t	-	- - - - - - - - -	-	-
de	18188	Priethal (Prídolí)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k u - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f - n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - - -	-	b o l d - -	-	-	-	-	-	-	-	-	z a n	-	k ou - ch a - -	-	-	- - - - - - - - -	ao n h e j b t	-
de	18192	Gollnetschlag (Klení)	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k u - l - n	-	-	-	-	-	-	-	i n	-	-	-	- ou - f - n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l i - -	-	b o j d - -	-	-	-	-	-	-	-	-	z a n	-	k ui - - - n -	-	-	au - - f au ng - t -	-	-
de	18210	Weissenbach (Vysné)	1	- - -	l e j g	-	-	-	-	-	-	-	-	-	-	k oui - l - n	-	-	-	-	-	-	-	-	-	-	-	- - - - - - -	-	-	-	-	-	-	d a ß	-	-	-	w i r d	-	-	-	-	d	m ü - l i - -	-	b o l - - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	g s ou d n	-	- - - - - - - - -	-	-
de	18218	Langschwarza	1	t ui -	-	-	-	-	-	-	-	-	-	-	-	k o - - ih n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	w i r d	-	-	-	-	d	m ü - ll e - -	-	b o i d - -	-	-	-	-	-	-	-	-	-	-	- - - - - - -	s oi d a t	-	- - - - - - - - -	-	-
de	1829	Rudszen (Poltavskoe)	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k oa - l e -	-	-	-	-	-	-	-	e n	-	-	d e n	- oa - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b o l - - -	-	-	-	-	-	-	-	-	t o	-	k oa - k e - -	-	-	a n - f ä ng - t -	-	-
de	18290	Unterwald	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	ö n	-	-	-	- o - f - n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	-	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z a n	-	k o - ch a - -	-	-	a n - f a ng - t -	-	-
de	18296	Bad Grosspertholz	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ss	-	-	-	-	-	-	-	-	d	m ü - l i - -	-	b a l d - -	-	-	-	-	-	-	-	-	z	-	k o - ch a - -	-	-	a n - f a ng - t -	-	-
de	18310	Oberstrahlbach	1	d u d	-	-	-	-	-	-	-	-	-	-	-	k oh - l e n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m ü - - - ch -	-	b o l d - -	-	-	-	-	-	-	-	-	z u m	-	k o - ch a - -	-	-	o n - f o ng - t -	-	-
de	18359	Waldkirchen	1	t ua -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m ü - ll i - -	-	b ah - d - -	-	-	-	-	-	-	-	-	z a n	-	k o - ch a - -	-	-	a n - f a ng - t -	-	-
de	18364	Hafnerluden (Lubnice)	1	- - -	l e g	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m ü - l i - -	-	b o l d - -	-	-	-	-	-	-	-	-	z a n	-	k o - ch a - -	-	-	a n - f a ng - t -	-	-
de	18367	Schiltern (Štítary)	1	t ui -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d	m ü - ll i - -	-	- - - - - -	-	-	-	-	-	-	-	-	z a n	-	- - - - - - -	s oi d n	-	- - - - - - - - -	-	-
de	18407	Töstitz (Těšetice)	1	t ui -	-	-	-	-	-	-	-	-	-	-	-	k o - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	d e	m ü - l e - -	-	b o l d - -	-	-	-	-	-	-	-	-	z a n	-	k o - ch a - -	-	-	o - - f o ng - t -	-	-
