Index	Bogennummer	REDE_Namen	Sprache	tu	leg	mach	schmeiß	schütt	stopp	steck	gooi	wirf	krieg	holz	gib	Kohle	Scheid	Holz	Grüß	Feuer	Glut	Brand	Torf	in	op	bei	den	Ofen	Kachel	Herd	Stoof	Küche	Feuer2	Kachelofen	dass	dann	damit	tut	wird	soll	kann	beginnt	geht	die	Milch	Rahm	bald	gleich	geschwind	gauw	schnell	rasch	enta	hortig	vlug	zu	mit	kochen	sieden	wellen	anfangen	anheben	ankommen
ab	10368	Büdesheim	1	d ou -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e n	-	-	-	-	-	-	-	ao n	-	-	d n	- o - w e n -	-	-	-	-	-	-	d ao t	-	-	-	-	-	-	-	-	d e	m ä - l e ch -	-	b aa l - - -	-	-	-	-	-	-	-	-	z e	-	k au - ch e - -	-	-	ao nn - f ä ng - t -	-	-
ab	10381	Waldkönigen	1	d oh -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e n	-	-	-	-	-	-	-	o n e	-	-	d n	- o - w e n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	s e	-	k oo - ch e - -	-	-	ä n - f ä ng - t -	-	-
ab	1050	Krostkowo	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k au - l e -	-	-	-	-	-	-	-	i	-	-	d e	- au - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d ei	m e - l - k -	-	b a l - - -	-	-	-	-	-	-	-	-	t h o	-	k au - k e - -	-	-	- - - f a ng - t -	-	-
ab	10584	Kalenborn	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e n	-	-	-	-	-	-	-	e n	-	-	d	- o - ww e n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - ll e ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e n -	-	-	a n - f ä ng - d -	-	-
ab	10601	Gappenach	1	d e -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e -	-	-	-	-	-	-	-	e n	-	-	d e	- o - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l e ch -	-	- - - - - -	j e l ei ch	-	-	-	-	-	-	-	s e	-	k o - ch e - -	-	-	a n - f ä ng - t -	-	-
ab	10621	Rhens	1	d oh -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	e n	-	-	d ä	- o - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e - -	-	-	o n - f ä ng - t -	-	-
ab	10649	Attenhausen	1	d ou -	-	-	-	-	-	-	-	-	-	-	-	k uh - l e -	-	-	-	-	-	-	-	e n	-	-	d e	- u - w e - -	-	-	-	-	-	-	d e ß	-	-	-	-	-	-	-	-	d ie	m i - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e - -	-	-	o - - f ä ng - t -	-	-
ab	10663	Heringen	1	d ou -	-	-	-	-	-	-	-	-	-	-	-	k oh - l e -	-	-	-	-	-	-	-	i n	-	-	d e	- oh - w e - -	-	-	-	-	-	-	d e ß	-	-	-	-	-	-	-	-	d e	m i - l - ch -	-	b ah l - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e - -	-	-	o n - f ä ng - t -	-	-
ab	10690	Honsfeld	1	d oh -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e n	-	-	-	-	-	-	-	e n	-	-	d e n	- o - f e n -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	- - - - - -	-	-	-	-	-	-	-	-	z e	-	k oo - ch e n -	-	-	a n - f ä ng - t -	-	-
ab	10697	Dahlem	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e -	-	-	-	-	-	-	-	e n	-	-	d e	- oe - f e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z e	-	k au - ch e - -	-	-	a n - f ä ng - t -	-	-
