Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	Transliteration WS34
142488	10,49026	50,41091	11896	SￃﾜLZDORF	1	- Dos - Wurt - kom̄ ühn - - vo Harze - -
370665	15,85412	53,25859	1192	DEBSKO	1	- Dat - Woet - kēm êm - - fa Hāte! - -
138479	10,97928	50,40853	11927	BACHFELD	1	- Dös - Wurt - kom ihm - - vum Harzen! - -
163085	16,12236	53,27292	1197	PLOCICZNO	1	- Dat - Wot - kem em - - vom Herza - -
148733	16,30259	53,26242	1203	NAKIELNO	1	- Dat - Woot - köm em - - vom Hāta! - -
141347	10,73533	50,42423	12037	HILDBURGHAUSEN	1	- Dös - Wort - is ihn - - von Harz’n g’kum̄e. -
140391	11,24222	50,44197	12070	NEUENBAU	1	- Dös - Wourt - kam ne - - von Harzen. - -
541572	16,62174662	53,26616634	1208	WISSULKE (WIESIￃﾓￅﾁKA)	1	- Datt - Wot - köm emm - - vam Hatä. - -
136850	11,50062	50,42866	12085	GRUMBACH	1	- Dås - Wort - kohm ihn - - vunn Hårzen. - -
138073	11,76687	50,44079	12104	FRￃﾖSSEN	1	- Des - Wort - komā - - - vun Hārzen. - -
142268	12,0079	50,43389	12125	SCHWAND	1	- Des - Wort - kame - - - vom Härzn - -
140507	12,28579	50,43672	12148	KOTTENGRￃﾜN	1	- Das - Woert - kam ihm - - v[a/o?]n Herzen. - -
371585	16,90232	53,26649	1215	PARUSZKA	1	- Datt - Woht - köhm em̄ - - vom Hahtä - -
137045	10,41715	50,57103	12153	MEININGEN	1	- Ds - Wurt - kåm m - - vom Härze. - -
137465	10,71167	50,55906	12167	ALTENDAMBACH	1	- Dos - Wuöt - kam ön - - von Herz. - -
137776	10,96068	50,56467	12184	ALTENFELD	1	- Doß - Wurt - kom ne - - von Harz. - -
142205	11,21968	50,60225	12341	ROHRBACH	1	- Das - Wort - kuamb n - - von Harzn! - -
542249	11,47786231	50,58586587	12371	ST. JACOB BEI LEUTENBERG	1	- Des - Wort - kam’ n - - v[u?]n Härzen - -
136605	11,76828	50,60092	12390	NEUNDORF (BEI SCHLEIZ)	1	- Das(Däs) - Wort(Wurt) - kam’ n - - vun Härzen. - -
138329	12,0133	50,59065	12410	EBERSGRￃﾜN	1	- Des - Wort - kame - - - vun Herzen. - -
542252	12,28681029	50,61279344	12428	ROITZSCHAU/ROTSCHAU	1	- Deß - Wort - is - - - vonsein Harzn kum̄a. -
83929	11,01356	50,08352	12496	HORSDORF	1	- Des - Wuêt - kam ihm - - ven He[r?]zen! - -
90390	11,52863	50,0917	12529	KￃﾖDNITZ	1	- Es - Woet - is’ n - - von Herzena kuma -
73525	11,78865	50,09627	12556	KORNBACH	1	- Des - Wort - is n - - vom Herzn kumma! -
92759	12,01162	50,11446	12572	HABNITH	1	- Dös - Wort - is ihm - - von Herzen komma! -
92995	10,47912	50,0693	12594	UCHENHOFEN	1	- Dös - Woot - is n - - von Harze[n/o?] kum̄a! -
81117	10,75411	50,07607	12616	REUTERSBRUNN	1	- Dös - Wuret - gieht en - - von Harzn! - -
87919	11,23885	50,08397	12656	WEISMAIN	1	- Des - - - geht na - - vom Herizen. - -
375822	15,56066	53,43452	1278	INSKO	1	- Dar - woĕ̆t - köm em - - va Herza. - -
374696	15,82821	53,44244	1287	KONOTOP	1	- Dat - Woitt - kem em - - fa Hata! - -
139318	12,54606	50,95499	12876	LOHMA	1	- Dos - Wort - kom’ n - - vun Harzen. - -
542291	12,79845622	50,93588982	12898	HEIERSDORF	1	- Das(Dos) - Wort - kom n - - von Harzen - -
140816	13,03963	50,94183	12921	SACHSENBURG	1	- Dos - Woart - ging’ n - - vun Herz’n! - -
138353	13,31425	50,9658	12942	ROTHENFURTH	1	- Dås - Wórd - kåm ihm - - vón Harzen! - -
153188	16,0857	53,43147	1296	ZABIN	1	- Dat - Woeth - kehm em̄ - - vom Haate[m?] - -
