Index	Bogennummer	REDE_Namen	Sprache	IM	DES	-	WINTER	FLIEGEN	DIE	TROCKENEN	BLATTER	LAAB	DURCH	IN	LUFT	HERUM	UMEINANDER	RUND	UMBEI	__parsed_extra
ab	10584	Kalenborn	1	I m	-	-	W ö n d e r - -	f l e g e n - - - - - -	d e	d r e u	B l ä d d e r	-	d o r c h	-	L o f d	- - - - e r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	10601	Gappenach	1	E m	-	-	W e n t e r - -	f l e g e n - - - - - -	d e	t r e i e	B l ä d e r	-	d u r c h	-	L o f t	- - - - e r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	10621	Rhens	1	E m	-	-	W e n d e r - -	f l e j e - - - - - - -	d e	t r o c k e n e	B l ä r e r	-	d o r c h	-	L o f t	- - - - e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
ab	10649	Attenhausen	1	E m	-	-	W e n t e r - -	f l ei j e - - - - - - -	d i e	t r o c k e n e	B l ä r a	-	d o r c h	-	L u f t	- - - h e r e m - - - - -	- - - - - - - - - - - -	-	-	-
ab	10663	Heringen	1	E m	-	-	W e n t e r - -	f l ä j e - - - - - - -	d e r	d r o i e	B l e r r e r	-	-	e n	L o f t	- - - - e r ü n - - - - -	- - - - - - - - - - - -	-	-	-
ab	10690	Honsfeld	1	I m	-	-	W e n t e r - -	f l e g e n - - - - - -	d e r	d r ü e n	B l ä d d e r	-	-	e n	L u f t	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
ab	10697	Dahlem	1	E m	-	-	W e n t e r - -	f l e g e - - - - - - -	d e	d r ü e	B l a d e r	-	d o r c h	-	L u c h	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
ab	10709	Aremberg	1	E m	-	-	W e n t e r - -	f l e g e n - - - - - -	d i e	d r ü c h	B l ä d e r	-	d u r c h	-	L o f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
ab	10736	Hohenleimbach	1	E m	-	-	W o n t e r - -	f l e g - n - - - - - -	d e	d r e u c h	B l ä d d e r	-	d u r c h	-	L o f t	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
ab	10857	Hatzfeld (Eder)	1	E i n	-	-	W e n t e r - -	f l - ÿ e - - - - - - -	d i e	t r o c k n e	B l ä r r e r	-	d e r c h	-	L o f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	10974	Haindorf	1	J m	-	-	W äi n t e r - -	f l e g e - - - - - - -	d e	t r o c ̆ k n e	B l ē d e r	-	d u r c h	-	L u f t	- - - - - r ö m - - - - -	- - - - - - - - - - - -	-	-	-
ab	110	Rozpedziny	1	J m	-	-	W i n t e r - -	f l e g e - - - - - - -	d e	d r ö g e	B l ä d e r	-	d ö r c h	-	L o f t	- - - h e r e m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11132	Schwarzwald	1	I m	-	-	W e n t e r - -	f l i - e n - - - - - -	d e r	t r o c k n e n	B l ä t t e r	-	-	i n	L o f t	- - - h e r e m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11149	Wipfra	1	I n	-	-	W e n t e r - -	f l ei h - n - - - - - -	d r	t r o c k n e	B l ä t t e r	-	-	i n	L o f t	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11180	Remda	1	I n	-	-	W i n t e r - -	f l ie h - n - - - - - -	d e	t r o c k e n	B l ä t t e r	-	d o r c h	-	L o f t	- - - - - r e m̄ - - - - -	- - - - - - - - - - - -	-	-	-
ab	11197	Zeutsch	1	I m	-	-	W i n t e r - -	f l ie g e n - - - - - -	d e r	t r i c k e n	B l ä t t e r	-	-	i n	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11212	Breitenhain	1	J m	-	-	W e n t e r - -	f l ie g e n - - - - - -	d e	t r o c k e n	B l ä t t e r	-	d o r c h	-	L o f t	- - - - - r ö m̄ - - - - -	- - - - - - - - - - - -	-	-	-
ab	11230	Burkersdorf	1	I m	-	-	W i n t e r - -	f l ie g e n - - - - - -	d e r	t r u c k n e n	B l ä t t e r	-	-	i n	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11252	Seelingstädt	1	I m	-	-	W i n t e r - -	f l ie g - n - - - - - -	d i e	t r o c k n e n	B l ä t t e r	-	d u r c h	-	L u f t	- - - h e r i m - - - - -	- - - - - - - - - - - -	-	-	-
