Index	Bogennummer	REDE_Namen	Sprache	IM	DES	-	WINTER	FLIEGEN	DIE	TROCKENEN	BLATTER	LAAB	DURCH	IN	LUFT	HERUM	UMEINANDER	RUND	UMBEI	__parsed_extra
fg	2225	Moritten (Oktjabrskoe)	1	O e m	-	-	W i n t a - - -	f l ö g e - - - - - - -	d e	d r ö g e	B l e d a	-	d e r c h	-	L o f t	- - - - - r ö m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22264	Grieben	1	J n ' n	-	-	W i n t e r - -	f l e h e - - - - - - -	' n e	d r ö i	B l ä ÿ e r	-	-	i n	L u f t	ü m - h e r - - - - - - -	- - - - - - - - - - - -	-	-	-
fg	22276	Zabakuck	1	I n ' n	-	-	W i n t e r - -	f l e h e - - - - - - -	' e	d r ö e n	B l ä t t e r	-	-	i n	L u f t	ü mm e h e r - - - - - - -	- - - - - - - - - - - -	-	-	-
fg	22375	Westerholz	1	J n	-	-	W i n t e r - -	f l e g - - t - - - - -	d e	d r ö g e n	B l ä e	-	d ö r c h	-	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22384	Tülau-Fahrenhorst	1	J n ̄	-	-	W i n t e r - -	f l e g e n - - - - - -	d e	d r ö g e n	B l ä r e r	-	d ö r c h	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22394	Köbbelitz	1	I n	-	-	W i n d e r - -	f l e g e n - - - - - -	d i e	d r ö j	B l ä d e r	-	d e r c h	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22407	Schenkenhorst	1	I n ' n	-	-	W i n t e r - -	f l e g - n - - - - - -	d e i	d r ö g	B l ä r e r	-	d ö r c h	-	L u f t	- - - - - r u m - h e r -	- - - - - - - - - - - -	-	-	-
fg	2242	Naunienen	1	Ö m	-	-	W i n t a - - -	f l ö g e - - - - - - -	d ö	d r ö g e	B l ä d a	-	d ö r c h	-	L o f t	- - - - - r ö m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22423	Querstedt	1	I n	-	-	W i n t e r - -	f l e j e n - - - - - -	d e	d r ö j	B l a e j e r	-	d ö r c h	-	L u f t	ü m - h e r - - - - - - -	- - - - - - - - - - - -	-	-	-
fg	22443	Staffelde	1	I m	-	-	W i n t e r - -	f l e g e n - - - - - -	d e	d r ö g e n	B l ä g e r	-	-	i n	L u f t	u m - h e r - - - - - - -	- - - - - - - - - - - -	-	-	-
fg	22453	Grosswudicke	1	I n	-	-	W i n t e r - -	f l e h - ṅ - - - - - -	d e	d r ö j e	B l ä t t e r	-	d ö r c h	-	L u f t	ü mm e h ä - - - - - - - -	- - - - - - - - - - - -	-	-	-
fg	22574	Masel	1	J n ' n	-	-	W i n t e r - -	f l e͡i g - - t - - - - -	d e ͡ i	d r ö g e n	B l ä d e r	-	d ö r c h	-	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22581	Höddelsen	1	J m	-	-	W i n d e r - -	f l e g - n - - - - - -	d e	d r e u g ' n	B l ä r e r	-	d ö r g	-	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22599	Wöpel	1	I n ' n	-	-	W i n t e r - -	f l e g e n - - - - - -	d e	d r ö g e n	B l ä d e r	-	d ö r c h	-	L u f t	u m - h ä - - - - - - - -	- - - - - - - - - - - -	-	-	-
fg	22621	Molitz	1	I n ' n	-	-	W i n d e r - -	f l e h e - - - - - - -	t	d r e u	B l ä e r	-	-	i n	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22636	Rönnebeck	1	I n ' n	-	-	W i n t e r - -	f l e - - n - - - - - -	d e	d r ö	B l ä e r	-	d ö r c h	-	L u f t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
fg	22654	Iden	1	I n ' e	-	-	W i n t e r - -	f l e g e n - - - - - -	' t	d r ö g e n	B l ä i g e r	-	d ö r c h	-	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22667	Kuhlhausen	1	J m	-	-	W i n t e r - -	f l e j e - - - - - - -	d e	d r ö j e	B l ä g e r	-	d ö r c h	-	L u f t	ü m - h e r - - - - - - -	- - - - - - - - - - - -	-	-	-
fg	22685	Proitze	1	J n	-	-	W i n d e r - -	f l ee g - n - - - - - -	d e	d r ö g '	B l ä r e r	-	d ö r c h	-	L u f t	- - - - e r u m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22773	Holdenstedt	1	J m	-	-	W i n d e r - -	f l äi g - - t - - - - -	d e	d r ö g e n	B l ä h	-	d o r g	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22796	Wustrow (Wendland)	1	J n	-	-	W i n d e r - -	f l e g e n - - - - - -	d e	d r ö g	B l ä r e r	-	d ö r c h	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22810	Lomitz	1	J n	-	-	W i n d e r - -	f l e g - n - - - - - -	d e	d r ö g	B l ä r e r	-	-	i n	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22819	Jeggel	1	I n ' n	-	-	W i n d e r - -	f l ö g - n - - - - - -	d e	d r ö g	B l ä d e r	-	d ö r c h	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22832	Gross Lüben	1	I n	-	-	W i n t e r - -	f l e g e n - - - - - -	d e	d r ö g n	B l ä ̰ r r e r	-	d ö r c h	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22846	Görike	1	I m	-	-	W i n t e r - -	f l e g e n - - - - - -	d i e	d r ö g e n	B l ä g e r	-	-	i n	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22910	Holthausen	1	I m	-	-	W e-i n t e r - -	f l e g e n - - - - - -	d e	d r ü g	B l e e r	-	d ö r r	-	L u c h	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22931	Dahlhausen	1	I m	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e	d r ö g e n	B l a e r	-	d ü r c h	-	L o c h t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22965	Langeloh	1	I m	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e	d r ö ͡ ü g e n	B l i ͡ ä r	-	d ü ͡ ö	-	L o c h	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22990	Halingen	1	J m m e	-	-	W i n t e r - -	f l ai g e - t - - - - -	d e	d r e u g e n	B l i ä r	-	d ü ä r	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	22998	Neheim	1	I m m e	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e	d r e u g e n	B l a a r	-	d ü ä h r	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
fg	23010	Niederbergheim	1	I m	-	-	W i n t e r - -	f l ai j e - t - - - - -	d e i	d r o i j e n	B l a a r	-	d ö ̆ ä ̆ r	-	L u f t	- - - - - r ü mm e - - r -	- - - - - - - - - - - -	-	-	-
fg	23021	Kapellen	1	I n d e	-	-	W e n t e r - -	v l ie g e n - - - - - -	d e	d r ö ö g e	B l ä ä r	-	d ö a	-	L o c h t	- - - h e rr ö m - - - - -	- - - - - - - - - - - -	-	-	-
fg	23031	Rheinberg	1	I n d e	-	-	W e n t e r - -	f l ie g e - - - - - - -	d e	d r ö g e	B l ä e r	-	d ö r	-	L o f	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
fg	23184	Holthausen bei Kirchhellen	1	J n ' t	-	-	W i n t e r - -	f l ei g - - t - - - - -	d ä	d r ü g e	B l a r	-	d ü h r	-	L u g t e	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	23191	Herten	1	J n n	-	-	W i n t e - - -	f l ei g - - t - - - - -	d e	d r ö ü g e	B l a	-	d ü a	-	L o c h t	- - - h a r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	23207	Waltrop	1	I m	-	-	W i n t e r - -	f l ai g - - t - - - - -	d ä	d r ö g e	B l a h	-	d u ä	-	L o c h t	- - - h a rr ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	23218	Kamen	1	J m	-	-	W i n t e r - -	f l ai g e - t - - - - -	d e	d r ä u g e n	B l i ä r	-	d ü ä r	-	L u f t	- - - h e r u m - - - - -	- - - - - - - - - - - -	-	-	-
fg	23231	Norddinker	1	I m	-	-	W i n t e r - -	f l ei g e - t - - - - -	r e	d r ä u g e n	B l a r	-	d ö i	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
fg	23261	Kessel	1	I n d e	-	-	W e n t e r - -	f l ie g e - - - - - - -	d e	d r ö g e	B l ö h r	-	d ö r	-	L o c h t	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
fg	23271	Kehrum	1	I n d e	-	-	W e n t e r - -	f l ie g e n - - - - - -	d e	d r ö g e	B l ä r	-	d ü r r	-	L o c h t	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
fg	23284	Hamminkeln	1	J n ' e n	-	-	W i n t e r - -	f l ie g - - t - - - - -	d e	d r ö g e	B l ä r	-	d ö r	-	L u f t	- - - h e r ö mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	23293	Erle	1	J n n	-	-	W i nn t e r - -	f l i g - - t - - - - -	d e	d r ö g e	B l ä ̄ e r	-	-	i n	L u c h t	- - - h a r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23343	Göttingen	1	J n	-	-	W i n t e r - -	f l ei g e - t - - - - -	n e	d r ö ü g e n	B l i e r	-	-	i n	L u f t	- - - h e r ü mm e - - r -	- - - - - - - - - - - -	-	-	-
gh	2338	Wenslowischken (Voznesenskoye)	1	E m	-	-	W i n t e r - -	f l e g e - - - - - - -	e	d r u c k e n e	B l ä d e r	-	d o r c h	-	L o f t	- - - - - r o mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	23402	Holtwick	1	I n t	-	-	W i n t e r - -	f l ei g - - t - - - - -	d e	t r ü g e n	B l ä h r	-	d ö h r	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23412	Seppenrade	1	J n d i e	-	-	W i n t e r - -	f l ai g e - t - - - - -	d e	d r ü g e n	B l a a r e	-	d ö r	-	L u f t	- - - h e r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	23419	Davensberg	1	I m	-	-	W i n t e r - -	f l ei g - - t - - - - -	d e	d r u g e n	B l a a r	-	d ö r	-	L u c h t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	23426	Vorhelm	1	J n ' n	-	-	W i n t e r - -	f l ei g - - t - - - - -	d e	d r ü g e n	B l a r	-	d ü ö r	-	L u g t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	23435	Stromberg	1	I n n	-	-	W i n t e r - -	f l ai g e - t - - - - -	d e	d r ö g e n	B l i e r	-	d ü r	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23453	Stockum bei Coesfeld	1	J m	-	-	W i n t e r - -	f l ei g - - t - - - - -	d e i h	d r ü g e n	B l a a r	-	d ö r	-	L u f t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	23466	Nottuln	1	J n n	-	-	W i n t e r - -	f l ei g - - t - - - - -	d e	d r ü g e n	B l a r	-	d ö e r	-	L u c h t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23471	Münster	1	J n ’ n	-	-	W i n t e r - -	f l ei g - - t - - - - -	d e	d r ü g e n	B l i ä d e r	-	d ü ö r	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23478	Einen	1	I n ' n	-	-	W i n t e r - -	f l äi g - - t - - - - -	d e	d r ü g e n	B l a h r	-	d ö h r	-	L u c h t	- - - h ä̆ rr ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23483	Greffen	1	J n ' n	-	-	W i n t e r - -	f l äi g e - t - - - - -	d e	d r ö ü g e n	B l a a r e	-	d ü ö r	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23494	Speelberg	1	I n d e	-	-	w é n t e r - -	f l ie g e - - - - - - -	d e	d r ö g e	b l ä r	-	d ö r	-	l o c h t	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23498	Hemden	1	V a n n ' e	-	-	W i n t e r - -	f l e g - - t - - - - -	d e	d r ö g e	B l a d e	-	d ö r	-	L u c h t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	23507	Weseke	1	J n ' n	-	-	W i n t e r - -	f l e g e - t - - - - -	d e	d r ö g e	B l a h	-	d ö r	-	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23545	Tüddern	1	E n d e	-	-	W e nk t e r - -	f l e g e - - - - - - -	d e	d r ö g	B l a h r	-	-	e n	L o g t	- - - - e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23566	Porselen	1	E g e n e	-	-	W e n t e r - -	f l e g e - - - - - - -	d e	d r ü c h	B l a r	-	d u r	-	L o c h	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23602	Holzweiler	1	E m	-	-	W è nk t e r - -	f l e g e - - - - - - -	d e r	d r ü ̄ g	B l a r	-	-	e n	L u d	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23630	Evinghoven	1	E m	-	-	W e nk t e r - -	f l e g e n - - - - - -	d e	d r ü g	B l a r	-	d u r c h	-	L u t	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23817	Reusrath	1	E m	-	-	W e nk t e r - -	f l e g e n - - - - - -	d e	d r ü h	B l ä d e r	-	-	e n	L u o t	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23843	(Stolzenberg)	1	E m	-	-	W e ng t e r - -	f l ee g e n - - - - - -	d e	d r ü g g e n	B l a d e r	-	d o r c h	-	L o ͡ u t	- - - - e r ö mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	23858	Oberklüppelberg	1	I m	-	-	W i n t e r - -	f l ei g e n - - - - - -	d e	d r ü g e n	B l a e r	-	d ü r c h	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	23873	Valbert	1	I m	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e	d r ö g e n	B l a a r	-	d ü r g	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	23885	Sporke	1	J m ' m e	-	-	W i n t e r - -	f l ai g e - t - - - - -	d e	d r o i g e n	B l a a e r	-	d i ä r	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	23902	Schmallenberg	1	J m m e	-	-	W i n t e r - -	f l eu g e - t - - - - -	d e r	d r o i g e n	B l ä ä r	-	-	i n	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	23906	Elmpt	1	E m m	-	-	W e nk t e r - -	f l e g e n - - - - - -	d e	d r ü g	B l ä ͜ e r	-	d o r	-	L o ͜ u g t	- - - h e rr ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	23922	Helenabrunn	1	E n n e	-	-	W ö n t e r - -	f l e g e - - - - - - -	d i	d r ü g g e	B l a e r	-	d u r	-	L o u t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	23933	Weißenberg	1	É m	-	-	W é ng t e r - -	f l é g e - - - - - - -	d e	d r ü g	B l a h r e	-	d o r c h	-	L o u t	- - - - e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	2398	Mertensdorf (Tjomkino)	1	I m	-	-	W i n t a - - -	f l ö g e - - - - - - -	d e	d r e g e	B l ä d a	-	d o r c h	-	L o f t	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
gh	2409	Trausen (Lipnyaki)	1	I e m	-	-	W i n t a - - -	f l äi g e - - - - - - -	n ̄ a	d r a i g e	B l ä d a	-	-	i | e	L o f f t	- - - - - r i|e mm a - - - -	- - - - - - - - - - - -	-	-	-
gh	24107	Hubbelrath	1	E m	-	-	W e ng t e r - -	f l e g e - - - - - - -	d e	d r ü g	B l a d e r	-	d o r c h	-	L o f t	- - - - e r ö mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	24134	Barmen	1	E m	-	-	W e n t e r - -	f l e g e n - - - - - -	d e	d r ü g e n	B l ä d e r	-	d ö r c h	-	L o f t	- - - h e r o m - - - - -	- - - - - - - - - - - -	-	-	-
gh	24156	Delle	1	J m	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e	t r ö g e n	B l a ë r	-	d ö r	-	L o c h t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	24167	Altena	1	I m	-	-	W i n t e r - -	f l ei h e - t - - - - -	d e	d r e u g e n	B l ä e r	-	d ö r	-	L u f	- - - h e r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	24180	Stockum	1	-	D e s	-	W i n t e r - s	f l eu g e - t - - - - -	d e r	d r o i g e n	B l a a r	-	-	i n	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	24208	Wall	1	E m	-	-	W e nk t e r - -	f l e g e n - - - - - -	d e	d r ü c h	B l ä e r	-	d u r	-	L o ͡ u t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	24218	Vennikel	1	I n n e	-	-	W eh n t e r - -	f l ie g e n - - - - - -	d e	d r ö g e	B l e r	-	d o r	-	L ŏ g	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	2426	Groß Pentlack (Kamenka)	1	E m	-	-	W i n t e r - -	f l ö g e - - - - - - -	n e	d r ö g e	B l ä d e r	-	-	e n	L o f f t	- - - - - r ö mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	24336	Berghausen	1	E m	-	-	W ä n t e r - -	f l i ch e n - - - - - -	d e	d r o c k e	B l a e r r e r	-	d e r c h	-	L u f t	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
gh	2436	Kowarren (Zaozernoye)	1	E m	-	-	W i n t e r - -	f l ö g e - - - - - - -	n e	d r u c k e n e	B l ä d e r	-	-	e n	L o f t	- - - - - r o m - - - - -	- - - - - - - - - - - -	-	-	-
gh	24360	Bottendorf	1	E m	-	-	W ä n t e r - -	f l ie h - n - - - - - -	d e	d r o c k e	B l ä r r e r	-	d e r c h	-	L o f t	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
gh	24380	Bergfreiheit	1	J n	-	-	W e n d e r - -	f l ie g e n - - - - - -	d e	t r e g e n	B l ä d d e r	-	d e r c h	-	L o f t	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
gh	24412	Roppershain	1	E m	-	-	W e n d e r - -	f l ie j e n - - - - - -	d r	t r e j e	B l ä r r e r	-	-	e n	L o f t	- - - - - r e mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	24431	Konnefeld	1	I n	-	-	W e n d e r - -	f l i gg e n - - - - - -	d e	d r e h g e n	B l e t t e r	-	d e r c h	-	L o f t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	24454	Berneburg	1	E m	-	-	W i n t e r - -	f l ie g e n - - - - - -	d e	t r a c k n e n	B l ä t t e r	-	d e r c h	-	L o f t	- - - h ä n - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	24466	Lüderbach	1	I m	-	-	W e-i n t e r - -	f l ie h e - - - - - - -	d e	t r o c k e n e	B l a t t e r	-	d ä r c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
gh	24490	Züschen	1	J m	-	-	W i n t e r - -	f l ai g e n - - - - - -	d e r r	d r e u g e n	B l ä d d e r	-	-	i n	L u c h t	- - - - - r ü mm e h e r -	- - - - - - - - - - - -	-	-	-
gh	2452	Kleschowen (Kutusowo)	1	E m	-	-	W i n t e r - -	f l ö g e - - - - - - -	d e	d r u c k n e	B l ä d e r	-	d o r c h	-	L o f t	- - - h e r o m - - - - -	- - - - - - - - - - - -	-	-	-
gh	24636	Rhadern	1	I m	-	-	W i n t e r - -	f l ee g e n - - - - - -	d e	t r ä u g e n	B l ä d d e r	-	d ö r r	-	L u f t	- - - - - r ü mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	24659	Buhlen	1	-	D e n	-	W e n d e r - -	f l ie g e n - - - - - -	d ‘	d r e g e n	B l ä ä d e r	-	d e r c h	-	L o f t	- - - - - r e m - h ä r -	- - - - - - - - - - - -	-	-	-
gh	2466	Tolkmicko	1	Ö m m	-	-	W i n t a - - -	f l e g ĕ - - - - - - -	d ĕ	d r e g ĕ	B l ä d a	-	d ö r c h	-	L ŏ f t	- - - - - r ö mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	24677	Metze	1	E m	-	-	W ei n d e r - -	f l ie g e n - - - - - -	d ä	d r e g e n	B l ä r e r	-	d ä r c h	-	L o f t	- - - - - r e mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	24695	Wattenbach	1	I m	-	-	W i n t e r - -	f l i gg e n - - - - - -	d e	d r ä g e n	B l ä t t e r	-	d ä r c h	-	L o f f t	- - - d o r ü mm ĕ - - - -	- - - - - - - - - - - -	-	-	-
gh	24715	Vockerode	1	J m	-	-	W i n t e r - -	f l e g e n - - - - - -	d i e	d r e g g e n	B l ä d d e r	-	d ä r c h	-	L u f d	- - - h ä r e mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	24737	Grosstöpfer	1	I m	-	-	W i n t e r - -	f l ie g - n - - - - - -	d e h	t r o c k n e n	B l ä t t e r	-	d ä r c h	-	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	2474	Pierzchaly	1	E m	-	-	W i n t a - - -	f l ö g e - - - - - - -	d e	d r ö g e	B l ä d a	-	d e r c h	-	L o f t	- - - h e r e m - - - - -	- - - - - - - - - - - -	-	-	-
gh	2482	Peterswalde (Piotrowiec)	1	E m	-	-	W i ng t a - - -	f l ö g e - - - - - - -	n a	d r ö g e	B l ä d a	-	-	ö n	L o f t	- - - - e r e m - - - - -	- - - - - - - - - - - -	-	-	-
gh	24884	Olsberg	1	I m m e	-	-	W i n t e r - -	f l ai g e - t - - - - -	d ' r	d r o i g e n	B l a r	-	-	i n	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	24901	Sudeck	1	I n ' e n	-	-	W i n t e r - -	f l ë͜i g e - t - - - - -	d e ̈ ͜ i	d r u ͜ i g e n	B l ä d e r	-	d ü r	-	L u f t	- - - h e r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	24917	Braunsen	1	I m	-	-	W i n t e r - n	f l e g e - t - - - - -	d e	d r ü g e n	B l ä d e r	-	d ü r	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	24926	Zierenberg	1	I m	-	-	W e n d e r - -	f l ä g e n - - - - - -	d e	t r ü g e n	B l ä d e r	-	d ö r c h	-	L o f t	- - - - - r ü m e - - r -	- - - - - - - - - - - -	-	-	-
gh	2494	Saruny	1	Ö m	-	-	W i n t a - - -	f l ö g e - - - - - - -	d e	d r ö g e	B l ä d a	-	d ö r c h	-	L o f t	- - - - - r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	24942	Speele	1	I m	-	-	W e n t e r - -	f l e g e n - - - - - -	d e	d r ö h g e n	B l ä h t e r	-	d ö r c h	-	L u f t	- - - - - r ü mm e - - r -	- - - - - - - - - - - -	-	-	-
gh	24959	Hermannrode	1	I m	-	-	W i n t e r - -	f l ei g e n - - - - - -	d a	t r ü g e n	B l ä r e	-	d o r	-	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	2507	Wojciechy	1	E m	-	-	W i n t a - - -	f l ö g e - - - - - - -	d e	d r e g e	B l ä d e	-	d e r c h	-	L o f t	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
gh	25113	Meiste	1	J m m e	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e	d r o i g e n	B l a e r	-	d ü ö r	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
gh	25131	Fürstenberg	1	J n ' n	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e	d r ö i g e n	B l e e r e	-	d ö r r	-	L u f t	- - - - - r ö mm e - - r -	- - - - - - - - - - - -	-	-	-
gh	25136	Scherfede	1	J m m e	-	-	W i n t e r e -	f l äi g e - t - - - - -	d ä i	d r ÿ g e n	B l ä d d e r e	-	d ü r	-	L u f t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	25150	Körbecke	1	J m	-	-	W i n t e r - -	f l ei h e - t - - - - -	d e	d r e u e n	B l ä d d e r e	-	d ü r	-	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	25163	Gottstreu	1	I m	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e i	t r ü g e n	B l ä r e	-	d o r	-	L u f t	- - - - - r ü mm e - - r -	- - - - - - - - - - - -	-	-	-
gh	25179	Esebeck	1	J n	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e i	d r ö g e n	B l ö r e	-	d u r	-	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	25197	Ebergötzen	1	J n ' n	-	-	W i n t e r e -	f l ei j e - t - - - - -	d ë	d r ö g e n	B l ä r e	-	d o r	-	L u f t	- - - - - r ü mm - - - - -	- - - - - - - - - - - -	-	-	-
gh	25214	Bönninghausen	1	J m	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e r	d r o i g e n	B l a a r	-	-	i n	L u c h t	- - - h e r ü mm e - - r -	- - - - - - - - - - - -	-	-	-
gh	25223	Kirchborchen	1	J m	-	-	W e n t e r - -	f l ei h e - t - - - - -	d e	d r ö i h e n	B l ö h e r	-	d ö r	-	L o f t	- - - h e r ö m - - - - -	- - - - - - - - - - - -	-	-	-
gh	25343	Siebenstern	1	J m	-	-	W i n t e r - -	f l ei h e - t - - - - -	d a i	d r u h e n	B l ä r e	-	d ü r	-	L u f t	ü m - h e r - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	25354	Bruchhausen	1	J m	-	-	W i n t e r - -	f l ai h e - t - - - - -	d e	d r u n	B l ä e r	-	-	i n	L u f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	25363	Schönhagen	1	I n ' n	-	-	w i n t e r - -	f l ei g e - t - - - - -	d e	d r ö g e n	b l ä e r e	-	d o r	-	l u f t	- - - - - - - - - - - - -	- - - - - - - - - - - -	-	-	-
gh	25373	Oldenrode	1	J m	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e i	d r u i g e n	B l o a	-	d u r	-	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
gh	25391	Marke	1	J n	-	-	W i n t e r - -	f l ei g e - t - - - - -	d e	d r ü ö g e n	B l o a h e	-	d u r	-	L u f t	- - - h e r ü mm e - - r -	- - - - - - - - - - - -	-	-	-
gh	25407	Westerwiehe	1	I n ' n	-	-	W i n t e r - -	f l äi g e - t - - - - -	n e	d r ö ü g e n	B l ä r	-	-	i n	L u f t	- - - h ä r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
