Index	Bogennummer	REDE_Namen	Sprache	WS1::TransliterationWS1
ab	11763	Aub	1	Im Winter fliegn die truckna Blīeter in die Luft röm.
ab	1178	Sokoliniec	1	Im Winte flega de dröga Bleige inne Luft rümme.
ab	11805	Seidmannsdorf	1	In Wint'r flieg'n die trockna' Bletter in der Luft rum.
ab	11825	Wallenfels	1	Im Wĭnte flīeng die trŭckna Blétte in de Lūft rü̆m.
ab	11844	Neudorf	1	Im Wintr fle-ing die truckna Bläiter in der Louft rim.
ab	11864	Draisendorf	1	Im Winter flīeng die truckna Bléter in der Luft rimm.
ab	11881	Sohl	1	Im wintr fleïng di truckne blätr durch di luft rim.
ab	11896	Sülzdorf	1	n' Wenter fliege die trockene Blēter ĕn (dorch) die Luft röm
ab	1192	Debsko	1	Im Winte flege de dröje Bleide döch de Luft rümme.
ab	11927	Bachfeld	1	Im Winter fliegen die trockenen Blätter dorch die Loft herüm.
ab	1197	Plociczno	1	Im Winte flega de dröge Bläide dörch de Luft rüm.
ab	1203	Nakielno	1	Jm Winta fleja de dröja Bleide dög de Luft herüme.
ab	12037	Hildburghausen	1	Im Wint'r fliehn die trockene Bletter in dr Luft rüm̄.
ab	12070	Neuenbau	1	Im Winter fliegen die truckne Bletter durch die Luft ümhar.
ab	1208	Wissulke (Wiesiółka)	1	Im Winte flegä de drögä Bleide doich't Luft rümme.
ab	12085	Grumbach	1	In Winter fliegen då trucknå Bletter dorch då Luft rimm.
ab	12104	Frössen	1	Im Winter fle-ing de trucknen Bläïter dorch de Luft rimm.
ab	12125	Schwand	1	Im Winter flieng die trucknen Bleder dorch di Luft rimm. (daun der Luft rim̄.)
ab	12148	Kottengrün	1	Im Winter flieng de truckne Bleter dorch de Luft rimm.
ab	1215	Paruszka	1	Im Winte fleige dei dröge Bläde dög dei Luft rümme.
ab	12153	Meiningen	1	Im Wenter fliege di trockene Blehter dörch di Luft herömm.
ab	12167	Altendambach	1	En Wenter fliegä die trockönä Blätör durch dör Luft ömhär
ab	12184	Altenfeld	1	Im Winter fliege die truckne Blieter in der Luft herüm rum.
ab	12341	Rohrbach	1	In Wentr fliegn de trokn Blättr dorch de Loft rem.
ab	12371	St. Jacob bei Leutenberg	1	In Winter fliegen die trucken Bletter ind'r Luft rimm.
ab	12390	Neundorf (bei Schleiz)	1	m Winter flö͡igen d' trucknen Bletter dorch d' Luft rim.
ab	12410	Ebersgrün	1	Ne Winter flieng die truckne Blätter in der Luft rimm.
ab	12428	Roitzschau/Rotschau	1	Ne Winter flieng de truckne Blätter durch de Luft rim̄.
