Grapheme	Frequency	IPA	Codepoint	UnicodeName
åh	1	o	U+00E5, U+0068	LATIN SMALL LETTER A WITH RING ABOVE, LATIN SMALL LETTER H
äh	327	e	U+00E4, U+0068	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER H
ähe	1	e	U+00E4, U+0068, U+0065	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER H, LATIN SMALL LETTER E
ähi	1	ei
ai	191	ai	U+0061, U+0069	LATIN SMALL LETTER A, LATIN SMALL LETTER I
aï	4	ai	U+0061, U+00EF	LATIN SMALL LETTER A, LATIN SMALL LETTER I WITH DIAERESIS
åi	2	oi	U+00E5, U+0069	LATIN SMALL LETTER A WITH RING ABOVE, LATIN SMALL LETTER I
äi	63	ei	U+00E4, U+0069	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER I
aie	1	ai	U+0061, U+0069, U+0065	LATIN SMALL LETTER A, LATIN SMALL LETTER I, LATIN SMALL LETTER E
aih	1	ai	U+0061, U+0069, U+0068	LATIN SMALL LETTER A, LATIN SMALL LETTER I, LATIN SMALL LETTER H
äih	3	ei	U+00E4, U+0069, U+0068	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER I, LATIN SMALL LETTER H
aj	7	ai	U+0061, U+006A	LATIN SMALL LETTER A, LATIN SMALL LETTER J
äj	4	ei	U+00E4, U+006A	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER J
ao	61	ao	U+0061, U+006F	LATIN SMALL LETTER A, LATIN SMALL LETTER O
aö	1	ao	U+0061, U+00F6	LATIN SMALL LETTER A, LATIN SMALL LETTER O WITH DIAERESIS
äo	3	eo	U+00E4, U+006F	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER O
äö	2	eo	U+00E4, U+00F6	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER O WITH DIAERESIS
aou	5	au	U+0061, U+006F, U+0075	LATIN SMALL LETTER A, LATIN SMALL LETTER O, LATIN SMALL LETTER U
äou	2	eo	U+00E4, U+006F, U+0075	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER O, LATIN SMALL LETTER U
äöu	2	eo	U+00E4, U+00F6, U+0075	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER U
au	1262	au	U+0061, U+0075	LATIN SMALL LETTER A, LATIN SMALL LETTER U
aů	2	au	U+0061, U+016F	LATIN SMALL LETTER A, LATIN SMALL LETTER U WITH RING ABOVE
åu	9	ou	U+00E5, U+0075	LATIN SMALL LETTER A WITH RING ABOVE, LATIN SMALL LETTER U
åů	2	ou	U+00E5, U+016F	LATIN SMALL LETTER A WITH RING ABOVE, LATIN SMALL LETTER U WITH RING ABOVE
äu	24	eo	U+00E4, U+0075	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER U
äü	1	eo	U+00E4, U+00FC	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER U WITH DIAERESIS
auh	3	au	U+0061, U+0075, U+0068	LATIN SMALL LETTER A, LATIN SMALL LETTER U, LATIN SMALL LETTER H
aui	5	au	U+0061, U+0075, U+0069	LATIN SMALL LETTER A, LATIN SMALL LETTER U, LATIN SMALL LETTER I
ay	1	ai	U+0061, U+0079	LATIN SMALL LETTER A, LATIN SMALL LETTER Y
b	4392	b	U+0062	LATIN SMALL LETTER B
bb	227	b	U+0062, U+0062	LATIN SMALL LETTER B, LATIN SMALL LETTER B
c	1	x	U+0063	LATIN SMALL LETTER C
ch	3053	x	U+0063, U+0068	LATIN SMALL LETTER C, LATIN SMALL LETTER H
ck	688	k	U+0063, U+006B	LATIN SMALL LETTER C, LATIN SMALL LETTER K
d	5471	d	U+0064	LATIN SMALL LETTER D
dd	9	d	U+0064, U+0064	LATIN SMALL LETTER D, LATIN SMALL LETTER D
dj	1	c	U+0064, U+006A	LATIN SMALL LETTER D, LATIN SMALL LETTER J
dsch	1	c	U+0064, U+0073, U+0063, U+0068	LATIN SMALL LETTER D, LATIN SMALL LETTER S, LATIN SMALL LETTER C, LATIN SMALL LETTER H
dt	1	d	U+0064, U+0074	LATIN SMALL LETTER D, LATIN SMALL LETTER T
e	12823	e	U+0065	LATIN SMALL LETTER E
e̊	20	e	U+0065, U+030A	LATIN SMALL LETTER E, COMBINING RING ABOVE
ë	5	e	U+00EB	LATIN SMALL LETTER E WITH DIAERESIS
ea	121	ea	U+0065, U+0061	LATIN SMALL LETTER E, LATIN SMALL LETTER A
eä	22	e	U+0065, U+00E4	LATIN SMALL LETTER E, LATIN SMALL LETTER A WITH DIAERESIS
eah	6	ea	U+0065, U+0061, U+0068	LATIN SMALL LETTER E, LATIN SMALL LETTER A, LATIN SMALL LETTER H
eäh	3	e	U+0065, U+00E4, U+0068	LATIN SMALL LETTER E, LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER H
ee	104	e	U+0065, U+0065	LATIN SMALL LETTER E, LATIN SMALL LETTER E
eë	1	e	U+0065, U+00EB	LATIN SMALL LETTER E, LATIN SMALL LETTER E WITH DIAERESIS
eei	2	ei	U+0065, U+0065, U+0069	LATIN SMALL LETTER E, LATIN SMALL LETTER E, LATIN SMALL LETTER I
eeï	2	ei	U+0065, U+0065, U+00EF	LATIN SMALL LETTER E, LATIN SMALL LETTER E, LATIN SMALL LETTER I WITH DIAERESIS
eeu	1	ø	U+0065, U+0065, U+0075	LATIN SMALL LETTER E, LATIN SMALL LETTER E, LATIN SMALL LETTER U
eə	2	ea	U+0065, U+0259	LATIN SMALL LETTER E, LATIN SMALL LETTER SCHWA
eh	563	e	U+0065, U+0068	LATIN SMALL LETTER E, LATIN SMALL LETTER H
ëh	1	e	U+00EB, U+0068	LATIN SMALL LETTER E WITH DIAERESIS, LATIN SMALL LETTER H
ehe	3	e	U+0065, U+0068, U+0065	LATIN SMALL LETTER E, LATIN SMALL LETTER H, LATIN SMALL LETTER E
ehi	2	ei	U+0065, U+0068, U+0069	LATIN SMALL LETTER E, LATIN SMALL LETTER H, LATIN SMALL LETTER I
eho	1	eo	U+0065, U+0068, U+006F	LATIN SMALL LETTER E, LATIN SMALL LETTER H, LATIN SMALL LETTER O
ei	1725	ei	U+0065, U+0069	LATIN SMALL LETTER E, LATIN SMALL LETTER I
eï	23	ei	U+0065, U+00EF	LATIN SMALL LETTER E, LATIN SMALL LETTER I WITH DIAERESIS
e̊i	1	oi	U+0065, U+030A, U+0069	LATIN SMALL LETTER E, COMBINING RING ABOVE, LATIN SMALL LETTER I
ëi	12	ei	U+00EB, U+0069	LATIN SMALL LETTER E WITH DIAERESIS, LATIN SMALL LETTER I
eia	1	ei	U+0065, U+0069, U+0061	LATIN SMALL LETTER E, LATIN SMALL LETTER I, LATIN SMALL LETTER A
eih	11	ei	U+0065, U+0069, U+0068	LATIN SMALL LETTER E, LATIN SMALL LETTER I, LATIN SMALL LETTER H
eii	2	ei	U+0065, U+0069, U+0069	LATIN SMALL LETTER E, LATIN SMALL LETTER I, LATIN SMALL LETTER I
eij	3	ei	U+0065, U+0069, U+006A	LATIN SMALL LETTER E, LATIN SMALL LETTER I, LATIN SMALL LETTER J
ej	28	ei	U+0065, U+006A	LATIN SMALL LETTER E, LATIN SMALL LETTER J
ëj	1	ei	U+00EB, U+006A	LATIN SMALL LETTER E WITH DIAERESIS, LATIN SMALL LETTER J
ejh	1	ei	U+0065, U+006A, U+0068	LATIN SMALL LETTER E, LATIN SMALL LETTER J, LATIN SMALL LETTER H
ejj	4	ei	U+0065, U+006A, U+006A	LATIN SMALL LETTER E, LATIN SMALL LETTER J, LATIN SMALL LETTER J
eo	17	eo	U+0065, U+006F	LATIN SMALL LETTER E, LATIN SMALL LETTER O
eö	1	ø	U+0065, U+00F6	LATIN SMALL LETTER E, LATIN SMALL LETTER O WITH DIAERESIS
eou	1	ou	U+0065, U+006F, U+0075	LATIN SMALL LETTER E, LATIN SMALL LETTER O, LATIN SMALL LETTER U
er	4	ea	U+0065, U+0072	LATIN SMALL LETTER E, LATIN SMALL LETTER R
eu	66	ø	U+0065, U+0075	LATIN SMALL LETTER E, LATIN SMALL LETTER U
ëu	1	ø	U+00EB, U+0075	LATIN SMALL LETTER E WITH DIAERESIS, LATIN SMALL LETTER U
eui	2	ø	U+0065, U+0075, U+0069	LATIN SMALL LETTER E, LATIN SMALL LETTER U, LATIN SMALL LETTER I
ey	1	ei	U+0065, U+0079	LATIN SMALL LETTER E, LATIN SMALL LETTER Y
eÿ	1	ei	U+0065, U+00FF	LATIN SMALL LETTER E, LATIN SMALL LETTER Y WITH DIAERESIS
ə	47	e	U+0259	LATIN SMALL LETTER SCHWA
ɛ	3	e	U+025B	LATIN SMALL LETTER OPEN E
f	2025	f	U+0066	LATIN SMALL LETTER F
ff	81	f	U+0066, U+0066	LATIN SMALL LETTER F, LATIN SMALL LETTER F
g	5039	g	U+0067	LATIN SMALL LETTER G
gg	516	g	U+0067, U+0067	LATIN SMALL LETTER G, LATIN SMALL LETTER G
gh	1	g	U+0067, U+0068	LATIN SMALL LETTER G, LATIN SMALL LETTER H
gj	1	g	U+0067, U+006A	LATIN SMALL LETTER G, LATIN SMALL LETTER J
h	2934	h	U+0068	LATIN SMALL LETTER H
i	4105	i	U+0069	LATIN SMALL LETTER I
i̊	2	i	U+0069, U+030A	LATIN SMALL LETTER I, COMBINING RING ABOVE
ï	3	i	U+00EF	LATIN SMALL LETTER I WITH DIAERESIS
ia	73	ia	U+0069, U+0061	LATIN SMALL LETTER I, LATIN SMALL LETTER A
iå	1	ia	U+0069, U+00E5	LATIN SMALL LETTER I, LATIN SMALL LETTER A WITH RING ABOVE
iä	67	ia	U+0069, U+00E4	LATIN SMALL LETTER I, LATIN SMALL LETTER A WITH DIAERESIS
iah	16	ia	U+0069, U+0061, U+0068	LATIN SMALL LETTER I, LATIN SMALL LETTER A, LATIN SMALL LETTER H
iäh	17	ia	U+0069, U+00E4, U+0068	LATIN SMALL LETTER I, LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER H
iär	2	ia	U+0069, U+00E4, U+0072	LATIN SMALL LETTER I, LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER R
iau	1	ia	U+0069, U+0061, U+0075	LATIN SMALL LETTER I, LATIN SMALL LETTER A, LATIN SMALL LETTER U
ie	1152	i	U+0069, U+0065	LATIN SMALL LETTER I, LATIN SMALL LETTER E
ië	7	i	U+0069, U+00EB	LATIN SMALL LETTER I, LATIN SMALL LETTER E WITH DIAERESIS
iea	1	ia	U+0069, U+0065, U+0061	LATIN SMALL LETTER I, LATIN SMALL LETTER E, LATIN SMALL LETTER A
iee	1	i	U+0069, U+0065, U+0065	LATIN SMALL LETTER I, LATIN SMALL LETTER E, LATIN SMALL LETTER E
ieh	22	i	U+0069, U+0065, U+0068	LATIN SMALL LETTER I, LATIN SMALL LETTER E, LATIN SMALL LETTER H
iehe	1	ia	U+0069, U+0065, U+0068, U+0065	LATIN SMALL LETTER I, LATIN SMALL LETTER E, LATIN SMALL LETTER H, LATIN SMALL LETTER E
ier	2	ia	U+0069, U+0065, U+0072	LATIN SMALL LETTER I, LATIN SMALL LETTER E, LATIN SMALL LETTER R
iə	6	ia	U+0069, U+0259	LATIN SMALL LETTER I, LATIN SMALL LETTER SCHWA
ih	1429	i	U+0069, U+0068	LATIN SMALL LETTER I, LATIN SMALL LETTER H
iha	10	ia	U+0069, U+0068, U+0061	LATIN SMALL LETTER I, LATIN SMALL LETTER H, LATIN SMALL LETTER A
ihe	6	ia	U+0069, U+0068, U+0065	LATIN SMALL LETTER I, LATIN SMALL LETTER H, LATIN SMALL LETTER E
ii	11	i	U+0069, U+0069	LATIN SMALL LETTER I, LATIN SMALL LETTER I
iie	1	i	U+0069, U+0069, U+0065	LATIN SMALL LETTER I, LATIN SMALL LETTER I, LATIN SMALL LETTER E
