Index	Bogennummer	REDE_Namen	Sprache	WS9Transliteration
ab	1139	Gliszcz	1	Ÿk bÿ - bi dä Frug wäst u - häbb - - ä - sächt u - sai - - säd - - sai - - wu - dat ok - ähne Dochtn - - - sägge - -
ab	11467	Boilstädt	1	Ech bänn - bie där Frau gewäst un - henn es - ehr - gesäht - - Seh - - säht - - seh - - wöll - äs - - öhrer Tochter - - - säh - -
ab	11485	Ingersleben	1	Ech bän - bi der Frau gewaast on - han s - er - gesat on - se - - sate - - se - - wöll - 's au - iahrar Tochter - - - sa - -
ab	1150	Czarze	1	Ek ben - bi de Frug gewest on - heb et - e - gesegt on - se - - segt - - se - - wul - et ok - ehre Dächter - - - seie - -
ab	11515	Gutendorf	1	Ech benn - bei d'r Frauwe gewaßt on - haw as - 'r - gesaht on - se - - sahte - - se - - wöll - es - - ärer Tochter - - - sah - -
ab	11539	Kleinschwabhausen	1	Ech bän - bei dār Fra gewāst on - ha s - 'r - jesaht on - se - - sahte - - se - - will - es og - ährer Tochter - - - sah - -
ab	11568	Thalbürgel	1	Ich bin - bei der Fra gewäsen un - ha es - ihr - gesät un - sie - - sote - - se - - welle - es - - ihrer Tochter - - - sa - -
ab	1157	Bielczyny	1	I bin - bei dem Weib g'we unn - hann s - ihr - g'sagt unn - sie hat - g'sagt - - sie - - will - 's a - ihrer Tochter - - - saga - -
ab	11586	Bad Köstritz	1	Ich bin - bei dar Fro gewasen un - hob s - er - geset un - se - - sete - - se - - wullt - es āch - ehrer Tuchter - - - soge - -
ab	11607	Lumpzig	1	Ich bin - bei der Fro gewaßt un - hobe 's - 'r - geseet un - se - - seete - - se - - wal - s o - erer Tuchter - - - soge - -
ab	1162	Sierakowo	1	Oeck bö - bi däm Wiew wäst o - häbb - - ä - seggt o - see - - säd - - sei - - wo - dat ock - ehre Dochte - - - segge - -
ab	11645	Gleismuthhausen	1	Ich bin - bei dä Fra gewast un - ho s - ĕra - gsogt un do - hott sa gsogt - - sie - - wöllt - s - - ihra Tochter - a - sog - -
ab	11673	Mitwitz	1	Ich wa̰ - bei de Fra - und - ho s - er s gesogt u - sie - - sogt - - sie - - wollt - s - - ihre Tochte - - - sogn - -
ab	11763	Aub	1	Ich bin - bei die Fra gawast un - ho s - ara - gsogt un - sie hōt - gesōgt - - sie - - welt - 's a - ihrer Tuchter - - - sog - -
ab	1178	Sokoliniec	1	Ick bü - bi dä Fruka weist u - heb t - ä - seggt u - se - - seid - - se - - wö - t - - ähre Tochte - - - segga - -
