Grapheme	Frequency	IPA	Codepoint	UnicodeName
œ	2	ø	U+0153	LATIN SMALL LIGATURE OE
oeë	2	u	U+006F, U+0065, U+00EB	LATIN SMALL LETTER O, LATIN SMALL LETTER E, LATIN SMALL LETTER E WITH DIAERESIS
oeë	2	u	U+006F, U+0065, U+00EB	LATIN SMALL LETTER O, LATIN SMALL LETTER E, LATIN SMALL LETTER E WITH DIAERESIS
oeə	1	u	U+006F, U+0065, U+0259	LATIN SMALL LETTER O, LATIN SMALL LETTER E, LATIN SMALL LETTER SCHWA
oə	3	o	U+006F, U+0259	LATIN SMALL LETTER O, LATIN SMALL LETTER SCHWA
oi	5	oi	U+006F, U+0069	LATIN SMALL LETTER O, LATIN SMALL LETTER I
oo	62	o	U+006F, U+006F	LATIN SMALL LETTER O, LATIN SMALL LETTER O
oö	1	ø	U+006F, U+00F6	LATIN SMALL LETTER O, LATIN SMALL LETTER O WITH DIAERESIS
öö	2	ø	U+00F6, U+00F6	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER O WITH DIAERESIS
ou	163	au	U+006F, U+0075	LATIN SMALL LETTER O, LATIN SMALL LETTER U
öu	1	au	U+00F6, U+0075	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER U
ouoe	1	au	U+006F, U+0075, U+006F, U+0065	LATIN SMALL LETTER O, LATIN SMALL LETTER U, LATIN SMALL LETTER O, LATIN SMALL LETTER E
owə	1	o	U+006F, U+0077, U+0259	LATIN SMALL LETTER O, LATIN SMALL LETTER W, LATIN SMALL LETTER SCHWA
ɔ	15	o	U+0254	LATIN SMALL LETTER OPEN O
ɔu	5	ou	U+0254, U+0075	LATIN SMALL LETTER OPEN O, LATIN SMALL LETTER U
p	17	p	U+0070	LATIN SMALL LETTER P
r	481	r	U+0072	LATIN SMALL LETTER R
rd	1	r	U+0072, U+0064	LATIN SMALL LETTER R, LATIN SMALL LETTER D
rr	1	r	U+0072, U+0072	LATIN SMALL LETTER R, LATIN SMALL LETTER R
s	221	s	U+0073	LATIN SMALL LETTER S
sc	3	ʃ	U+0073, U+0063	LATIN SMALL LETTER S, LATIN SMALL LETTER C
ss	1	s	U+0073, U+0073	LATIN SMALL LETTER S, LATIN SMALL LETTER S
ʃ	5	ʃ	U+0283	LATIN SMALL LETTER ESH
ʃʃ	1	ʃ	U+0283, U+0283	LATIN SMALL LETTER ESH, LATIN SMALL LETTER ESH
t	814	t	U+0074	LATIN SMALL LETTER T
tj	2	c	U+0074, U+006A	LATIN SMALL LETTER T, LATIN SMALL LETTER J
ts	3	c	U+0074, U+0073	LATIN SMALL LETTER T, LATIN SMALL LETTER S
tsj	2	c	U+0074, U+0073, U+006A	LATIN SMALL LETTER T, LATIN SMALL LETTER S, LATIN SMALL LETTER J
u	35	y	U+0075	LATIN SMALL LETTER U
ü	11	y	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS
ue	5	y	U+0075, U+0065	LATIN SMALL LETTER U, LATIN SMALL LETTER E
uə	1	y	U+0075, U+0259	LATIN SMALL LETTER U, LATIN SMALL LETTER SCHWA
ui	5	y	U+0075, U+0069	LATIN SMALL LETTER U, LATIN SMALL LETTER I
üö	1	y	U+00FC, U+00F6	LATIN SMALL LETTER U WITH DIAERESIS, LATIN SMALL LETTER O WITH DIAERESIS
uu	7	y	U+0075, U+0075	LATIN SMALL LETTER U, LATIN SMALL LETTER U
v	128	f	U+0076	LATIN SMALL LETTER V
w	292	w	U+0077	LATIN SMALL LETTER W
ww	1	w	U+0077, U+0077	LATIN SMALL LETTER W, LATIN SMALL LETTER W
x	41	x	U+0078	LATIN SMALL LETTER X
y	12	i	U+0079	LATIN SMALL LETTER Y
ÿ	2	i	U+00FF	LATIN SMALL LETTER Y WITH DIAERESIS
z	545	z	U+007A	LATIN SMALL LETTER Z
zz	7	z	U+007A, U+007A	LATIN SMALL LETTER Z, LATIN SMALL LETTER Z
