Grapheme	Frequency	IPA	Codepoint	UnicodeName
-	3719	-	U+002D	HYPHEN-MINUS
a	99	a	U+0061	LATIN SMALL LETTER A
å	3	o	U+00E5	LATIN SMALL LETTER A WITH RING ABOVE
ä	16	e	U+00E4	LATIN SMALL LETTER A WITH DIAERESIS
aa	36	a	U+0061, U+0061	LATIN SMALL LETTER A, LATIN SMALL LETTER A
aai	3	ai	U+0061, U+0061, U+0069	LATIN SMALL LETTER A, LATIN SMALL LETTER A, LATIN SMALL LETTER I
aau	4	au	U+0061, U+0061, U+0075	LATIN SMALL LETTER A, LATIN SMALL LETTER A, LATIN SMALL LETTER U
aə	1	ai	U+0061, U+0259	LATIN SMALL LETTER A, LATIN SMALL LETTER SCHWA
ah	1	a	U+0061, U+0068	LATIN SMALL LETTER A, LATIN SMALL LETTER H
äh	1	e	U+00E4, U+0068	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER H
ai	26	ai	U+0061, U+0069	LATIN SMALL LETTER A, LATIN SMALL LETTER I
äi	1	ei	U+00E4, U+0069	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER I
aj	1	ai	U+0061, U+006A	LATIN SMALL LETTER A, LATIN SMALL LETTER J
ao	10	ao	U+0061, U+006F	LATIN SMALL LETTER A, LATIN SMALL LETTER O
äö	2	ø	U+00E4, U+00F6	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER O WITH DIAERESIS
au	10	au	U+0061, U+0075	LATIN SMALL LETTER A, LATIN SMALL LETTER U
äu	1	ø	U+00E4, U+0075	LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER U
auoe	1	au	U+0061, U+0075, U+006F, U+0065	LATIN SMALL LETTER A, LATIN SMALL LETTER U, LATIN SMALL LETTER O, LATIN SMALL LETTER E
ay	4	ai	U+0061, U+0079	LATIN SMALL LETTER A, LATIN SMALL LETTER Y
b	318	b	U+0062	LATIN SMALL LETTER B
bb	14	b	U+0062, U+0062	LATIN SMALL LETTER B, LATIN SMALL LETTER B
c	1	x	U+0063	LATIN SMALL LETTER C
ch	146	x	U+0063, U+0068	LATIN SMALL LETTER C, LATIN SMALL LETTER H
ck	3	k	U+0063, U+006B	LATIN SMALL LETTER C, LATIN SMALL LETTER K
d	361	d	U+0064	LATIN SMALL LETTER D
e	1498	e	U+0065	LATIN SMALL LETTER E
ë	1	e	U+00EB	LATIN SMALL LETTER E WITH DIAERESIS
ea	5	ea	U+0065, U+0061	LATIN SMALL LETTER E, LATIN SMALL LETTER A
ee	103	e	U+0065, U+0065	LATIN SMALL LETTER E, LATIN SMALL LETTER E
eei	1	ei	U+0065, U+0065, U+0069	LATIN SMALL LETTER E, LATIN SMALL LETTER E, LATIN SMALL LETTER I
eej	8	ei	U+0065, U+0065, U+006A	LATIN SMALL LETTER E, LATIN SMALL LETTER E, LATIN SMALL LETTER J
eə	3	e	U+0065, U+0259	LATIN SMALL LETTER E, LATIN SMALL LETTER SCHWA
eh	1	e	U+0065, U+0068	LATIN SMALL LETTER E, LATIN SMALL LETTER H
ei	64	ei	U+0065, U+0069	LATIN SMALL LETTER E, LATIN SMALL LETTER I
eië	1	ei	U+0065, U+0069, U+00EB	LATIN SMALL LETTER E, LATIN SMALL LETTER I, LATIN SMALL LETTER E WITH DIAERESIS
eij	1	ei	U+0065, U+0069, U+006A	LATIN SMALL LETTER E, LATIN SMALL LETTER I, LATIN SMALL LETTER J
ej	2	ei	U+0065, U+006A	LATIN SMALL LETTER E, LATIN SMALL LETTER J
eö	1	ø	U+0065, U+00F6	LATIN SMALL LETTER E, LATIN SMALL LETTER O WITH DIAERESIS
eoe	1	u	U+0065, U+006F, U+0065	LATIN SMALL LETTER E, LATIN SMALL LETTER O, LATIN SMALL LETTER E
eu	110	ø	U+0065, U+0075	LATIN SMALL LETTER E, LATIN SMALL LETTER U
euə	1	ø	U+0065, U+0075, U+0259	LATIN SMALL LETTER E, LATIN SMALL LETTER U, LATIN SMALL LETTER SCHWA
ə	234	e	U+0259	LATIN SMALL LETTER SCHWA
əej	1	ei
əe	34	e	U+0259, U+0065	LATIN SMALL LETTER SCHWA, LATIN SMALL LETTER E
əej	1	ei	U+0259, U+0065, U+006A	LATIN SMALL LETTER SCHWA, LATIN SMALL LETTER E, LATIN SMALL LETTER J
ɛ	32	e	U+025B	LATIN SMALL LETTER OPEN E
ɛə	1	e
ɛe	1	e	U+025B, U+0065	LATIN SMALL LETTER OPEN E, LATIN SMALL LETTER E
ɛi	2	ei	U+025B, U+0069	LATIN SMALL LETTER OPEN E, LATIN SMALL LETTER I
ɛj	5	ei	U+025B, U+006A	LATIN SMALL LETTER OPEN E, LATIN SMALL LETTER J
f	29	f	U+0066	LATIN SMALL LETTER F
ff	3	f	U+0066, U+0066	LATIN SMALL LETTER F, LATIN SMALL LETTER F
g	367	g	U+0067	LATIN SMALL LETTER G
gg	99	g	U+0067, U+0067	LATIN SMALL LETTER G, LATIN SMALL LETTER G
gn	1	ŋ	U+0067, U+006E	LATIN SMALL LETTER G, LATIN SMALL LETTER N
h	264	h	U+0068	LATIN SMALL LETTER H
hj	3	j	U+0068, U+006A	LATIN SMALL LETTER H, LATIN SMALL LETTER J
i	239	i	U+0069	LATIN SMALL LETTER I
ia	2	ia	U+0069, U+0061	LATIN SMALL LETTER I, LATIN SMALL LETTER A
ie	64	i	U+0069, U+0065	LATIN SMALL LETTER I, LATIN SMALL LETTER E
iej	2	i	U+0069, U+0065, U+006A	LATIN SMALL LETTER I, LATIN SMALL LETTER E, LATIN SMALL LETTER J
iə	2	i	U+0069, U+0259	LATIN SMALL LETTER I, LATIN SMALL LETTER SCHWA
ii	3	i	U+0069, U+0069	LATIN SMALL LETTER I, LATIN SMALL LETTER I
ij	75	ei	U+0069, U+006A	LATIN SMALL LETTER I, LATIN SMALL LETTER J
io	1	io	U+0069, U+006F	LATIN SMALL LETTER I, LATIN SMALL LETTER O
j	8	j	U+006A	LATIN SMALL LETTER J
ja	6	ia	U+006A, U+0061	LATIN SMALL LETTER J, LATIN SMALL LETTER A
je	2	ia	U+006A, U+0065	LATIN SMALL LETTER J, LATIN SMALL LETTER E
jg	1	j	U+006A, U+0067	LATIN SMALL LETTER J, LATIN SMALL LETTER G
k	280	k	U+006B	LATIN SMALL LETTER K
kk	1	k	U+006B, U+006B	LATIN SMALL LETTER K, LATIN SMALL LETTER K
l	33	l	U+006C	LATIN SMALL LETTER L
ll	1	l	U+006C, U+006C	LATIN SMALL LETTER L, LATIN SMALL LETTER L
m	31	m	U+006D	LATIN SMALL LETTER M
n	597	n	U+006E	LATIN SMALL LETTER N
ng	26	ŋ	U+006E, U+0067	LATIN SMALL LETTER N, LATIN SMALL LETTER G
nn	1	n	U+006E, U+006E	LATIN SMALL LETTER N, LATIN SMALL LETTER N
o	252	o	U+006F	LATIN SMALL LETTER O
ö	6	ø	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
ø	26	ø	U+00F8	LATIN SMALL LETTER O WITH STROKE
oa	11	oa	U+006F, U+0061	LATIN SMALL LETTER O, LATIN SMALL LETTER A
oä	1	o	U+006F, U+00E4	LATIN SMALL LETTER O, LATIN SMALL LETTER A WITH DIAERESIS
öa	2	ø	U+00F6, U+0061	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER A
oae	3	oa	U+006F, U+0061, U+0065	LATIN SMALL LETTER O, LATIN SMALL LETTER A, LATIN SMALL LETTER E
oah	1	oa	U+006F, U+0061, U+0068	LATIN SMALL LETTER O, LATIN SMALL LETTER A, LATIN SMALL LETTER H
oe	12	u	U+006F, U+0065	LATIN SMALL LETTER O, LATIN SMALL LETTER E
öe	1	ø	U+00F6, U+0065	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER E
