Index	Bogennummer	Ort	Sprache	ich1	bin	sein1	war	hab	gewesen	bei	von	nach	zu	mit	der1	frau	weib	alten	basi	mutter	und1	ich2	habe	es1	für1	an1	zu1	gegen1	ihr	ihrder	ihrsie	gesagt1	und2	da	sie1	hat1	gesagt2	dass	sie2	ich3	hat2	es2	will	tut	geht	soll	macht	sagen	auch	schon	gleich	für2	an2	zu2	gegen2	ihrer	der	sein	mein	tochter	mädchen	deern	mensch	lüte	gits	famen
ab	1035	Stobno	1	i ck	b ü n	- - - -	- - - -	- - - -	- - w ei s - t	b i	-	- - -	-	-	d ä - - -	f r u k o -	- - - - -	- - - -	-	-	u - -	- - -	h e b - -	- - t	-	-	-	- - - - -	- ä - - -	- - - -	-	- - s ä g t	u - -	-	s e	- - - -	- - s ei - d -	- - -	s e	-	-	- - t	w ö - - - -	- - -	- - - -	- - -	-	s e k o -	o k	-	-	- - -	-	- - -	- - - - -	- ei r o - - -	- - -	- - - - - -	-	d o g t e - - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10351	Brandscheid	1	i ch	- - -	s e nn -	- - - -	- - - -	g e w e s e n	b ei	-	- - -	-	-	d e r - -	f r au - - -	- - - - -	- - - -	-	-	u n -	- - -	h ou n - -	- e t	-	-	-	- - - - -	- ih r - -	- - - -	-	g e s ou - t	u n -	-	s e	- - - -	- - s ou - t -	- - -	s e	-	-	- e t	w o l - t e	- - -	- - - -	- - -	-	s ou - - n	o ch	-	-	- - -	-	- - -	- - - - -	h i rr e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10368	Büdesheim	1	e ch	- - -	s i nn -	- - - -	- - - -	g e w ä s - t	b eï	-	- - -	-	-	d - rr - -	f r au - - -	- - - - -	- - - -	-	-	u nn -	- - -	h ao n - -	- e t	-	-	-	- - - - -	- - r - -	- - - -	-	g e s ao - d	nn - -	-	s e	- - - -	- - s ao - d -	- - -	s e	-	-	- e d	w o ll - t -	- - -	- - - -	- - -	-	s a - oh n	ou ch	-	-	- - -	-	- - -	- - - - -	h i rr e r - -	- - -	- - - - - -	-	d ou g d e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10381	Waldkönigen	1	e ch	- - -	s e - -	- - - -	- - - -	j e w äh s - t	b ei	-	- - -	-	-	d e r - -	f r au - - -	- - - - -	- - - -	-	-	o n -	- - -	h o n - -	- e t	-	-	-	- - - - -	- e r - -	- - - -	-	j e s oo - t	o n -	-	s e	- - - -	- - s oo - t -	- - -	s e	-	-	- e t	w ö ll - - -	- - -	- - - -	- - -	-	s oo - - n	o ch	-	-	- - -	-	- - -	- - - - -	h i rr e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	1050	Krostkowo	1	ii k	b ü -	- - - -	- - - -	- - - -	- - w e s - t	b i	-	- - -	-	-	d e - - -	f r u g e -	- - - - -	- - - -	-	-	u - -	- - -	h e b - -	- - -	-	-	-	- - - - -	- e - - -	- - - -	-	- - s e g t	u - -	-	s ei	- - - -	- - s ä - d -	- - -	s ei	-	-	- - t	w u - - - -	- - -	- - - -	- - -	-	s e g e -	e k	-	-	- - -	-	- - -	- - - - -	- - - - - - -	- - -	- - - - - -	-	d o ch t e - - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10584	Kalenborn	1	e ch	- - -	s eu n -	- - - -	- - - -	g e w ä s - t	b eu	-	- - -	-	-	d ä r - -	f r a - - -	- - - - -	- - - -	-	-	u n -	- - -	h a nn - -	- e t	-	-	-	- - - - -	- i r - -	- - - -	-	g e s oä - t	u n -	-	s eu	- - - -	- - s oä - t -	- - -	s e	-	-	- ä t	w o ll - - -	- - -	- - - -	- - -	-	s oo - - n	o ch	-	-	- - -	-	- - -	- - - - -	- i r e r - -	- - -	- - - - - -	-	d i ch d e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10601	Gappenach	1	e ch	- - -	s ei n -	- - - -	- - - -	g e w eä s - t	b ei	-	- - -	-	-	d e - - -	f r a - - -	- - - - -	- - - -	-	-	o n -	- - -	h a nn - -	- e t	-	-	-	- - - - -	- e r - -	- - - -	-	g e s oh - t	o n -	-	s e	- - - -	- - s oh - t -	- - -	s e	-	-	- e t	w e ll - t -	- - -	- - - -	- - -	-	s oh - - n	o ch	-	-	- - -	-	- - -	- - - - -	- ih r e - - -	- - -	- - - - - -	-	d e ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10621	Rhens	1	e ch	- - -	s ei n -	- - - -	- - - -	g e w e s - -	b ei	-	- - -	-	-	d e r - -	f r a - - -	- - - - -	- - - -	-	-	o n -	- - -	h o n - -	- e t	-	-	-	- - - - -	- ih r - -	- - - -	-	g e s o - d	o n -	-	s e	- - - -	- - s o - d -	- - -	s e	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s o - - n	u ch	-	-	- - -	-	- - -	- - - - -	- ih r e r - -	- - -	- - - - - -	-	d o ch d e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10649	Attenhausen	1	äi ch	- - -	s e nn -	- - - -	- - - -	g e w e s - t	b ai	-	- - -	-	-	d a - - -	f r aa - - -	- - - - -	- - - -	-	-	u n -	- - -	h o n - -	- - s	-	-	-	- - - - -	- a - - -	- - - -	-	g e s oo - t	u n -	-	s e	- - - -	- - s oo - t -	- - -	s e	-	-	- - s	w e ll - - -	- - -	- - - -	- - -	-	s oo - - -	aa ch	-	-	- - -	-	- - -	- - - - -	- äh r e r - -	- - -	- - - - - -	-	t o ch t a - - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10663	Heringen	1	i ch	- - -	s e n -	- - - -	- - - -	g e w e s e -	b ei	-	- - -	-	-	d e r - -	f r a - - -	- - - - -	- - - -	-	-	u n -	- - -	h o n - -	- - s	-	-	-	- - - - -	- e r - -	- - - -	-	g e s o - t	u n -	-	s e	- - - -	- - s o - d -	- - -	s e	-	-	- - s	w e ll - t -	- - -	- - - -	- - -	-	s oh - - n	a ch	-	-	- - -	-	- - -	- - - - -	- ih r - m - -	- - -	- - - - - -	-	- - - - - - - -	m a d - ch e -	- - - - - -	-	-	-	-
ab	10690	Honsfeld	1	i ch	- - -	s e nn -	- - - -	- - - -	j e w e s - t	b ei	-	- - -	-	-	d e r - -	f r au - - -	- - - - -	- - - -	-	-	o n -	- - -	h a n - -	d a t	-	-	-	- - - - -	h e r - -	- - - -	-	j e s ah - t	o n -	-	s ie	- - - -	- - s ah - t -	- - -	s ie	-	-	h e t	w ö ll - t -	- - -	- - - -	- - -	-	s oh - - n	o ch	-	-	- - -	-	- - -	- - - - -	h e rr e m - -	- - -	- - - - - -	-	- - - - - - - -	m ä d - ch e n	- - - - - -	-	-	-	-
ab	10697	Dahlem	1	e ch	- - -	s e - -	- - - -	- - - -	g e w e s - -	b i	-	- - -	-	-	d e r - -	f r au - - -	- - - - -	- - - -	-	-	o n -	- - -	h a n - -	- e t	-	-	-	- - - - -	- ih r - -	- - - -	-	g e s oo - t	o n -	-	s i	- - - -	- - s oo - t -	- - -	s i	-	-	- e t	w ö ll - - -	- - -	- - - -	- - -	-	s oo - - n	- -	-	-	- - -	-	- - -	- - - - -	- ih r e r - -	- - -	- - - - - -	-	t o g t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10709	Aremberg	1	e ch	- - -	s e n -	- - - -	- - - -	g e w e s - -	b ei	-	- - -	-	-	d - r - -	f r au - - -	- - - - -	- - - -	-	-	o n d	- - -	h a n - -	- e t	-	-	-	- - - - -	- eh r - -	- - - -	-	g e s o - d	- - -	-	- -	- - - -	- - - - - - -	- - -	s e	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s o - - n	o ch	-	-	- - -	-	- - -	- - - - -	- eh r e r - -	- - -	- - - - - -	-	d o g t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10736	Hohenleimbach	1	e ch	- - -	s ei n -	- - - -	- - - -	g e w äh s - t	b ei	-	- - -	-	-	d - r - -	f r oh - - -	- - - - -	- - - -	-	-	o n -	- - -	h a nn - -	- e t	-	-	-	- - - - -	- ih r - -	- - - -	-	g e s oh - t	o n -	-	s e	- - - -	- - s oh - t -	- - -	s e	-	-	- e t	w ö ll - - -	- - -	- - - -	- - -	-	s oh - - n	o ch	-	-	- - -	-	- - -	- - - - -	- ih r e r - -	- - -	- - - - - -	-	d oi ch d e r - -	- - - - - - -	- - - - - -	-	-	-	-
ab	10857	Hatzfeld (Eder)	1	e ch	- - -	s ei - -	- - - -	- - - -	g - w e s - t	b ei	-	- - -	-	-	d - r - -	f r a - - -	- - - - -	- - - -	-	-	u n -	- - -	h o - - -	- e s	-	-	-	- - - - -	- eh r - -	- - - -	-	k e s ah - t	u n -	-	s e	- - - -	- - s ah - t e	- - -	s e	-	-	- e s	w e ll - - -	- - -	- - - -	- - -	-	s ah - - -	o -	-	-	- - -	-	- - -	- - - - -	- eh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
