Index	Bogennummer	Ort	Sprache	ich1	bin	sein1	war	hab	gewesen	bei	von	nach	zu	mit	der1	frau	weib	alten	basi	mutter	und1	ich2	habe	es1	für1	an1	zu1	gegen1	ihr	ihrder	ihrsie	gesagt1	und2	da	sie1	hat1	gesagt2	dass	sie2	ich3	hat2	es2	will	tut	geht	soll	macht	sagen	auch	schon	gleich	für2	an2	zu2	gegen2	ihrer	der	sein	mein	tochter	mädchen	deern	mensch	lüte	gits	famen
ef	20543	Haren (Ems)	1	j k	b ü n	- - - -	- - - -	- - - -	- - w ä s e n	b i	-	- - -	-	-	d e - - -	f r ou - - -	- - - - -	- - - -	-	-	u n -	- - -	h ä bb - -	- e t	-	-	-	- - - - -	- äh r - -	- - - -	-	- - s ä g -	u n -	-	s e	- - - -	- - s äh - - -	- - -	s e	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	u k	-	-	- - -	-	- - -	- - - - -	- äh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20555	Hüven	1	j k	b ü n	- - - -	- - - -	- - - -	- - w ä s e n	b ie	-	- - -	-	-	d e - - -	f r ou - - -	- - - - -	- - - -	-	-	u n -	- - -	h ä bb - -	- e t	-	-	-	- - - - -	- eh r - -	- - - -	-	- - s e g t	u n -	-	s ee	- - - -	- - s e gg t e	- - -	s ee	-	-	- e t	w u ll - - -	- - -	- - - -	- - -	-	s e gg e n	- -	-	-	- - -	-	- - -	- - - - -	- äh r e - - -	- - -	- - - - - -	-	d a ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20562	Garen	1	j ck	b ü n	- - - -	- - - -	- - - -	- - w ä s e n	b i	-	- - -	-	-	d ëi - - -	f r au - - -	- - - - -	- - - -	-	-	u n -	- - -	h ä bb - -	- e t	-	-	-	- - - - -	- ä r - -	- - - -	-	- - s e g t	u n -	-	s ëi	- - - -	- - s ä - - -	- - -	s ëi	-	-	- - t	w u ll - - -	- - -	- - - -	- - -	-	s e gg e n	u ck	-	-	- - -	-	- - -	- - - - -	- ä r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20575	Sevelten	1	j k	b ü n	- - - -	- - - -	- - - -	- - w ä s e n	b i	-	- - -	-	-	d e - - -	f r ou - e -	- - - - -	- - - -	-	-	u n -	- - -	h e bb - -	- e t	-	-	-	- - - - -	- ä r - -	- - - -	-	- - s e g t	u n -	-	s e	- - - -	- - s ä - - -	- - -	s e	-	-	- - t	w u l - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- ä r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20589	Neudersum	1	j ck	b ü n	- - - -	- - - -	- - - -	- - w ä s e n	b ie	-	- - -	-	-	d äi - - -	f r ou - - -	- - - - -	- - - -	-	-	u n -	- - -	h ä b - -	- e t	-	-	-	- - - - -	- äh r - -	- - - -	-	- - s e g t	u n -	-	s äi	- - - -	- - s ä - - -	- - -	s äi	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s ä gg e n	ou ck	-	-	- - -	-	- - -	- - - - -	- äh r - - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20596	Neubörger	1	i k	b ü n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d e - - -	f r o - - -	- - - - -	- - - -	-	-	u n -	- - -	h a bb - -	- e t	-	-	-	- - - - -	- e r - -	- - - -	-	- - s e g t	u n -	-	s e	- - - -	- - s e g t e	- - -	s e	-	-	- - t	w o l - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- ä r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20599	Neuarenberg	1	j ck	b ü nn	- - - -	- - - -	- - - -	- - w äe s - t	b i	-	- - -	-	-	d a - - -	- - - - - -	w ie f - -	- - - -	-	-	u nn -	- - -	h ä bb e -	d a t	-	-	-	- - - - -	- äh r - -	- - - -	-	- - s e g t	u n -	-	s äi	- - - -	- - s äh - - -	- - -	s äi	-	-	- - t	w u ll - - -	- - -	- - - -	- - -	-	s e gg e n	- -	-	-	- - -	-	- - -	- - - - -	- äh r e - - -	- - -	- - - - - -	-	d a ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20604	Garrel	1	j k	b ü nn	- - - -	- - - -	- - - -	- - w ä s e n	b i	-	- - -	-	-	d a tt - -	- - - - - -	w ie f - -	- - - -	-	-	u n -	- - -	h e bb - -	- e t	-	-	-	- - - - -	- äh r - -	- - - -	-	- - s e g t	u n -	-	s ey	- - - -	- - s äh - - -	- - -	s eÿ	-	-	- - t	w u ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- äh r - - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20638	Visbek	1	j ck	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b i	-	- - -	-	-	d e - - -	f r au - e -	- - - - -	- - - -	-	-	u n -	- - -	h e bb - -	- - t	-	-	-	- - - - -	- eh r - -	- - - -	-	- - s e g -	u n -	-	s e	- - - -	- - s äh - - -	- - -	s e	-	-	- - t	w u ll - - -	- - -	- - - -	- - -	-	s ä g e n	u ck	-	-	- - -	-	- - -	- - - - -	- eh r - - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	2067	Enskemen (-)	1	e ck	- - -	s i - -	- - - -	- - - -	g e w ä s e -	b ei	-	- - -	-	-	d e - - -	f r u - - -	- - - - -	- - - -	-	-	o n -	- - -	h e bb - -	- e t	-	-	-	- - - - -	- äh r - -	- - - -	-	g e s e g t	o n -	-	s e	- - - -	- - s ä - d -	- - -	s e	-	-	- e t	w u ll - - -	- - -	- - - -	- - -	-	s e gg e -	o k	-	-	- - -	-	- - -	- - - - -	- äh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20710	Wietzendorf	1	j ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d ei - - -	f r au - - -	- - - - -	- - - -	-	-	u n d	- - -	h ä w - -	- e t	-	-	-	- - - - -	- äh r - -	- - - -	-	- - s ä g t	u n -	-	s ei	- - - -	- - s äh - - -	- - -	s ei	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s ä gg e n	o k	-	-	- - -	-	- - -	- - - - -	- äh r - - - -	- - -	- - - - - -	-	d o ch d e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20734	Colonie Syke	1	j ck	b ü nn	- - - -	- - - -	- - - -	- - w ä s e n	b ii	-	- - -	-	-	d ee - - -	f r oo - - -	- - - - -	- - - -	-	-	u n -	- - -	h e bb - -	- - t	-	-	-	- - - - -	- ää r - -	- - - -	-	- - s e ch t	u n -	-	s ee	- - - -	- - s ä - - -	- - -	s ee	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e nng - n	oo k	-	-	- - -	-	- - -	- - - - -	- ää r - - - -	- - -	- - - - - -	-	- - - - - - - -	- - - - - - -	d ee r n - -	-	-	-	-
ef	20753	Magelsen	1	j ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	- -	-	n o ch	-	-	d e r - -	f r ou - - -	- - - - -	- - - -	-	-	u n -	- - -	h e bb - -	- - t	-	-	-	- - - - -	- eh r - -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s äh - - -	- - -	s ei	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- eh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20763	Nordkampen	1	j k	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b ie	-	- - -	-	-	d e - - -	f r ou - - -	- - - - -	- - - -	-	-	u n -	- - -	h e w - -	- e t	-	-	-	- - - - -	- äh r - -	- - - -	-	- - s e g t	u n -	-	s ee	- - - -	- - s ä - - -	- - -	s ee	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	ä k	-	-	- - -	-	- - -	- - - - -	- äh r e - - -	- - -	- - - - - -	-	d o ch d e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20774	Vierde	1	j ck	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b ie	-	- - -	-	-	d äi - - -	f r au - - -	- - - - -	- - - -	-	-	u n -	- - -	h e f - -	- e t	-	-	-	- - - - -	- oh r - -	- - - -	-	- - s e g t	u n -	-	s äi	- - - -	- - s äh - - -	- - -	s äi	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s ä ng - n	- -	-	-	- - -	-	- - -	- - - - -	- öh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20788	Schmarbeck	1	j ck	- - -	- - - -	- - - -	h e w -	- - w ä - - n	b ie	-	- - -	-	-	d ei - - -	f r au - - -	- - - - -	- - - -	-	-	u n d	- - -	h e w - -	- - t	-	-	-	- - - - -	- ä r - -	- - - -	-	- - s e g t	u n d	-	s ei	- - - -	- - s ä - - -	- - -	s ei	-	-	- - t	w u ll - - -	- - -	- - - -	- - -	-	s e ng - n	o k	-	-	- - -	-	- - -	- - - - -	- ä r - - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20798	Brümsen	1	e ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b ie	-	- - -	-	-	d - r - -	f r au - - -	- - - - -	- - - -	-	-	u n -	- - -	h ä w - -	- - t	-	-	-	- - - - -	- äh r - -	- - - -	-	- - s e g t	u n -	-	s e	- - - -	- - s äe - - -	- - -	s e	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e ng - n	o k	-	-	- - -	-	- - -	- - - - -	- äh r - - - -	- - -	- - - - - -	-	- - - - - - - -	- - - - - - -	d e r n - -	-	-	-	-
ef	2081	Eydtkau (Eydtkuhnen)	1	e ck	- - -	s ie - -	- - - -	- - - -	g e w e s e -	b ie	-	- - -	-	-	d e - - -	f r u - - -	- - - - -	- - - -	-	-	u n d	- - -	h ä bb - -	- e t	-	-	-	- - - - -	- e r - -	- - - -	-	g e s ä ch t	u n -	-	s e	- - - -	- - s ä - d -	- - -	s e	-	-	- e t	w e ll - - -	- - -	- - - -	- - -	-	s ä gg e -	o ck	-	-	- - -	-	- - -	- - - - -	- äh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20891	Dörpel	1	j ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d e - - -	f r o - e n	- - - - -	- - - -	-	-	u n -	- - -	h e bb e -	- e t	-	-	-	- - - - -	- eh r - -	- - - -	-	- - s e g t	u n -	-	s e	- - - -	- - s äh - - -	- - -	s e	-	-	- e t	w u ll - - -	- - -	- - - -	- - -	-	s e gg e n	u ck	-	-	- - -	-	- - -	- - - - -	- eh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
ef	20901	Maasen	1	j k	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b i	-	- - -	-	-	d e - - -	f r oo - - -	- - - - -	- - - -	-	-	u n -	- - -	h e bb - -	- e t	-	-	-	- - - - -	- e r - -	- - - -	-	- - s e g t	u n -	-	s e	- - - -	- - s e g d e	- - -	s e	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- e rr e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	20917	Drakenburg	1	j ck	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b ie	-	- - -	-	-	d ei - - -	f r o - - -	- - - - -	- - - -	-	-	u n -	- - -	h e bb - t	- e t	-	-	-	- - - - -	- äh r - -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s äe - - -	- - -	s ei	-	-	- e t	w u ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- äh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	20920	Unterrodewald	1	j ck	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b ie	-	- - -	-	-	d ëi - - -	f r ou - - -	- - - - -	- - - -	-	-	u n d	- - -	h e bb e -	- e t	-	-	-	- - - - -	- öh r - -	- - - -	-	- - s e g t	u n d	-	s ëi	- - - -	- - s äh - - -	- - -	s ëi	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- öh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	20933	Thören	1	j ck	b i n	- - - -	- - - -	- - - -	- - w äh - - n	b i	-	- - -	-	-	d ei - - -	f r au - - -	- - - - -	- - - -	-	-	u n -	- - -	h ä ff - -	- - t	-	-	-	- - - - -	- öh r - -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s ä - - -	- - -	s ei	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e ng - n	oo k	-	-	- - -	-	- - -	- - - - -	- öh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	20936	Hassel	1	j ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d ei - - -	f r au - - -	- - - - -	- - - -	-	-	u n -	- - -	h e w - -	- e t	-	-	-	- - - - -	- öh r - -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s äe - - -	- - -	s ei	-	-	- e t	w o ll - t -	- - -	- - - -	- - -	-	s e gg - n	- -	-	-	- - -	-	- - -	- - - - -	- öh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	20946	Scharnhorst	1	i ck	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b i	-	- - -	-	-	d ei - - -	f r u - e -	- - - - -	- - - -	-	-	u n -	- - -	h ä ww e -	- e t	-	-	-	- - - - -	- öh r - -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s ä - - -	- - -	s ei	-	-	- e tt	w o ll - - -	- - -	- - - -	- - -	-	s e gg - n	u ck	-	-	- - -	-	- - -	- - - - -	- öh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	20948	Aschen	1	i k	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d e r - -	f r oh - - -	- - - - -	- - - -	-	-	u n d	- - -	h e bb - -	- e t	-	-	-	- - - - -	- ee r - -	- - - -	-	- - s e g t	u n -	-	s e	- - - -	- - s äh - - -	- - -	s e	-	-	- e t	w o ll - d e	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- ee r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21024	Burlage	1	j k	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d e - - -	f r o - - -	- - - - -	- - - -	-	-	u n -	- - -	h e b - -	- e t	-	-	-	- - - - -	- eh r - -	- - - -	-	- - s e g t	u n -	-	s e	- - - -	- - s ä - - -	- - -	s e	-	-	- e t	w u ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- eh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21033	Hoysinghausen	1	j ck	b i nn	- - - -	- - - -	- - - -	- - w e s e n	b ih	-	- - -	-	-	d ei - - -	f r auh - - -	- - - - -	- - - -	-	-	u n -	- - -	h e bb e -	- - t	-	-	-	- - - - -	- äh r - -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s äh - - -	- - -	s ei	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	oh k	-	-	- - -	-	- - -	- - - - -	- äh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21045	Brokeloh	1	j k	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b ie	-	- - -	-	-	d ei - - -	f r ou - - -	- - - - -	- - - -	-	-	u n -	- - -	h e ff e -	- e t	-	-	-	- - - - -	- öh r - -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s ä - - -	- - -	s ei	-	-	- e t	- - - - - -	- - -	- - - -	sch ö ll	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- öh r - - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21050	Empede	1	j ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b ie	-	- - -	-	-	d e - - -	f r u - e n	- - - - -	- - - -	-	-	u n -	- - -	h e ww e -	- e t	-	-	-	- - - - -	- öh r - -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s äh - - -	- - -	s ei	-	-	- e t	w o ll - - e	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- öh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21065	Gailhof	1	e ck	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b i	-	- - -	-	-	d ä - - -	f r u - e -	- - - - -	- - - -	-	-	u n -	- - -	h e ww e -	- e t	-	-	-	- - - - -	- ö r e -	- - - -	-	- - s e ch t	u n -	-	s ei	- - - -	- - s äh - - -	- - -	s ei	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- öh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21074	Adelheidsdorf	1	j ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d e - - -	f r u - e -	- - - - -	- - - -	-	-	u n -	- - -	h e ww e -	- e t	-	-	-	- - - - -	- öh r - -	- - - -	-	- e s e g t	u n -	-	s ei	- - - -	- - s ä - - -	- - -	s ei	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- öh r e r - -	- - -	- - - - - -	-	d o ch d e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21085	Nordburg	1	j ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d e - - -	f r u - e -	- - - - -	- - - -	-	-	u nn -	- - -	h e ww e -	- e t	-	-	-	- - - - -	- öh r - -	- - - -	-	- - s e g t	u n d	-	s ei	- - - -	- - s ä - - -	- - -	s ei	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- ö r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	211	Rodowo	1	oe ch	b ö nn	- - - -	- - - -	- - - -	g e w e s - t	b ei	-	- - -	-	-	d e r - -	f r au - - -	- - - - -	- - - -	-	-	o nn -	- - -	h oa b - -	- e s	-	-	-	- - - - -	- e r - -	- - - -	-	g e s oa g t	o nn -	-	s ie	- - - -	- - - - - - -	- - -	-	-	-	- e t	w u ll - - -	- - -	- - - -	- - -	-	s a g - n	- -	-	-	- - -	-	- - -	- - - - -	- äh r e r - -	- - -	- - - - - -	-	- - - - - - - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21105	Preussisch Ströhen	1	i ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d i - - -	f r u - e n	- - - - -	- - - -	-	-	u n d	- - -	h e bb e -	- e s	-	-	-	- - - - -	- e r - -	- - - -	-	- - s e g t	u n d	-	s e	- - - -	- - s e gg t -	- - -	s ie	-	-	- e s	w u ll - t -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- ih r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21190	Brockhausen	1	j ck	b i nn	- - - -	- - - -	- - - -	- - w eä s e n	b i	-	- - -	-	-	d e - - -	f r u ww e n	- - - - -	- - - -	-	-	u n -	- - -	h e ww - -	- e t	-	-	-	- - - - -	- eä r - -	- - - -	-	- - s e g t	u n -	-	s e	- - - -	- - - - - - -	- - -	s e	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	au k	-	-	- - -	-	- - -	- - - - -	- iäh r e - - -	- - -	- - - - - -	-	d o ch t ä r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21199	Isenstedt	1	i ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d e nn - -	- - - - - -	w ie w e -	- - - -	-	-	u n -	- - -	h ä ww e -	- e t	-	-	-	- - - - -	- ö r - -	- - - -	-	- - s ä g t	u n -	-	s e	- - - -	- - s äee - - -	- - -	s e	-	-	- e tt	w o ll - - e	- - -	- - - -	- - -	-	s e gg e n	au k	-	-	- - -	-	- - -	- - - - -	- ö r e n - -	- - -	- - - - - -	-	- - - - - - - -	- - - - - - -	- - - - - -	-	l ü t e	-	-
fg	21218	Wietersheim	1	e ck	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b ie	-	- - -	-	-	d ä n - -	- - - - - -	w ie w e -	- - - -	-	-	u n -	- - -	h e ww - -	- e t	-	-	-	- - - - -	- üh r e -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s äh - - e	- - -	s ei	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- üh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21235	Hülshagen	1	e ck	- - -	s i n -	- - - -	- - - -	- - w ä s e n	b ie	-	- - -	-	-	d ä - - -	f r ou - e n	- - - - -	- - - -	-	-	u n -	- - -	h e w e -	d a t	-	-	-	- - - - -	- ö r e -	- - - -	-	- - s ej - t	- - -	-	s äh	- - - -	- - - - - - -	- - -	s ei	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e g e n	o k	-	-	- - -	-	- - -	- - - - -	- ö r e - - -	- - -	- - - - - -	-	- - - - - - - -	m ei - - k e n	- - - - - -	-	-	-	-
fg	21252	Holtensen	1	e k	b i n	- - - -	- - - -	- - - -	- - w ä s e n	b öi	-	- - -	-	-	d e r - -	f r iu - e n	- - - - -	- - - -	-	-	u n -	- - -	h e ww - -	- e t	-	-	-	- - - - -	- ö r - -	- - - -	-	- e s e g t	u n -	-	s ei	- - - -	- - s ä - - -	- - -	s ei	-	-	- eo k	w o ll - t -	- - -	- - - -	- - -	-	s e gg e n	- -	-	-	- - -	-	- - -	- - - - -	- ö r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	2127	Klein Nuhr (Sukhodol'Ye)	1	e ck	- - -	s ie - -	- - - -	- - - -	g e w e s e -	b ie	-	- - -	-	-	d e - - -	f r u - - -	- - - - -	- - - -	-	-	o nn -	- - -	h e bb - -	- e t	-	-	-	- - - - -	- eh r - -	- - - -	-	g e s e g t	o n -	-	s e	- - - -	- - s ää - d -	- - -	s e	-	-	- e t	w u ll - - -	- - -	- - - -	- - -	-	s e gg e -	u ck	-	-	- - -	-	- - -	- - - - -	- eh r e r - -	- - -	- - - - - -	-	d a ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21280	List	1	e ck	b i n	- - - -	- - - -	- - - -	- e w ä s e n	b i	-	- - -	-	-	d ä - - -	f r u - - -	- - - - -	- - - -	-	-	u nn -	- - -	h e ww e -	- e t	-	-	-	- - - - -	- öh r - -	- - - -	-	- - s e g t	u nn -	-	s ei	- - - -	- - s ä - - -	- - -	s ei	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	o k	-	-	- - -	-	- - -	- - - - -	- öh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21295	Immensen	1	e ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d e - - -	f r u - e -	- - - - -	- - - -	-	-	u n -	- - -	h e bb e -	- - t	-	-	-	- - - - -	- üh r - -	- - - -	-	- - s e g t	u n -	-	s ei	- - - -	- - s ä - - -	- - -	s ei	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s e gg e n	o ck	-	-	- - -	-	- - -	- - - - -	- üh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21305	Voigtholz-Ahlemissen	1	j ck	b i n	- - - -	- - - -	- - - -	- - w e s e n	b i	-	- - -	-	-	d e - - -	f r u - e -	- - - - -	- - - -	-	-	u n d	- - -	h e bb - -	- e t	-	-	-	- - - - -	- öh r e -	- - - -	-	- - s ä g t	u n -	-	s ei	- - - -	- - s äh - - -	- - -	s ei	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s ä gg e n	o ck	-	-	- - -	-	- - -	- - - - -	- öh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21316	Steinhagen	1	j k	- - -	s e nn -	- - - -	- - - -	- - w ier s e n	b ie	-	- - -	-	-	d e r - -	f r u bb e n	- - - - -	- - - -	-	-	u n -	- - -	h ä ww e -	- e t	-	-	-	- - - - -	- iä r - -	- - - -	-	- - s ä g t	u n -	-	s äi	- - - -	- - s iä r - -	- - -	s e	-	-	- - t	w o ll - - -	- - -	- - - -	- - -	-	s ai gg e n	au k	-	-	- - -	-	- - -	- - - - -	- iä r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	21342	Krentruperhagen	1	e k	- - -	s i n -	- - - -	- - - -	- - w e s e n	b üi	-	- - -	-	-	d üe n e r	f r ü bb e n	- - - - -	- - - -	-	-	u n -	- - -	h e ww e -	- e t	-	-	-	- - - - -	- öh r - -	- - - -	-	- - s ä g t	- - -	-	- -	- - - -	- - - - - - -	- - -	s eu	-	-	- e t	w o ll - - -	- - -	- - - -	- - -	-	s eu gg e n	äu k	-	-	- - -	-	- - -	- - - - -	- äh r e r - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
fg	2135	Skungirren (Pen'Ki)	1	e ck	- - -	s ie - -	- - - -	- - - -	g e w ä s e -	b ie	-	- - -	-	-	d ä - - -	f r u - - -	- - - - -	- - - -	-	-	u n -	- - -	h e bb - -	- e t	-	-	-	- - - - -	- e r - -	- - - -	-	g e s e g t	o n -	-	s e	- - - -	- - s ä - d -	- - -	s e	-	-	- e tt	w u ll - - -	- - -	- - - -	- - -	-	s a g e -	- -	-	-	- - -	-	- - -	- - - - -	- äh r e - - -	- - -	- - - - - -	-	d o ch t e r - -	- - - - - - -	- - - - - -	-	-	-	-
