Index	Bogennummer	Ort	Sprache	ich1	bin	gewesen	bei	der	frau	und1	ich2	habe	es1	zu1	ihr	gesagt1	und2	da	sie1	hat1	gesagt2	dass	sie2	hat2	es2	will	sagen	auch	zu2	ihrer	tochter
ab	10368	Büdesheim	1	Ech	- sinn - -	gewäst -	beï - - - -	d'rr	Frau - - - -	unn	-	haon	et	- - - -	'rr - - -	gesaod	'nn	-	se - - - -	-	saod	-	sĕ - - - - -	-	ed	wollt - - - -	saohn	ouch - -	- - - -	hirrer - - - -	Dougder - - - - - -
ab	10381	Waldkönigen	1	Ech	- se - -	jewähst -	bei - - - -	der	Frau - - - -	on	-	hôn	et	- - - -	er - - -	jesôôt	on	-	se - - - -	-	sôot	-	se - - - - -	-	et	wöll - - - -	sôon	och - -	- - - -	hirrer - - - -	Dochter - - - - - -
ab	1050	Krostkowo	1	Iik	bü - - -	west -	bi - - - -	de	Fruge - - - -	u	-	heb	-	- - - -	e - - -	segt	u	-	sei - - - -	-	säd	-	sei - - - - -	-	t	wu - - - -	sege	ek - -	- - - -	ehne - - - -	Dochte - - - - - -
ab	10584	Kalenborn	1	Ech	- seun - -	gewäst -	beu - - - -	där	Fră - - - -	un	-	hann	et	- - - -	ir - - -	gesoät	un	-	seu - - - -	-	soät	-	se - - - - -	-	ät	woll - - - -	soon	och - -	- - - -	irer - - - -	Dichder - - - - - -
ab	10601	Gappenach	1	Ech	- sein - -	geweäst -	bei - - - -	de	Fra - - - -	on	-	hann	et	- - - -	er - - -	gesoht	on	-	se - - - -	-	soht	-	se - - - - -	-	et	wellt - - - -	sohn	och - -	- - - -	ihre - - - -	Dechter - - - - - -
ab	10621	Rhens	1	Ech	- sein - -	gewes -	bei - - - -	der	Fra - - - -	on	-	hon	et	- - - -	ihr - - -	gesod	on	-	se - - - -	-	sod	-	se - - - - -	-	et	woll - - - -	son	uch - -	- - - -	ihrer - - - -	Dochder - - - - - -
ab	10649	Attenhausen	1	Äich	- senn - -	gewest -	bai - - - -	da	Fraa - - - -	un	-	hon	s	- - - -	a - - -	gesoot	un	-	se - - - -	-	soot	-	se - - - - -	-	s	well - - - -	soo	aach - -	- - - -	ährer - - - -	Tochta - - - - - -
ab	10663	Heringen	1	Ich	- sen - -	gewese -	bei - - - -	der	Fra - - - -	un	-	hon	's	- - - -	er - - -	gesot	un	-	se - - - -	-	sod	-	se - - - - -	-	's	wellt - - - -	sohn	ach - -	- - - -	ihrm - - - -	- Madche - - - - -
ab	10690	Honsfeld	1	Ich	- senn - -	jewest -	bei - - - -	der	Frau - - - -	on	-	han	dat	- - - -	her - - -	jesaht	on	-	sie - - - -	-	saht	-	sie - - - - -	-	het	wöllt - - - -	sohn	och - -	- - - -	herrem - - - -	- Mädchen - - - - -
ab	10697	Dahlem	1	Ech	- se - -	gewes -	bi - - - -	der	Frau - - - -	on	-	han	et	- - - -	ihr - - -	gesoot	on	-	si - - - -	-	soot	-	si - - - - -	-	et	wöll - - - -	soon	- - -	- - - -	ihrer - - - -	Togter - - - - - -
ab	10709	Aremberg	1	Ech	- sen - -	gewe[s?] -	bei - - - -	dr	Frau - - - -	ond	-	han	et	- - - -	ehr - - -	gesod	-	-	- - - - -	-	-	-	se - - - - -	-	et	woll - - - -	son	och - -	- - - -	ehrer - - - -	Dogter - - - - - -
ab	10736	Hohenleimbach	1	Ech	- sein - -	gewähst -	bei - - - -	d'r	Froh' - - - -	on	-	hann	et	- - - -	ihr - - -	gesoht	on	-	se - - - -	-	soht	-	se - - - - -	-	et	wöll - - - -	sohn	och - -	- - - -	ihrer - - - -	Doichder - - - - - -
ab	10857	Hatzfeld (Eder)	1	Ech	- sei - -	gwest -	bei - - - -	dr	Fra - - - -	un	-	ho	es	- - - -	ehr - - -	kesaht	un	-	se - - - -	-	sahte	-	se - - - - -	-	es	well - - - -	sah	o - -	- - - -	ehrer - - - -	Dochter - - - - - -
ab	10974	Haindorf	1	Jch	bin - - -	gewast -	bäi - - - -	der̄	Frau - - - -	ou	-	hon	s	- - - -	er - - -	ge=säht	on	-	se - - - -	-	sägt	-	se - - - - -	-	s	wöll - - - -	säh	au - -	- - - -	ir'm - - - -	- Mäge - - - - -
ab	110	Rozpedziny	1	Jck	ben - - -	west -	bi - - - -	de	Fru - - - -	on	-	häb	-	- - - -	ä - - -	sägt	on	-	se - - - -	-	sägt	-	se - - - - -	-	et	wull - - - -	sägge	ock - -	- - - -	ehre - - - -	Dochter - - - - - -
ab	11132	Schwarzwald	1	Ech	benn - - -	gewâst -	bi - - - -	dâr	Frab - - - -	on	-	hann	es	- - - -	ehr - - -	gesät	on	-	se - - - -	-	sät	-	se - - - - -	-	's	wellt - - - -	sä	a - -	- - - -	erer - - - -	Techter - - - - - -
ab	11149	Wipfra	1	Ech	ben - - -	gewäst -	bie - - - -	där	Frowe - - - -	onn	-	ho	as	- - - -	r - - -	geseet	onn	-	se - - - -	-	seete	-	se - - - - -	-	s	wöll - - - -	see	o - -	- - - -	ähren - - - -	- Meechen - - - - -
ab	11180	Remda	1	Ech	bän - - -	gewâsen -	bei - - - -	d'r	Fra - - - -	un	-	ha	s	- - - -	'r - - -	gesaht	onn	-	se - - - -	-	sahte	-	se - - - - -	-	's	wull - - - -	sah	o - -	- - - -	ährer - - - -	Tochter - - - - - -
ab	11197	Zeutsch	1	Ich	bin - - -	gewasen -	bei - - - -	deiner	Fro - - - -	un	-	ho	sch	- - - -	er - - -	gesoht	un	-	se - - - -	-	sohte	-	se - - - - -	-	s	well - - - -	sohe	- - -	- - - -	ehrer - - - -	Tuchter - - - - - -
ab	11212	Breitenhain	1	Ech	bin - - -	gewāsen -	bei - - - -	d'r	Frā - - - -	un	-	hab	s	- - - -	'r - - -	gesöt	un	-	se - - - -	-	söte	-	se - - - - -	-	s	wäll - - - -	söe	ā - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	11230	Burkersdorf	1	Ich	bin - - -	gewaesen -	bâ - - - -	der	Frau - - - -	u	-	hob	s	- - - -	er - - -	geseht	u	-	sie - - - -	-	sehte	-	sie - - - - -	-	es	wellte - - - -	soge	a - -	- - - -	ihrer - - - -	Tuchter - - - - - -
ab	11252	Seelingstädt	1	Ich	bin - - -	gewösen -	bei - - - -	der	Fra - - - -	und	-	hob	es	- - - -	ihr - - -	geset	und	-	sie - - - -	-	sahte	-	sie - - - - -	-	es	wulle - - - -	sehn	a - -	- - - -	ihrer - - - -	Tuchtar - - - - - -
ab	11262	Seebach	1	Ich	bin - - -	gewast -	bei - - - -	der	Frau - - - -	un	-	hon	s	- - - -	öhr - - -	gesott	un	-	söh - - - -	-	suk	-	söh - - - - -	-	tt	will - - - -	sahe	au - -	- - - -	öhrn - - - -	- Mäien - - - - -
ab	1133	Debenke	1	Iksch	büh - - -	wäst -	bie - - - -	dä	Frug - - - -	u	-	häb	dat	- - - -	ähe - - -	sägt	u	-	sei - - - -	-	säd	-	sei - - - - -	-	dat	wu - - - -	säge	ok - -	- - - -	- - - - ähne	Dochte - - - - - -
ab	1139	Gliszcz	1	Ÿk	bÿ - - -	wäst -	bi - - - -	dä	Frug - - - -	u	-	häbb	-	- - - -	ä - - -	sächt	u	-	sai - - - -	-	säd	-	sai - - - - -	-	dat	wu - - - -	sägge	ok - -	- - - -	- - - - ähne	Dochtn - - - - - -
ab	11467	Boilstädt	1	Ech	bänn - - -	gewäst -	bie - - - -	där	Frau - - - -	un	-	henn	es	- - - -	ehr - - -	gesäht	-	-	Seh - - - -	-	säht	-	seh - - - - -	-	-	wöll - - - -	säh	äs - -	- - - -	öhrer - - - -	Tochter - - - - - -
ab	11485	Ingersleben	1	Ech	bän - - -	gewaast -	bi - - - -	der	Frau - - - -	on	-	han	s	- - - -	er - - -	gesat	on	-	se - - - -	-	sate	-	se - - - - -	-	's	wöll - - - -	sa	au - -	- - - -	iahrar - - - -	Tochter - - - - - -
ab	1150	Czarze	1	Ek	ben - - -	gewest -	bi - - - -	de	Frug - - - -	on	-	heb	et	- - - -	e - - -	gesegt	on	-	se - - - -	-	segt	-	se - - - - -	-	et	wul - - - -	seie	ok - -	- - - -	ehre - - - -	Dächter - - - - - -
ab	11515	Gutendorf	1	Ech	benn - - -	gewaßt -	bei - - - -	d'r	Frauwe - - - -	on	-	haw	as	- - - -	'r - - -	gesaht	on	-	se - - - -	-	sahte	-	se - - - - -	-	es	wöll - - - -	sah	- - -	- - - -	ärer - - - -	Tochter - - - - - -
ab	11539	Kleinschwabhausen	1	Ech	bän - - -	gewāst -	bei - - - -	dār	Fra - - - -	on	-	ha	s	- - - -	'r - - -	jesaht	on	-	se - - - -	-	sahte	-	se - - - - -	-	es	will - - - -	sah	og - -	- - - -	ährer - - - -	Tochter - - - - - -
ab	11568	Thalbürgel	1	Ich	bin - - -	gewäsen -	bei - - - -	der	Fra - - - -	un	-	ha	es	- - - -	ihr - - -	gesät	un	-	sie - - - -	-	sote	-	se - - - - -	-	es	welle - - - -	sa	- - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	1157	Bielczyny	1	I	bin - - -	g'we -	bei - - - -	dem	- Weib - - -	unn	-	hann	s	- - - -	ihr - - -	g'sagt	unn	-	sie - - - -	hat	g'sagt	-	sie - - - - -	-	's	will - - - -	saga	a - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	11586	Bad Köstritz	1	Ich	bin - - -	gewasen -	bei - - - -	dar	Fro - - - -	un	-	hob	s	- - - -	er - - -	geset	un	-	se - - - -	-	sete	-	se - - - - -	-	es	wullt - - - -	soge	āch - -	- - - -	ehrer - - - -	Tuchter - - - - - -
ab	11607	Lumpzig	1	Ich	bin - - -	gewaßt -	bei - - - -	der	Fro - - - -	un	-	hobe	's	- - - -	'r - - -	geseet	un	-	se - - - -	-	seete	-	se - - - - -	-	s	wal - - - -	soge	o - -	- - - -	erer - - - -	Tuchter - - - - - -
ab	1162	Sierakowo	1	Oeck	bö - - -	wäst -	bi - - - -	däm	- Wiew - - -	o	-	häbb	-	- - - -	ä - - -	seggt	o	-	see - - - -	-	säd	-	sei - - - - -	-	dat	wo - - - -	segge	ock - -	- - - -	ehre - - - -	Dochte - - - - - -
ab	11645	Gleismuthhausen	1	Ich	bin - - -	gewast -	bei - - - -	dä	Fra - - - -	un	-	ho	s	- - - -	ĕra - - -	gsogt	un	do	sa - - - -	hott	gsogt	-	sie - - - - -	-	s	wöllt - - - -	sog	a - -	- - - -	ihra - - - -	Tochter - - - - - -
ab	11673	Mitwitz	1	Ich	- - wa̰ -	- -	bei - - - -	de	Fra - - - -	und	-	ho	ss	- - - -	er - - -	gesogt	u	-	sie - - - -	-	sogt	-	sie - - - - -	-	s	wollt - - - -	sogn	- - -	- - - -	ihre - - - -	Tochte - - - - - -
ab	11763	Aub	1	Ich	bin - - -	gawast -	bei - - - -	die	Fra - - - -	un	-	ho	s	- - - -	ara - - -	gsogt	un	-	sie - - - -	hōt	gesōgt	-	sie - - - - -	-	's	welt - - - -	sog	a - -	- - - -	ihrer - - - -	Tuchter - - - - - -
ab	1178	Sokoliniec	1	Ick	bü - - -	weist -	bi - - - -	dä	Fruka - - - -	u	-	heb	t	- - - -	ä - - -	seggt	u	-	se - - - -	-	seid	-	se - - - - -	-	t	wö - - - -	segga	- - -	- - - -	ähre - - - -	Tochte - - - - - -
ab	11805	Seidmannsdorf	1	Jch	bin - - -	g'wåst -	bei - - - -	der	Fråh - - - -	un	-	ho	s	- - - -	'r - - -	g'sogt	und	-	sie - - - -	hot	g'sogt	-	sie - - - - -	-	s	wöllt - - - -	sog	å - -	- - - -	ihrn - - - -	- Meedl - - - - -
ab	11825	Wallenfels	1	Ich	bi - - -	gewḛḭn -	bei - - - -	de	Fra - - - -	und	-	hou	s	- - - -	ere - - -	g'sokt	-	-	- - - - -	-	-	-	sie - - - - -	hot	s	wölln - - - -	seugn	a - -	- - - -	ihre - - - -	Tochte - - - - - -
ab	11844	Neudorf	1	Eich	bei - - -	gaweisen -	ba - - - -	dr	Fra* - - - -	und	-	hou	s	- - - -	ihr - - -	gsackt	und	-	sai - - - -	hout	gsackt	-	sei - - - - -	-	's	will - - - -	saung	a* - -	- - - -	ihra - - - -	Tochter - - - - - -
ab	11864	Draisendorf	1	Ich	bi - - -	g'wes'n -	bă - - - -	der	Frā - - - -	und	-	hob	's	- - - -	ihr - - -	g'sackt	und	-	sie - - - -	-	sakt	-	sie - - - - -	-	's	will - - - -	sōng	a - -	- - - -	ihră - - - -	Tochter - - - - - -
ab	11881	Sohl	1	Ich	bi - - -	g'wesn -	ba - - - -	d'r	frau - - - -	u	-	ho	er	- - - -	ër - - -	gsackt	u	-	si - - - -	-	sackt	-	si - - - - -	-	s	wollt - - - -	sōng	a - -	- - - -	ihr'n - - - -	- madle - - - - -
