Index	Bogennummer	Ort	Sprache	ich1	bin	gewesen	bei	der	frau	und1	ich2	habe	es1	zu1	ihr	gesagt1	und2	da	sie1	hat1	gesagt2	dass	sie2	hat2	es2	will	sagen	auch	zu2	ihrer	tochter
cd	1758	Brasdorf (Antonovka)	1	Ĕk	- sie - -	gewese -	bie - - - -	ă	Fruĕ - - - -	onn	-	hebb	ĕt	- - - -	ă - - -	geseggt	onn	-	sĕ - - - -	-	säd	-	sĕ - - - - -	-	et	wull - - - -	segge	ook - -	- - - -	äră - - - -	Du͡achtă - - - - - -
cd	17585	Mladetzko (Mladecko)	1	Ich	bin - - -	gewast -	bei - - - -	dr	Fra - - - -	u	-	ho	s	- - - -	r - - -	gesät	und	-	se - - - -	-	säte	-	sie - - - - -	-	s	wird - - - -	sän	a - -	- - - -	ihrer - - - -	Tochter - - - - - -
cd	17643	Seibersdorf (Bělá)	1	Ech	ben - - -	gewast -	bei - - - -	n	- Weib - - -	un	-	ho	s	- - - -	a - - -	gesät	und	-	sie - - - -	hout	gesät	-	sie - - - - -	-	s	will - - - -	sän	a - -	- - - -	ihrer - - - -	Tochter - - - - - -
cd	17659	Bernhau (Barnov)	1	Ech	- - waor -	- -	bei - - - -	d'r	Fra - - - -	un	-	hao	's	- - - -	'r - - -	gesäht	-	-	sie - - - -	haot	gesäht	-	se - - - - -	-	's	wird - - - -	sähn	a - -	- - - -	- d'r - - -	Tochter - - - - - -
cd	17680	Klantendorf	1	Iech	- - woer -	- -	bei - - - -	dr	Fräou - - - -	aon	-	ho	schr	- - - -	r - - -	gsoet	aon	-	sie - - - -	-	sejt	-	sie - - - - -	-	s	wiel - - - -	soen	ao - -	- - - -	- dr - - -	Tochtr - - - - - -
cd	17687	Engelswald (Mošnov)	1	Ech	bien - - -	gêwast -	bei - - - -	dr	Frao - - - -	on	-	hô	s	- - - -	r - - -	gêsoet	on	-	sie - - - -	hot	gêsoet	-	sie - - - - -	-	s	wollt - - - -	soen	aö - -	- - - -	ihrêr - - - -	Tochtr - - - - - -
cd	17698	Nirklowitz (Mrsklesy)	1	-	- - - -	gewast -	Bei - - - -	der	Fra - - - -	und	-	ho	s	- - - -	ihr - - -	gesöet	-	-	- - - - -	-	-	-	- - - - - -	-	-	- - - - -	-	- - -	- - - -	- - - - -	- - - - - - -
cd	17713	Punkendorf (Boňkov)	1	Oeck	- sie - -	gewese -	bi - - - -	a	Fru - - - -	on	-	heb	et	- - - -	ä - - -	gesägt	on	-	se - - - -	-	säd	-	se - - - - -	-	et	wull - - - -	sägge	ok - -	- - - -	ähra - - - -	Doachta - - - - - -
cd	1772	Groß Goldbach (Slavinsk)	1	Ech	bin - - -	gwaßt -	bei - - - -	dan	- Weib - - -	un	-	ho	s	- - - -	ihr - - -	gesoit	on	-	sie - - - -	-	sojt	-	sie - - - - -	-	s	wollt - - - -	sojn	au - -	- - - -	ihr - - - -	Tochter - - - - - -
cd	17726	Halbendorf (Polouvsí)	1	Eich	bien - - -	gewaßt -	bei - - - -	dr	Fraau - - - -	oan	-	hoi	sch	- - - -	er - - -	gesoit	oan	-	sie - - - -	hot	gesoit	-	sie - - - - -	-	s	wiel - - - -	soin	au - -	- - - -	- dr - - -	Tochter - - - - - -
cd	17737	Senftleben (Ženklava)	1	Ech	ben - - -	gewaßt -	bei - - - -	da	Frau - - - -	on	-	ho	esch	- - - -	er - - -	gesoert	on	-	- die - - -	hod	gesoert	-	- ech - - - -	-	es	wollte - - - -	soern	ao - -	- - - -	ihrer - - - -	Tochter - - - - - -
cd	-17739	Polanka Wielka	1	Ich	bin - - -	gewest -	bei - - - -	m	- Weib - - -	und	-	hun	s	- - - -	- - - eene	gsagt	und	-	sie - - - -	hot	gsegt	-	sie - - - - -	-	s	will - - - -	sagen	auch - -	- - - -	ihre - - - -	- Mädel - - - - -
cd	-17744	Bulowice	1	Ich	- - war -	gewesen -	bei - - - -	der	Frau - - - -	und	-	hab	s	- - - -	ihr - - -	gesagt	und	-	sie - - - -	-	sagt	-	sie - - - - -	hat	s	wollen - - - -	sagen	- - -	- - - -	ihrer - - - -	Tochter - - - - - -
cd	-17746	Chocznia	1	I	bin - - -	gwen -	- vu - - -	n	- Weib - - -	und	-	hob	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wird - - - -	sogn	a - -	- - - -	ihrner - - - -	Tochter - - - - - -
cd	-17749	Alt-Bielitz (Stare Bielesko)	1	Ech	ben - - -	gewast -	bej - - - -	der	Fra - - - -	an	-	ho	es	- - - -	ihr - - -	gesuot	an	-	se - - - -	hot	gesuot	-	se - - - - -	-	es	wult - - - -	suon	ach - -	- - - -	ihrer - - - -	Tochter - - - - - -
cd	17759	Linz (Mlýnec)	1	Ich	bi - - -	gwest -	- vo - - -	da	Frau - - - -	und	-	ho	as	- - - -	ar - - -	gsogt	und	-	sie - - - -	-	so̊gt	-	sie - - - - -	-	s	will - - - -	sogn	a - -	- - - -	ihra - - - -	To̊chta - - - - - -
cd	17782	Kohlheim (Uhliště)	1	I	bin - - -	gwen -	- voa - - -	da	Frau - - - -	und	-	hon	s	- - - -	ia - - -	gsogt	und	-	sie - - - -	-	sogt	-	sie - - - - -	hot	s	will - - - -	sogn	a - -	- - - -	ihrne - - - -	- - Deandln - - - -
cd	17792	Čachrau (Čachrov)	1	I	bin - - -	gwen -	- vo - - -	da	Frau - - - -	und	-	hon	s	- - - -	iha - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	well - - - -	sogn	- - -	- - - -	iahran - - - -	- Moidl - - - - -
cd	17801	Hurkental (Hůrka)	1	I	bin - - -	gwen -	- vo - - -	da	Frau - - - -	und	-	hon	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wirt - - - -	sogn	a - -	- - - -	ihran - - - -	- Moidl - - - - -
cd	17824	Rotsaifen (Červená)	1	I	bi[e] - - -	gwen -	bō - - - -	den	- Wei - - -	und	-	hob	's	- - - -	ia - - -	gsogt	und	-	sie - - - -	hot	gsogt	daß	- - - - - -	-	es	wiad - - - -	sogn	a - -	- - - -	ihrana - - - -	Dochter - - - - - -
cd	17832	Winterberg (Vimberk)	1	I	bi - - -	gwe|in -	bå - - - -	då	Frau - - - -	und	-	hob	s	- - - -	iå - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wl - - - -	so(ng)	a - -	- - - -	ihrå - - - -	Tochtå - - - - - -
cd	17843	Sehrlenz (Ždírec)	1	iĥ	pi - - -	gbest -	pu - - - -	d(a)	fra͜u - - - -	u	-	ho	s	- - - -	i(a) - - -	gsogt	u	-	si - - - -	hot	gsogt	dos	s(e)s - - - - -	-	d	bi(a) - - - -	sogn	a - -	- i - -	- d(a)i(a)n - - -	to͜uĥt(a) - - - - - -
cd	17854	Irsching (Jiřín)	1	I	bin - - -	gwest -	bei - - - -	der	Frau - - - -	un	-	hob	-	- - - -	ihr - - -	gsogt	un	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	will - - - -	sogn	ach - -	- - - -	ihrer - - - -	Tochter - - - - - -
cd	17862	Hilbersdorf (Jihlava-Heroltice)	1	I	bī - - -	gwest -	bə - - - -	də	Frau - - - -	und	-	ho	s	- - - -	iə - - -	g'sogt	und	-	si - - - -	hot	g'sogt	-	si - - - - -	-	s	wid - - - -	sogn	ā - -	- - - -	irə - - - -	tocktə - - - - - -
cd	17876	Sollowitz (Salavice)	1	I	bi - - -	gwest -	bei - - - -	deiner	Frau - - - -	on	-	hob	s	- - - -	ihr - - -	gsogt	on	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	- - - - müßat	sogn	a - -	- - - -	ihrer - - - -	Tochtr - - - - - -
cd	17878	Stannern (Stonařov)	1	I	bi(n) - - -	g'west -	bei - - - -	der	- - - - -	und	-	hob	s	- - - -	ihr - - -	g'sogt	und	-	selbe - - - -	hot	g'sogt	-	sie - - - - -	-	s	woll - - - -	ausrichtn	- - -	- - - -	- der - - -	Tochter - - - - - -
cd	17881	Riegerschlag (Lodhéřov)	1	I	bi - - -	gweist -	bei - - - -	dein	- Wei - - -	un	-	how	s	- - - -	ihr - - -	g'soggt	un	-	sie - - - -	hot	g'soggt	-	sie - - - - -	-	's	wird - - - -	sogn	a - -	- - - -	- d'r - - -	Toicht'r - - - - - -
de	17882	Wenkerschlag (Dolní Radouň)	1	I	bi - - -	gweïsn -	ba - - - -	dr	Frau - - - -	un	-	hob	s	- - - -	ihr - - -	gsogt	un	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	n	wöl - - - -	sogn	a - -	- - - -	ihra - - - -	Toichta - - - - - -
de	17884	Buchen (Buk)	1	I	bi - - -	gweist -	bä - - - -	dein	- Wei - - -	un	-	hob	s	- - - -	ihr - - -	gsogt	un	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wird - - - -	sogn	- - -	- - - -	ihrär - - - -	Toichtr - - - - - -
de	17895	Hosterschlag (Člunek)	1	I	bi - - -	gweïst -	bei - - - -	dr	Frau - - - -	un	-	hob	s	- - - -	ihr - - -	gsogt	un	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wll - - - -	sogn	a - -	- - - -	ihrer - - - -	Toichtr - - - - - -
de	17898	Lipolz (Lipolec)	1	I	bi - - -	gnest -	bei - - - -	der	Frau - - - -	und	-	hob	's	- - - -	ihr - - -	g'sogt	und	-	sie - - - -	-	sogt	-	sie - - - - -	-	's	wüll - - - -	song	a - -	- - - -	ihrer - - - -	Toichter - - - - - -
de	17940	Czernowitz (Černovice)	1	Ich	bin - - -	gwejsn -	bei - - - -	da	Frau - - - -	und	-	hob	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	ts	b - - - -	sogn	- - -	- - - -	ihra - - - -	Touchta - - - - - -
de	17942	Gundrum (Komořany)	1	Ich	pi - - -	gbejst -	bea - - - -	dea	Fro - - - -	und	-	hob	sch	- - - -	ar - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	sch	bir - - - -	sogn	a - -	- - - -	ihrer - - - -	Tochtar - - - - - -
de	17956	Prahlitz (Pravlov)	1	I	bin - - -	gwest -	bai - - - -	der	Frau - - - -	und	-	hob	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	st	wird - - - -	sogn	- - -	- - - -	ihrem - - - -	- - - M[o?]ensch - - -
de	17961	Woikowitz (Vojkovice)	1	I	bin - - -	gwest -	bei - - - -	da	- - Oltn - -	u	-	hob	s	- - - -	ihr - - -	gsogt	-	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	b[?] - - - -	sogn	- - -	- - - -	- da - - -	Tochta - - - - - -
de	17967	Sub-Lechnitz (Lechnica)	1	Ich	- - war -	kawen -	pei - - - -	t'r	Frau - - - -	unt	-	hon	s	- - - -	ter - - -	kasat	unt	-	sie - - - -	hat	kasat	-	sie - - - - -	-	's	wollt - - - -	sahn	a - -	- - - -	ihrar - - - -	Tochtar - - - - - -
de	17968	Topportz (Toporec)	1	Jch	- - wor -	- -	bai - - - -	dr	Frā - - - -	unt	-	hō	-	- - - -	iër - - -	gesogt	unt	-	sie - - - -	hot	gesogt	-	sie - - - - -	-	s	wül - - - -	sōgn	- - -	- - - -	ehor - - - -	Tochter - - - - - -
de	17972	Hobgard (Chmeľnica)	1	Ich	- sei - -	diwaast -	bei - - - -	n	- Weib - - -	ant	ich	ho	's	- - - -	er - - -	disaagt	ant	-	sie - - - -	-	saagt	-	sie - - - - -	hat	's	gewout - - - -	saagen	och - -	- - - -	ihrer - - - -	Tochter - - - - - -
de	17981	Neu Walddorf (Nová Lesná)	1	Ich	- - vor -	- -	boi - - - -	en	- Waieb - - -	ond	-	hoo	z	- - - -	er - - -	gezoogt	ond	-	- die - - -	-	zeegt	-	zie - - - - -	-	s	wel - - - -	zoogn	äuch - -	- - - -	iirer - - - -	Tochtr - - - - - -
de	17993	Durelsdorf (Tvarožná)	1	Jch	- - wor -	- -	bei - - - -	der	Fra - - - -	and	-	ho	s	- - - -	er - - -	gesogt	and	-	- - - - -	-	-	-	sie - - - - -	-	s	wet - - - -	sagn	euch - -	- - - -	- der - - -	Tochter - - - - - -
de	17999	Leutschau (Levoča)	1	Ich	bën - - -	gewëst -	bei - - - -	der	Frau - - - -	und	-	ho	's	- - - -	er - - -	gesogt	und	-	sie - - - -	hot	gesogt	-	sie - - - - -	-	s	well - - - -	sogn	äuxh - -	- - - -	ihrer - - - -	Tochter - - - - - -
de	180	Galowo	1	Ick	bü - - -	wäst -	bie - - - -	de	Frug - - - -	u	-	hew	dat	- - - -	ähe - - -	secht	u	-	sei - - - -	-	secht	-	sei - - - - -	-	tt	wu - - - -	segge	ok - -	- - - -	ähre - - - -	Dochde - - - - - -
de	18000	Zipser Neudorf (Spišská Nová Ves)	1	Ich	ben - - -	gewesen -	bei - - - -	der	Frau - - - -	und	-	hob	s	- - - -	er - - -	gesogt	u	-	sie - - - -	-	sogt	-	sie - - - - -	-	es	well - - - -	sogen	auch - -	- - - -	ihrer - - - -	Tochter - - - - - -
de	18001	Wagendrüssel (Nálepkovo)	1	Ich	boa - - -	- -	peo - - - -	da	Frá - - - -	ound	-	ho	es	- - - -	ra - - -	gesogt	ound	-	- de - - -	hot	gesogt	-	- - de - - -	-	es	bid - - - -	sogn	ach - -	- - - -	iehra - - - -	Tochta - - - - - -
de	18003	Göllnitz (Gelnica)	1	Jch	bo͡a - - -	- -	pei - - - -	n	- Beib - - -	und	-	hob	es	- - - -	ra - - -	gesogt	und	-	sie - - - -	hot	gesogt	-	sie - - - - -	-	es	bell - - - -	sogn	- - -	- - - -	ihra - - - -	Tochta - - - - - -
de	18004	Dobschau (Dobšiná)	1	Ich	- sei - -	gebeßt -	pei - - - -	der	Fra - - - -	und	-	hob	es	- - - -	er - - -	gasogt	und	-	sie - - - -	hot	gesogt	-	sie - - - - -	-	es	bitt - - - -	sogen	och - -	- - - -	ihrer - - - -	tochter - - - - - -
de	-18008	Schmöllnitz (Smolník)	1	Ich	boat - - -	- -	pei - - - -	da	Frá - - - -	unt	-	hop	s	- - - -	a - - -	gesógt	unt	-	sie - - - -	hot	gesógt	-	sie - - - - -	hot	es	gebe'lt - - - -	sógn	ach - -	- - - -	iera - - - -	Tochta - - - - - -
de	18010	Metzenseifen (Medzev)	1	Ich	boa - - -	gebeest -	pei - - - -	n	- Baib - - -	on	-	hoi	ss	- - - -	a - - -	gesogt	-	-	- - - - -	-	sogtse	-	- - di - - -	-	z	bit - - - -	sogn	ach - -	- - - -	ihra - - - -	Tochta - - - - - -
de	18013	Buchwald (Bučina)	1	I	bin - - -	gwein -	b - - - -	n	- Wei - - -	und	-	houn	's	- - - -	iha - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	het	s	- - - - meing	sogn	- - -	- - - -	ihrana - - - -	Tonchta - - - - - -
de	18018	Schattawa (Záton)	1	Ih	bi - - -	gwejn -	ba - - - -	da	Frau - - - -	und	-	hou	s	- - - -	ia - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wujd - - - -	sogn	a - -	- - - -	ihra - - - -	Touchta - - - - - -
de	18028	Zaborsch (Záhorí)	1	I	bi - - -	gweïn -	ba - - - -	dein	- Wei - - -	und	-	hõu	s	- - - -	ihr - - -	gsoat	-	-	sie - - - -	hot	gsoat	-	sie - - - - -	-	s	wiad - - - -	so(g)n	- - -	- - - -	ihra - - - -	Toichta - - - - - -
de	18058	Hirschbergen (Hiršperky/Jeleni)	1	I	bi - - -	gwejn -	ba - - - -	dn	Frau - - - -	und	-	hoab	's	- - - -	ihr - - -	gesoagt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	hoat	s	wolln - - - -	sog'n	- - -	- - - -	ihra - - - -	Tojchta - - - - - -
de	18064	Honetschlag (Hodňov)	1	I	bin - - -	gwein -	ba - - - -	da	Frau - - - -	und	-	-	-	- - - -	- - - -	-	-	-	- dei - - -	hot	gsoat	daß	sie - - - - -	-	s	wüll - - - -	sogn	- - -	- - - -	ihra - - - -	Toichta - - - - - -
de	18091	Kollerschlag	1	I	bi - - -	gwen -	ba - - - -	dera	frau - - - -	und	-	há	s	- - - -	- - - eam	gságt	und	-	- - is - -	hát	gságt	-	- - - is - -	-	s	wü - - - -	ságn	a - -	- - - -	- - san - -	- - - meschn - - -
de	18095	Sankt Thoma (Svatý Tomáš)	1	I	bin - - -	gwen -	bu - - - -	da	Frau - - - -	und	-	hon	s	- - - -	ir - - -	gsogt	und	-	sie - - - -	-	sogt	-	sie - - - - -	-	tz	woll - - - -	sogn	a - -	- - - -	ihrer - - - -	Toichter - - - - - -
de	18101	Hohenfurth (Vyšší Brod)	1	I	bin - - -	gwesn -	ba - - - -	da	Frau - - - -	und	-	hob	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	daß	sie - - - - -	-	's	wull - - - -	sogn	a - -	- - - -	ihra - - - -	Tochta - - - - - -
de	18132	Hummeln (Homole)	1	I	bin - - -	gwesn -	bei - - - -	der	Frau - - - -	und	-	hob	s	- - - -	iar - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wll - - - -	sogn	a - -	- - - -	iâra - - - -	Tochtâ - - - - - -
de	18135	Rudolfstadt (Rudolfov)	1	I	bin - - -	g'wes'n -	bei - - - -	m	- Wei' - - -	und	-	hob	s	- - - -	ihr - - -	g'sogt	und	-	sie - - - -	hot	g'sogt	-	sie - - - - -	-	s	wullt - - - -	sog'n	a - -	- - - -	ihrer - - - -	Tocht'r - - - - - -
de	18144	Gross-Radischen	1	I	bi - - -	gwest -	bei - - - -	m	- Wai - - -	und	-	hob	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hat	gsågt	-	sie - - - - -	-	s	will - - - -	sagn	a - -	- - - -	ihrer - - - -	Toichter - - - - - -
de	18188	Priethal (Prídolí)	1	J	bin - - -	g'wejn -	bei - - - -	da	Frau - - - -	und	-	haon	's	- - - -	ihar - - -	gsogt	u	-	sie - - - -	-	sogt	-	sie - - - - -	hätt	's	- - - - möjg(n)	sog'(n)	a - -	- - - -	ihra - - - -	Toichta - - - - - -
de	18192	Gollnetschlag (Klení)	1	Ih	bin - - -	gwejst -	b(a) - - - -	d(a)	Frau - - - -	und	-	hob	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wl - - - -	sogn	a - -	- - - -	ihr(a) - - - -	Tojcht(a) - - - - - -
de	18210	Weissenbach (Vysné)	1	I	bin - - -	gwejhst -	ba - - - -	da	Frau - - - -	und	-	-	-	- - - -	- - - -	-	-	-	- dej - - -	hot	gsogt	-	sie - - - - -	-	s	wül - - - -	sogn	a - -	- - - -	ihrer - - - -	Tojchter - - - - - -
de	18218	Langschwarza	1	I	bi - - -	gwest -	bei - - - -	n	- Wei - - -	und	-	hob	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hod	gsogt	-	sie - - - - -	hod	s	w[i?]lln - - - -	sogn	a - -	- - - -	ihrer - - - -	Tochta - - - - - -
de	1829	Rudszen (Poltavskoe)	1	Eck	- sie - -	gewese -	bie - - - -	de	Fru - - - -	un	-	heb	et	- - - -	är - - -	gesegt	un	-	se - - - -	-	säd	-	see - - - - -	-	et	wull - - - -	segge	uck - -	- - - -	äre - - - -	Dochter - - - - - -
de	18290	Unterwald	1	I	bi - - -	gwön -	bei - - - -	da	Frau - - - -	u	-	han	s	- - - -	ihr - - -	gsagt	u	-	sie - - - -	hat	gsagt	daß	sie - - - - -	-	s	wird - - - -	sagn	- - -	- - - -	ihrer - - - -	Toachta - - - - - -
de	18296	Bad Grosspertholz	1	I	bin - - -	gwen -	bei - - - -	da	Frau - - - -	und	-	hob	s	- - - -	ihr - - -	gsoagt	und	-	sie - - - -	-	soagt	-	sie - - - - -	-	’s	wüllt - - - -	sogn	a - -	- - - -	ihra - - - -	Tochta - - - - - -
de	18310	Oberstrahlbach	1	I	bin - - -	g'wesen -	bei - - - -	mein	- Wei' - - -	und	-	hob	's	- - - -	ihr - - -	g'sogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	's	- - - - mocht	sogn	a - -	- - - -	ihr'n - - - -	- - - Mensch - - -
de	18359	Waldkirchen	1	I	bi - - -	gwest -	bei - - - -	der	Frau - - - -	und	-	hob	's	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	's	will - - - -	sogn	a - -	- - - -	ihrer - - - -	Tochter - - - - - -
de	18364	Hafnerluden (Lubnice)	1	I	bin - - -	g'wesn -	bei - - - -	der	Frau - - - -	und	-	hob	's	- - - -	ihr - - -	g'sogt	und	-	sie - - - -	hot	g'sogt	-	sie - - - - -	-	s	wüll - - - -	sogn	a - -	- - - -	ihrer - - - -	Tochter - - - - - -
de	18367	Schiltern (Štítary)	1	I	bi - - -	gwest -	bei - - - -	den	- Wei - - -	un	-	hob	s	- - - -	ihr - - -	gsogt	un	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wird - - - -	sogn	a - -	- - - -	ihrn - - - -	- - - Mensch - - -
de	18407	Töstitz (Těšetice)	1	I	bi - - -	gwest -	ba - - - -	da	Frau - - - -	und	-	hob	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wü - - - -	sogn	a - -	- - - -	ihra - - - -	Tochta - - - - - -
de	1842	Warupönen (Fëdorovka)	1	Ek	- sie - -	gewese -	bie - - - -	de	Fru - - - -	und	-	hebb	et	- - - -	er - - -	gesèggt	un	-	se - - - -	-	seggt	-	se - - - - -	-	et	wull - - - -	segge	ok - -	- - - -	ere - - - -	Dochter - - - - - -
de	18432	Dietmanns	1	I	bi - - -	gwesd -	bei - - - -	da	Frau - - - -	und	-	hab	s	- - - -	ihr - - -	gsogd	und	-	sie - - - -	-	sogd	-	sie - - - - -	-	s	wolld - - - -	sogn	- - glei	- - - -	- da - - -	Dochda - - - - - -
de	18441	Schirmannsreith	1	I	bi - - -	gwest -	bei - - - -	den	- Wei - - -	und	-	hob	s	- - - -	ia - - -	gsogt	und	-	si - - - -	hot	gsogt	-	si - - - - -	-	s	wüi - - - -	sogn	a - -	- - - -	ihra - - - -	Tochta - - - - - -
de	18454	Hofern	1	I'	bin - - -	gwes'n -	bei - - - -	dera	Frau - - - -	u	-	hob	s	- - - -	ihra - - -	g'sogt	u	-	sie - - - -	hot	g'sogt	-	sie - - - - -	-	's	wüll - - - -	sogn	a - -	- - - -	ihra - - - -	Tochta - - - - - -
de	185	Jelnia	1	Jck	bü - - -	wäst -	bi - - - -	dä	Frug - - - -	u	-	heww	et	- - - -	ä - - -	seggt	u	-	sei - - - -	-	säd	-	sei - - - - -	-	et	wu - - - -	seggen	ok - -	- - - -	- - - - än	Dochte - - - - - -
de	18508	Gerstenfeld (Ječmeniště)	1	I	bi - - -	gwest -	bei - - - -	den	- Wei - - -	und	-	how	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	-	sogt	-	sie - - - - -	-	s	wird - - - -	sogn	- - -	- - - -	- da - - -	Tochtan - - - - - -
de	18525	Franzen	1	I	bi - - -	gwėn -	ba - - - -	da	Frau - - - -	und	-	håñ	s	- - - -	ia - - -	gsa̜gd	und	-	si - - - -	hå̜d	gsa̜gd	-	si - - - - -	-	'ṡ	wü - - - -	sa̜gn	a - -	- - - -	iara - - - -	To̜chda - - - - - -
de	18534	Rosenburg	1	I	bi - - -	gwest -	bei - - - -	der	Frau - - - -	u	-	hab	s	- - - -	ihr - - -	g'sagt	u	-	sie - - - -	hat	gsagt	-	sie - - - - -	-	s	wird - - - -	sag'n	- scho -	- - - -	ihrer - - - -	Tochter - - - - - -
de	18554	Oberdürnbach	1	I	bi - - -	gwesen -	bei - - - -	der	Frau - - - -	und	-	hob'	s	- - - -	ÿr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	's	wüll - - - -	sogn	a - -	- - - -	ihra - - - -	Tochta - - - - - -
de	18559	Aspersdorf	1	I	bi - - -	g'west -	bei - - - -	den	- Wei - - -	und	-	hob	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wü - - - -	sogn	a - -	- - - -	irn - - - -	- - - Mensch - - -
de	18607	Damnitz (Damnice)	1	I	bi - - -	g'west -	ba - - - -	dei(n)	- Wei - - -	und	-	hob	's	- - - -	ihr - - -	g'sogt	-	dawal	- - 's - -	hot	g'sogt	-	sie - - - - -	hot	's	wölln - - - -	sogn	ach - -	- - - -	ihr(e)m - - - -	- - - Mensch - - -
de	18627	Tracht (Strachotín)	1	I	bin - - -	gwest -	pa - - - -	tr	Frau - - - -	und	-	hob	s	- - - -	ir - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wüll - - - -	sogn	ach - -	- - - -	ihrer - - - -	Tochtr - - - - - -
de	18637	Saitz (Zajecí)	1	I	- - war -	- -	bei - - - -	dr	- - - Basl -	u	-	hob	s	- - - -	ihr - - -	gsogt	-	-	- - - - -	-	-	-	sie - - - - -	-	s	wird - - - -	sogn	auch - -	- - - -	- dr - - -	Tochta - - - - - -
de	18642	Höflein an der Thaya (Hevlín)	1	I	bi - - -	gwest -	bei - - - -	den	- Wei - - -	u	-	how	s	- - - -	ihr - - -	gsogt	u	-	sie - - - -	hod	gsogt	daß	- - - - - -	-	as	wül - - - -	sogn	a - -	- - - -	ihrn - - - -	- - - Mensch - - -
de	18672	Stützenhofen	1	I	bi - - -	gwes'n -	bei - - - -	da	Frau - - - -	und	-	hob	's	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	hät	s	woln - - - -	sogn	a - -	- - - -	ihra - - - -	Tochta - - - - - -
de	18686	Bernhardsthal	1	I	bi - - -	g'west -	bei - - - -	da	Frau - - - -	u[?]	-	hob	's	- - - -	ihr - - -	g'sogt	u[?]	-	sie - - - -	-	sogt	-	sie - - - - -	-	s	wüll - - - -	sogn	a - -	- - - -	ihra - - - -	Tochta - - - - - -
de	18701	Pyhra	1	I	bin - - -	gwesen -	bei - - - -	m	- Wei - - -	u	-	hob	's	- - - -	ihr - - -	gsogt	u	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	s	wüll - - - -	sogn	a - -	- - - -	ihrn - - - -	- - - Mensch - - -
de	18707	Wilfersdorf	1	I	bin - - -	g'wes'n -	bei - - - -	da	Frau - - - -	u	-	hob	's	- - - -	ihr - - -	g'sogt	u	-	sie - - - -	hot	g'sogt	-	sie - - - - -	-	's	wird - - - -	sog'n	- - -	- - - -	ihrer - - - -	Tochta - - - - - -
de	18716	Palterndorf	1	I	bi - - -	g'west -	bei - - - -	da	Frau - - - -	und	-	hob	s	- - - -	ihra - - -	g'sogt	und	-	sie - - - -	hot	g'sogt	-	sie - - - - -	-	t	woll - - - -	sogn	a - -	- - - -	ihra - - - -	Tochta - - - - - -
de	18753	Münchwies (Vrícko)	1	Ai	- - woa -	- -	bei - - - -	dr	Fra - - - -	ot	-	hoai	s	- - - -	'ia - - -	gasoogt	ot	-	sa - - - -	haut	gasoogt	-	sie - - - - -	-	s	wo - - - -	soogn	a - -	- - - -	ihra - - - -	Tauchtr - - - - - -
de	18759	Bettelsdorf (Solka)	1	É	boa - - -	gbést -	puo - - - -	dr	Wrá - - - -	ont	-	ho	's	- - - -	'ra - - -	g'sógt	ont	-	sie - - - -	-	sogt	-	sie - - - - -	-	'ts	bol - - - -	sogñ	ach - -	- - - -	ijr - - - -	Tochtr - - - - - -
