Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	müde	wir	sind	und	uns	haben	einen	Durst
385418	19,2962	51,20322	-55373	LUSZCZANOWICE	1	müde	Wir	haben	und	-	sind	-	Durst
533735	19,37718	51,35563	-55366	BELCHATￃﾓW	1	miede	Wir	sind	und	-	haben	-	Dorscht.
376904	18,47	51,35	-55365	DOBROSLAW	1	mid	Wir	sind	u	uns	-	-	durstet.
383244	18,90114	51,20321	-55363	SIEMKOWICE	1	mud	Mir	sind	und	-	henn	-	durscht.
363032	19,4341	51,42903	-55362	SUCHCICE	1	fjets	Uns	schlü	u	-	-	-	duscht.
379550	18,85025	51,43743	-55361	WIELKA WIES	1	müde	Wir	sind	u	-	sind	-	durstig.
379732	18,57714	51,49261	-55360	OSTROW	1	müde	Wir	sind	und	-	-	-	dursten
619524	18,39830334	51,46576252	-55359	KIEBITZTAL (KUZNICA)	1	müd	Mir	samer	u	-	haben	-	Durscht.
383768	19,75374	51,66709	-55354	LAZNOWSKA WOLA	1	(ver)mied	Wir	sind	und	-	habn	-	Dorscht.
377153	19,47735	51,66082	-55350	RZGOW	1	mid	Mee	sin	un	-	hun	-	Dorscht.
379517	19,23418	51,65804	-55349	MARKOWKA	1	mide	Mia	sind	und	-	haben	-	Descht.
378258	18,56718	51,62565	-55344	SLOMKOW SUCHY	1	maid	Mie	hama	und	-	hama	-	Duast.
381080	19,67238	51,72908	-55338	JUSTYNOW	1	mid	Mir	sin	un	-	haben	-	Durscht.
377949	19,02415	51,72283	-55331	RZEPISZEW	1	mide	Wie	sind	und	-	haben	-	durscht.
372086	18,13488	51,67727	-55326	JOZEFOW	1	mied	Bie	sin	und	-	hobn	-	Durscht.
626754	19,44499956	51,80918823	-55322	MARIANOW	1	müde	Wir	sind	u.	esuns.	-	-	durstet
384137	18,92107	51,86554	-55308	BALDRZYCHOW	1	müd	Wir	sind	u	-	haben	-	Durst.
153426	18,63	51,86	-55306	RZYMSKO	1	miede	Wir	sind	u	-	haben	-	Durscht.
370854	18,17918	51,87254	-55300	GOLISZEW	1	müd	Mir	sind	un	-	hemmer	-	Durscht.
379051	19,19168	52,07768	-55270	LECZYCA	1	mid	Mehr	sinn	un	-	hunn	-	dorscht.
357781	19,02483	52,06217	-55269	ZIMNE	1	meet	Wi	sein	o	-	habe	-	dost.
159476	18,70666	52,02896	-55266	SARBICE	1	med	Wi	sind	und	-	häbbe	-	Dost.
530520	18,51036	52,01308	-55262	TUREK	1	müde	Wie	sind	u	-	heben	-	durst.
166012	18,23512	52,06197	-55261	GADOWSKIE HOLENDRY	1	miede	Wir	sind	und	-	hobn	-	Durscht.
376296	17,80381	52,06731	-55258	WIERZCHY	1	mid	Wir	sin	un	-	hon	-	durscht.
163721	19,24271	52,15559	-55254	SZAMOW	1	mid	Mir	sin	und	-	hen	-	Durscht.
372486	17,98863	52,1656	-55240	KOPOJNO	1	mied	Wir	sind	u	-	haben	-	Durst.
384611	19,63	52,24	-55238	ZYCHLIN	1	mide	Wir	sein	und	-	haben	-	Durscht.
374720	18,77987	52,18577	-55226	TARNOWKA	1	mide	Wir	seint	und	-	haben	-	Durscht.
373761	18,20786	52,18456	-55218	STARE MIASTO	1	mied	Wir	sind	und	-	hobn	-	Durscht.
380967	19,96699	52,30212	-55216	KAPTURY	1	mejd	Wi	send	o	-	habe	-	Dast.
154080	20,43979	52,38381	-55191	SECYMIN POLSKI	1	med	We	sent	o	-	hobe	-	dast.
