Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	Transliteration WS23
160111	18,0907	52,37183	-55173	KOZIE GLOWY	1	Bir sinn mid und hoin Durscht.
522932	20,71013	52,43195	-55171	NOWY DWￃﾓR MAZOWIECKI	1	Wi senn meed on habe Dast.
378704	20,15711	52,44792	-55169	ORSZYMOWO	1	Wi send mejd o hebe Deest.
362859	19,88222	52,47212	-55166	BUDY BOROWICKIE	1	Wie send meed oh hebbe Deßt.
158213	19,19	52,5	-55164	WIESLAWICE	1	Wie bew müd ok hav Dast.
160686	18,56964	52,49663	-55139	KOZY	1	Wi sin möd ü hebbe Döst.
168276	20,72309	52,595	-55137	KONARY	1	Wi send meed o habe dast.
378564	20,22129	52,62835	-55135	DZIERZAZNIA	1	Wir sind mied un haben Dorscht.
155785	19,84137	52,60089	-55133	MECZENINO	1	Wie sent meed un habi Dorst.
149433	19,38268	52,66071	-55129	LENIE MALE	1	Wie send mejd o hebe daßt.
169047	19,61064	52,67865	-55117	NOWE KARWOSIEKI	1	Wehe sen med ohas dastet.
160546	18,78115	52,68656	-55113	KUJAWKA	1	Mer sin mied und hun Dorscht.
383881	20,5249	52,74235	-55110	KICIN	1	Wie send mööd on habä döast.
523813	19,89611	52,8243	-55107	ZAWIDZ KOSCIELNY	1	Wi send med ok dastich.
385499	21,0919	52,86502	-55099	MAKOW MAZOWIECKI	1	Wie sin mied und babo dast.
157211	20,45214	52,90666	-55096	MODELKA	1	Wi send med on habe Darst.
370415	19,35265	52,86583	-55091	SKEPE	1	We send med ok habe Dast.
372497	18,80354	52,87503	-55081	CIECHOCINEK	1	Wi send möd o send dastg.
523501	21,60772	53,09558	-55072	OSTROLEKA	1	Wir sind müde und haben durscht.
523333	20,63095	53,05753	-55070	GRUDUSK	1	Wir sind müde und durstig.
523822	19,91826	53,06515	-55066	ZUROMIN	1	Wir sind müde u heben Durst.
533045	19,30736	53,0267	-55064	ZALE	1	Wie send med ok have Dost.
151057	19,38273	53,15623	-55055	OBORKI	1	Wi send mehd o haebe Daest.
546509	11,21313811	46,24017188	-46353	SALURN (SALORNO)	1	Mia sein müad und hobn durst.
546604	11,36733955	46,27778405	-46351	ALTREI (ANTERIVO)	1	Miar sain müad und hobn Durst.
546500	11,43174923	46,4138887	-46344	DEUTSCHNOFEN (NOVA PONENTE)	1	Miar sain mia und homen Durscht.
546496	11,24240205	46,41465671	-46340	KALTERN (CALDARO)	1	Miar sain müad und alm durscht.
546443	11,38	46,56	-46319	WANGEN (VANGA)	1	Miar sein gschuntn und habm Durst.
546429	11,00515196	46,54922739	-46305	SANKT WALBURG (SANTA VALBURGA)	1	Mier sain löts und hobm Durscht.
546418	11,61186982	46,60311182	-46293	SANKT PETER HINTER LAJEN (SAN PIETR	1	Mier san meiad u hobn Durst.
546475	10,54690805	46,59833157	-46262	STILFS (STELVIO)	1	Miar sein mied un hobn durscht.
546361	11,18153697	46,72780082	-46234	VERNUER (VERNURIO)	1	Mir sein müada und hobn Durst.
546354	10,93457311	46,68890715	-46227	KATHARINABERG (SANTA CATERINA)	1	Miar sein müad und hobn durst.
546350	10,78187881	46,75742756	-46226	KURZRAS (CORTERASO)	1	Miar sein müad und hobm durscht.
546331	10,52936081	46,7107352	-46217	BURGEIS (BURGUSIO)	1	Miar sein miad und hobn on neuz Därst.
546330	12,19183685	46,77103721	-46215	PICHL	1	Mir san miade un haum durscht.
546309	11,665945	46,770262	-46195	SCHABS (SCIAVES)	1	Miar sein miade und obm Durscht.
546299	12,10062179	46,85947024	-46181	ANTHOLZ (ANTERSELVA DI MEZZO)	1	Mir san miad u houbn an durscht.
546295	11,70668566	46,8867533	-46175	PFUNDERS (FUNDRES)	1	Miör sein müödü und dürstn tuit ins.
546263	11,156652	46,871323	-46162	RABENSTEIN (MOOS)	1	Mier sein miede und hobm durscht.
546289	10,63866245	46,83825902	-46161	HINTERKIRCH (GRAUN)	1	Miar sein müad un houbm durscht.
546253	12,10710013	47,04166281	-46146	PRETTAU (PREDOI)	1	Wio san miede unt hobm Duscht.
547215	20,74010208	48,73016195	-18008	SCHMￃﾖLLNITZ (SMOLNￃﾍK)	1	Bie sei ba miet und sein duijschtich.
540730	18,99999994	49,82000004	-17749	ALT-BIELITZ (STARE BIELESKO)	1	Wjer sen schwash an hon Döscht.
389479	19,45265	49,87403	-17746	CHOCZNIA	1	Mir ham a mäid und hama dursti.
390916	19,28507	49,87652	-17744	BULOWICE	1	Wir sein mied und han Durst.
387377	19,326	49,98619	-17739	POLANKA WIELKA	1	Wir sind müd u hun Dorscht.
535428	16,37426376	53,74533931	51	BAERWALDE	1	Wi sünd möd u häwä döst.
373017	17,1932	53,7362	74	GWIEZDZIN	1	Wi sind moid u hebbe dööst.
372997	17,51084	53,73196	83	CHARZYKOWY	1	Wi sind moid u häbbn döst.
376415	19,16906	53,67605	99	TRUMIEJKI	1	Wi sönd möd onn hebbe derscht.
373879	18,9051	53,70548	110	ROZPEDZINY	1	Wie send möd on häbe dörscht.
160646	15,51756	53,76575	133	SOSNOWO	1	Wi sünd meur o hewwn döst.
373286	15,86239	53,77752	145	SMARDZKO	1	Wie sünn meur u hewwe Döst.
370788	16,09538	53,76262	158	POLCZYN-ZDROJ	1	Wi sünn mäud u hewwe döst.
161335	16,69276	53,74786	180	GALOWO	1	Wie sünd moid u hewwe dößt.
158846	16,96984	53,75059	185	JELNIA	1	Wi sin möd u häwwa dost.
160131	19,21069	53,82183	211	RODOWO	1	Wir sind mud und hoabn dorscht.
152192	17,24179	53,90401	282	ZOLNA	1	Wie sind moid u hebbe dest.
373273	17,75803	53,87662	285	KOSOBUDY	1	Wir seit Meid und hevn Derst.
541516	18,09997562	53,88253175	289	KￃﾖNIGSWIESE (LEￅﾚNA HUTA)	1	Wi sint med u habe Durscht.
532570	18,40028	53,85127	291	LUBICHOWO	1	Wie sind Möid un häbbä derst.
534658	18,94320745	53,86393989	300	MONTAUERWEIDE	1	Wi send möd und hebbe dörscht.
532196	15,54345	53,93552	312	RYMAN	1	Wie sün meur un hiwwa döst.
370644	15,82486	53,93499	324	PODWILCZE	1	Wi sünd meur o hewwe döst.
148262	16,14955	53,95055	344	MODROLAS	1	Wi sinn möur un hewwn döst.
162750	16,41182	53,94692	351	SMECINO	1	Wie sind meud unn hewwe döst.
534872	16,6593432	53,9295732	356	PORST	1	Wai sind meud u häwwa däst.
162673	16,97152	53,91653	366	PRZERADZ	1	Wei sind meud un hewe döst.
147980	16,65187	54,07285	458	WIETRZNO	1	Wai sinn mäur un hewwe däßt.
372705	16,95143	54,06604	465	OKUNINO	1	Wi sind meir u hewwä dersti.
532087	17,25621	54,06601	474	KRAMARZYNY	1	Wie sind meid u hewwe däst.
148470	17,54883	54,03056	478	PRADZONKA	1	Wie sind mäud u häbe döst.
161323	18,09229	54,0637	486	NIEDAMOWO	1	Wie sinn meid unn hewwe dörst.
374684	18,35818	54,02938	495	JAROSZEWY	1	Wie sind meid und hebe derscht.
375290	18,60845	54,00516	503	SZPEGAWSK	1	Wi send meed un hebbe derscht.
149312	18,96931	54,01376	511	KRASNIEWO	1	Wie send möd on hewe derschd.
371648	19,25267	54,01388	532	ZULAWKA SZTUMSKA	1	Wör send all ho mud un ho dorrstig.
150858	15,52373	54,11856	549	PRZECMINO	1	Wie sün meur u häwe Dößt.
151041	15,83913	54,10419	573	LYKOWO	1	Wi sünd meur o hewwn döst.
152858	16,10326	54,10839	584	DUNOWO	1	Wi sinn möd oa häwa döest.
147182	18,95682	54,15681	688	PREGOWO ZULAWSKIE	1	Wie send möd on hewe derscht.
376087	16,36258	53,40347	743	RUDKI	1	Wie sinn möd u hebba Döst.
371847	16,64428	53,39298	748	BUDY	1	Wi sinn müid u hebbe döst.
532171	17,14489	53,41264	760	ZAKRZEWO	1	Wi sünd sen moid u hebbn grosn döst.
372128	17,46743	53,37996	769	NOWY DWOR	1	Wia sünd meud uh heb dösta.
149964	18,59262	53,37403	803	LUNAWY MALE	1	Wi sünt möd o hebbä döst.
146983	19,15258	53,34825	821	BUKOWIEC	1	Wi send mäd'o hebbe derscht.
372040	17,21995	53,57517	880	STRZECZONA	1	Wi sünd müd o hebbn döst.
147621	17,74635	53,55745	895	JELENCZ	1	Wi sind moid u häbn doagt.
170389	18,07074	53,54121	899	IWIEC	1	Wir sünt meud uh hebn döjsta.
152379	18,58805	53,53014	906	BUSNIA	1	Wie send möd on hebbe derscht.
158660	18,83909	53,52267	920	LISIE KATY	1	Wie senn möd un hewwe derscht.
161906	19,18069	53,50608	930	GOCZALKI	1	Wir sint mid on hoben dorscht.
534903	17,42103998	53,05104088	983	GROMADEN	1	Wie sün möd u häwä döst.
541553	17,72070827	53,06923401	984	FRIEDBERG	1	Wi sunn moid ou habbä döst.
541554	17,99966399	53,03340784	990	WALOWNICA	1	Wi se möd o hebbe döst.
159543	18,26158	53,05159	994	KABAT	1	Wie send möd o häbe döst.
150069	15,49524	53,11481	1009	NOWY KLUKOM	1	Wie sin möög o döstig (häbba dost).
531796	15,78185	53,08719	1018	LASKO K CHOSZCZNA	1	Wie sind möd un hebbe dörst.
159464	16,08349	53,12516	1023	GOLIN	1	Wie sünd mööd u hewwe dost.
531178	16,39581	53,11234	1029	NIEKURSKO	1	Wi sinn möd on hebbon dost.
376330	16,63215	53,09276	1035	STOBNO	1	Wi sin möd u hebe dost.
370259	17,19502	53,11046	1050	KROSTKOWO	1	Wi sün meid u hebe döß.
534921	17,45996751	53,22049833	1133	DEBENKE	1	Wie sün meud u hebä döstä.
148600	17,73634	53,22735	1139	GLISZCZ	1	Wi synd moid u häbbe döst.
375151	18,26662	53,22211	1150	CZARZE	1	Wi sind med on hebe Dest.
373923	18,56976	53,2111	1157	BIELCZYNY	1	Mir sinn müad und henn durscht.
160911	18,85888	53,17872	1162	SIERAKOWO	1	Wi söed meid o hebbe deäst.
147552	15,50003	53,29161	1178	SOKOLINIEC	1	Wi sinn mög u hebba Döst.
370665	15,85412	53,25859	1192	DEBSKO	1	Wie sind möd u hebbe döst.
163085	16,12236	53,27292	1197	PLOCICZNO	1	Wi sin möd o häbba döß.
148733	16,30259	53,26242	1203	NAKIELNO	1	Wi sina möd un häbba dosst.
541572	16,62174662	53,26616634	1208	WISSULKE (WIESIￃﾓￅﾁKA)	1	Wi sinn möd u hebbä dost.
371585	16,90232	53,26649	1215	PARUSZKA	1	Wi sünn meud uh häbbe döst.
375822	15,56066	53,43452	1278	INSKO	1	Wi sin möd o hewwa Döest.
374696	15,82821	53,44244	1287	KONOTOP	1	Wi sinn möd o hebba Döst.
153188	16,0857	53,43147	1296	ZABIN	1	Wie sind möad u hebba döast.
374882	16,93735	53,43084	1315	KAMIEN	1	Wi sünn möd u habbn döuste.
534933	17,75795578	53,42095415	1338	DZIDNO	1	Wie sen moid uh häbbe döst.
158526	15,53822	53,61301	1403	DOBIESZEWO	1	Wi sinn mör ua hewwa döst.
375806	15,82664	53,61641	1417	RYDZEWO	1	Wi sünn mör u hewwe döst.
151328	16,09713	53,5926	1432	RZEPOWO	1	Wie sin möd un hewa döst.
372645	16,3881	53,58605	1442	LUBOWO	1	Wi sünd mäud u hewwe döß.
541580	16,64922303	53,57923598	1451	STEINFORTH (BRODￅﾹCE)	1	Wi sunn möd ua hewwä dösst.
146871	16,90083	53,59936	1461	WEGORZEWO SZCZECINECKIE	1	Wie sünd mäud un häwä durst.
152200	18,31669	53,6553	1499	STARA RZEKA	1	Wie sein meed u hebbe doast.
541593	21,39751921	55,00008085	1536	HEIDLAUKEN (BUGORKI)	1	Wi sönn möd on hebbe darscht.
534942	21,69458052	55,04244719	1540	HEINRICHSWALDE	1	Wie send meed un hebbe derscht.
522795	21,99049945	55,02117866	1552	PAZUIZEN	1	Wi send möd un hebbe dürscht.
522784	22,25700873	55,00557634	1565	GIERVER LAUKEN	1	Wie senn meed un hebbe derscht.
522772	22,59096608	55,07130157	1571	SCHMALLENINGKEN	1	Wi sonn med un hebbe därscht.
541600	19,96594881	54,93887292	1573	GROￃﾟ DIRSCHKEIM (DONSKOYE)	1	Wi sent med on hebbe derscht.
540919	20,25705523	54,95056245	1578	RANTAU (ZAOSTROV'YE)	1	Wi sen med onn hebbe derrscht.
541603	20,51939251	54,91991342	1580	SCHULSTEIN (VOL'NOE)	1	Wi send meed on hebbe derscht.
541608	21,36986045	54,92959481	1588	ALT SUSIMILKEN (TARASSOWKA)	1	Wie sind möd on hebbe därscht.
541640	22,56764471	54,97028491	1626	TULPENINGKEN (ZAREￄﾌNOE)	1	Wie sönnd med und hebbe derscht.
541641	22,74958463	54,93330301	1628	WISBORIENEN (LIVNY)	1	Wie sön med on hebbe derscht.
541763	20,82988029	54,91975148	1654	POSTNICKEN (ZALIVNOE)	1	Wie send med onn hebbe derscht.
540911	21,06375338	54,89622754	1664	LABAGIENEN/HAFFWINKEL (ZALIVINO)	1	Wie send med on hebbe derscht.
541395	21,65075358	54,87658737	1683	KREUZINGEN (BOL'SHAKOVO)	1	Wie sönd med on hebbe Derscht.
541701	21,94586611	54,83695164	1698	BUTTKUHNEN (POKROVSKOE)	1	Wie send med un hebbe dorscht.
541709	22,22011308	54,8699569	1708	BALTRUSCHATSCHEN (JAKOVLEVO)	1	Wie sänd möd on hebbe derscht.
541735	19,98061971	54,80011714	1733	ROTTENEN (RAKTINO)	1	Wie send meed onn hebbe därscht.
541741	20,16992129	54,80001676	1741	POJERSTIETEN (KOLODCY)	1	Wie send med on hewe derscht.
541746	20,50003508	54,76991096	1747	BEYDRITTEN (PERVOMAJSKIJ)	1	Wi sönd möd un hebbn derscht.
541755	20,77992635	54,78017981	1758	BRASDORF (ANTONOVKA)	1	Wi send meed on hebbe derrscht.
541782	21,08440964	54,75089788	1772	GROￃﾟ GOLDBACH (SLAVINSK)	1	Wie send med on hebe dörscht.
541836	22,5167	54,8167	1829	RUDSZEN (POLTAVSKOE)	1	Wie sent med un hebbe derscht.
541847	22,81669606	54,80000132	1842	WARUPￃﾖNEN (FￃﾋDOROVKA)	1	Wie send med un hebbe durscht.
541892	21,33071539	54,71800592	1895	KￃﾖNIGLICH DAMERAU	1	Wie send med on hebbe derscht.
541900	21,6499872	54,73016708	1904	PESSELN	1	Wie sönn möhd onn hebbe därscht.
541915	21,93005406	54,69998961	1919	GROￃﾟ GERLAUKEN (VJAZOVKA)	1	Wir sönd möd onn hebbn dorst.
541919	22,21995783	54,67997099	1924	PAKALLNISCHKEN (SUVOROVO)	1	Wie send möd on häbbe därscht.
535058	19,90818698	54,64428333	1953	PILLAU	1	Wie sönnd möhd onn hebbn därscht.
541947	20,15361676	54,5820861	1956	PATERSORT (BEREGOVOE)	1	Wir sen med onn hebbe derscht.
541953	20,42971236	54,62002257	1962	BERGAU (TZWETKOWO)	1	Wie sönd möd on häbbe därscht.
541967	20,75395508	54,59520723	1977	FUCHSBERG (SEMￃﾋNOVO)	1	Wie sön meed on häbbe därscht.
541989	21,02997097	54,6200058	1987	PREGELSWALDE (-)	1	Wi send med onn hebbe dertscht.
542060	22,50016715	54,62991219	2067	ENSKEMEN (-)	1	Wi send med ön hebbe dorscht.
535064	22,73599317	54,63812267	2081	EYDTKAU (EYDTKUHNEN)	1	Wir senn med un hebbe derscht.
541353	21,27474769	54,57882765	2127	KLEIN NUHR (SUKHODOL'YE)	1	Wie sen med on hebbn derscht.
542122	21,62013419	54,57005281	2135	SKUNGIRREN (PEN'KI)	1	Wie sent med aon hebbe derscht.
542131	21,88330517	54,51668997	2145	KURSCHEN (KUZ'MINO)	1	Wi send möd on hebbe derscht.
542154	22,16975911	54,52012092	2161	KALNEN (-)	1	Wie sönd möd onn hebbe dorscht.
542508	22,42986516	54,5016424	2182	SOGINTEN (SVIRSKOE)	1	Wie sen med uck därschtig.
540912	19,67147972	54,46957437	2200	NARMELN (POLSKI)	1	Wi sennd med onn häwen därscht.
543105	19,84999981	54,46997869	2204	LEYSUHNEN (ￅﾠￄﾌUKINO)	1	Wir sönn möd ann hebbe derscht.
545946	20,17466577	54,43254804	2216	HERMSDORF (POGRANIￄﾌNYJ)	1	Wi sönd möd onn hebbe därscht.
545940	20,44948952	54,44766449	2225	MORITTEN (OKTJABRSKOE)	1	Wi sönn möd on hebbn derscht.
535077	20,70648261	54,44337509	2242	NAUNIENEN	1	Wie sön möd on hebbe derscht.
547762	22,66645761	54,4857982	2338	WENSLOWISCHKEN (VOZNESENSKOYE)	1	Wie send meed onn hebbe derscht.
547780	20,99338566	54,40519107	2398	MERTENSDORF (TJOMKINO)	1	Wi sand med on heb derscht.
547789	21,28673749	54,40141987	2409	TRAUSEN (LIPNYAKI)	1	Wie sinnt maid uonn hiebbe dierscht.
547807	21,56653326	54,36655007	2426	GROￃﾟ PENTLACK (KAMENKA)	1	Wie sen möd un hebbe durscht.
547817	21,82957764	54,3617094	2436	KOWARREN (ZAOZERNOYE)	1	Wi send möd on hebbn derscht.
547834	22,13331286	54,34995769	2452	KLESCHOWEN (KUTUSOWO)	1	Wie sen möd un hebbn dorscht (därscht).
375013	19,52712	54,32024	2466	TOLKMICKO	1	Wie sönn möd onn heww derscht.
152242	19,83808	54,29556	2474	PIERZCHALY	1	Wie sen möd on hewwe derscht.
547844	20,09813884	54,30449343	2482	PETERSWALDE (PIOTROWIEC)	1	Wi sön möd on hebbe derscht.
153661	20,36688	54,27806	2494	SARUNY	1	Wia sönd möd on hebbe derscht.
524034	20,66778	54,26158	2507	WOJCIECHY	1	Wie sönn möd on hebbe durscht.
149290	22,36881	54,311	2586	JURKISZKI	1	Wei sönn möd un höbbe därscht.
148578	22,66316	54,29125	2602	MACIEJOWIETA	1	Wi sind möd un hebbe derscht.
149052	20,97559	54,24857	2676	RYGARBY	1	Wie sön möd on hebbe derscht.
159955	21,22078	54,22234	2691	KOLWINY	1	Wi send med ön hebbe derscht.
524097	21,52149	54,21336	2703	SROKOWO	1	Wie sön möhd on häbbe därscht.
152888	21,84831	54,19826	2715	STREGIEL	1	Wij säm meed enn häbbe därscht.
147123	22,08998	54,1819	2727	BUDZISKA	1	Wie sönd mödh on häbbe därscht.
149930	22,3755	54,1671	2746	CHELCHY	1	Wi send möd on hebbe derscht.
370990	19,53293	54,15703	2762	WILKOWO	1	Wie senn möd on hebbe derscht.
372304	19,82948	54,1413	2781	KARWINY	1	Wör sein müd enn han dorscht.
160680	20,09633	54,14074	2800	KRZYKALY	1	Wea sain müd un hie derscht.
162247	20,36457	54,08463	2817	MAWRY	1	Wöa sain med onn hon dährscht.
160459	20,66023	54,12332	2827	SARNOWO	1	Wea seinn müd unt hohne Durscht.
149706	20,94413	54,10143	2846	LEDLAWKI	1	Wie sönn miad onn hebbe derscht.
153681	22,62853	54,10033	2900	BORAWSKIE	1	Wi sönd meed on ons därscht.
370457	19,46122	53,6373	2906	ZABROWO	1	Wi sind meid un hebbe derscht.
148723	19,76793	53,66096	2916	STANOWO	1	Wer sein müd on hoube dorscht.
147607	19,75882	53,49803	2923	FIJEWO	1	Wer send müd und hobe dorst.
535107	19,98230035	53,32705066	2935	GROￃﾟ KOSCHLAU	1	Werr sennd müd onn haube dorscht.
162449	19,79497	53,81492	2955	LIKSAJNY	1	Wir sönd müd on hoabe dorscht.
158754	20,06956	53,7834	2962	MOLZA	1	Wör sein müde on haun durscht.
370398	20,32869	53,80238	2970	WARKALY	1	Wea sain müd on hon derscht.
170412	19,4496	53,83722	2996	BUCZNIK	1	Wer sei müd on haben dorscht.
373035	21,17506	53,91539	3058	ZYNDAKI	1	Wie send meed on hebe derscht.
524457	19,52713	53,98486	3069	RYCHLIKI	1	Qöe sond müd onn hoate dorscht.
373009	19,80014	53,96474	3083	CHOJNIK	1	Wä sein müd onn haon dorscht.
374079	20,07338	53,96624	3093	KSIAZNIK	1	Wie sein mied onn haon durscht.
372153	20,36658	53,95943	3111	GLOTOWO	1	Wea sein müd on hon derscht.
150886	20,64327	53,94733	3122	DERC	1	Wea sein müd on hon därscht.
159092	21,20504	54,0744	3254	JURKOWO	1	Wie sön med on hebbe derscht.
153053	21,49172	54,03376	3267	POZARKI	1	Wie sen med on hebe derscht.
158788	22,10641	54,0154	3272	GAWLIKI WIELKIE	1	Wi sennt meed onn häbbe Därscht.
