Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	Transliteration WS38
94965	6,34277	50,06311	10029	RINGHUSCHEID	1	- D' Leckt - - sen hockt - - - oall - - - debaußen opdem Feld - oan - - mihen. - - -
95722	6,58295	50,04663	10044	MALBERG	1	- Die Leit - - sein hei[??]t - - - ahl - - - debaußen obdem Fehl - un - - miehen. - - -
150069	15,49524	53,11481	1009	NOWY KLUKOM	1	- De Lühg - - sin hüt - - - alle - - - butn up'm Fill - o - - mäga. - - -
531796	15,78185	53,08719	1018	LASKO K CHOSZCZNA	1	- De Lüd - - sin hüte - - - alle - - - buta um Fil - un - - mähga. - - -
99147	6,84042	50,09033	10215	PANTENBURG	1	- De Leit - - sen haut - - - all - - - - obem Fähl - on - - mihen. - - -
159464	16,08349	53,12516	1023	GOLIN	1	- De Lüüd - - sin hüt - - - alle - - - buten updem Fill - u - - määge. - - -
97954	7,07928	50,09451	10230	BEUREN	1	- De Leut - - seu haut - - - all - - - - offdem Flor - un - - mahen. - - -
98462	7,34404	50,10303	10259	MÖRSDORF	1	- Die Leut - - sin haut - - - all - - - ejaus ufdem Fell - - - am Mähe. - - -
94920	7,633	50,12291	10275	BADENHARD	1	- Die Leit - - sen haut - - - all - - - drauß ufdem Fell - un - - mähe. - - -
531178	16,39581	53,11234	1029	NIEKURSKO	1	- d' Lüd - - sinn heit - - - alle - - - buto um Fill - ou - - mögo - - -
95227	7,88739	50,1322	10300	WELTEROD	1	- Dej Läjt - - senn häjt - - - all - - - - uf'm Feld - un - - mähe. - - -
96664	8,14118	50,13996	10315	BLEIDENSTADT	1	- Die Leit - - sinn heit - - - all - - - draus uff'm Feld - unn - - mehe. - - -
11144	6,05347	50,20267	10335	ESPELER	1	- De Lekt - - sinn hekt - - - aldabaußen - - - - obdat Feld - ond - - mihen. - - -
376330	16,63215	53,09276	1035	STOBNO	1	- De Lüd - - sin hüt - - - alle - - - buto updem Feld - u - - mäjo. - - -
95212	6,31001	50,22124	10351	BRANDSCHEID	1	- Die Läkt - - senn huit - - - all - - - daboußen obdem Feld - un - - mihen. - - -
97121	6,55753	50,21722	10368	BÜDESHEIM	1	- De Leck - - sinn hock - - - all - - - deboußen obd'em Fäll - unn - - mien. - - -
97404	6,7955	50,23069	10381	WALDKÖNIGEN	1	- De Leut - - se-in hout - - - all - - - erüß obdem Fell - on - - mähen. - - -
370259	17,19502	53,11046	1050	KROSTKOWO	1	- Dei Lüd - - sin hüt - - - alle - - - buten um Fil - u - - meje - - -
95268	7,0778	50,26048	10584	KALENBORN	1	- De Leut - - seun hoaud - - - all - - - droausen ofdem Färl - un - - mäen. - - -
96687	7,34445	50,2728	10601	GAPPENACH	1	- De Leit - - sein haut - - - all - - - ejauße ofdem Fell - on - - mähe. - - -
101126	7,61816	50,28044	10621	RHENS	1	- Die Leut - - sem heut - - - all - - - drauß ofem Feld - on - - mäje. - - -
96321	7,87712	50,29247	10649	ATTENHAUSEN	1	- Die Läit - - senn häit - - - all - - - drouse uffdem Feld - un - - mähe. - - -
94966	8,10998	50,31601	10663	HERINGEN	1	- Die Leut - - sen haut - - - all - - - drauß em Feld - un - - meje. - - -
11763	6,28038	50,38149	10690	HONSFELD	1	- De Löck - - sen höck - - - all - - - dobussen ob't Feld - ohnd - - mähne. - - -
135306	6,54324	50,3815	10697	DAHLEM	1	- De Löck - - senn höck - - - all - - - dofür oppdem Fell - on - - mähe. - - -
95727	6,80584	50,41498	10709	AREMBERG	1	- De Löck - - sen höck - - - all - - - droußen obdem Fell - ond - - mäen. - - -
96260	7,05945	50,41231	10736	HOHENLEIMBACH	1	- Die Leut - - sein heut - - - all - - - draußen obdem Feld - on - - mähe. - - -
100720	8,54797	50,9931	10857	HATZFELD (EDER)	1	- Di Loure - - sei haure - - - all - - - dause offdemm Feld - un - - mih. - - -
542256	10,4237421	50,7188194	10974	HAINDORF	1	- De Lühd - - sen hüht - - - all - - - dusse ofden Fähld - ou - - mäh=we. - - -
373879	18,9051	53,70548	110	ROZPEDZINY	1	- De Lüd - - send hütte - - - allee - - - buten opem Fil - on - - mähe. - - -
542173	10,72904373	50,77061604	11132	SCHWARZWALD	1	- De Lüth - - sinn hütt - - - âll - - - drussen ofdân Feld - on - - mähen. - - -
139789	10,96938	50,75547	11149	WIPFRA	1	- De Liete - - sinn hitte - - - alle - - - drussen offen Fälle - onn - - homm'n. - - -
136781	11,22809	50,76235	11180	REMDA	1	- D' Leite - - sinn heite - - - alle - - - druss'n off'n Fälle - onn - - haun. - - -
141792	11,50488	50,7536	11197	ZEUTSCH	1	- Die Leite - - sin heite - - - olle - - - drusse uffem Felle - on - - mähn. - - -
142209	11,73363	50,77235	11212	BREITENHAIN	1	- De Leute - - sin̄ heute - - - alle - - - drussen off'n Felle - un - - möhen - - -
139629	12,01318	50,78588	11230	BURKERSDORF	1	- Die Läde - - sin̄ häte - - - olle - - - draußen uffen Fälle - un - - mehen. - - -
139540	12,24437	50,77289	11252	SEELINGSTￃﾄDT	1	- Die Leut - - sind heut - - - alle - - - draußen ofdem Fälde - und - - han. - - -
142683	10,42573	50,91165	11262	SEEBACH	1	- D. Lüt - - sin hütt - - - all - - - trausen uftn Fäld - un - - hauben. - - -
534921	17,45996751	53,22049833	1133	DEBENKE	1	- Dei Lüd - - sünn hüt - - - alle - - - - obdem Fill - u - - mäge. - - -
148600	17,73634	53,22735	1139	GLISZCZ	1	- Dai Lüd - - sind hüt - - - alle - - - buten updem Fäll - u - - mejä. - - -
138852	10,68407	50,91991	11467	BOILSTￃﾄDT	1	- Die Lüht - - sinn hitt - - - all - - - drussen afdän Fäld - un - - mäen. - - -
142811	10,93186	50,92027	11485	INGERSLEBEN	1	- D' Lihte - - sin hitte - - - alle - - - drussen ofden Fälle - on - - schniden - - -
375151	18,26662	53,22211	1150	CZARZE	1	- De Lüd - - sent hit - - - alle - - - bute opem Feld, - on - - haue. - - -
139765	11,20701	50,91984	11515	GUTENDORF	1	- Di Leite - - sinn heite - - - alle - - - drussen uf'n Falle - onn - - schneiden. - - -
138476	11,46177	50,93317	11539	KLEINSCHWABHAUSEN	1	- Die Leite - - sen heite - - - alle - - - drussen uff'n Fālle - on - - hauen. - - -
136839	11,74837	50,93578	11568	THALBￃﾜRGEL	1	- Die Leite - - sen heite - - - alle - - - drussen of'n Felle - un - - mehen. - - -
373923	18,56976	53,2111	1157	BIELCZYNY	1	- Die Leut' - - sinn heut - - - alle - - - draußa uff'm Feld - unn - - hauetKornab. - - -
138178	12,01155	50,92981	11586	BAD KￃﾖSTRITZ	1	- De Leite - - sin heite - - - olle - - - draußen ufen Falle - un - - haun. - - -
141924	12,26812	50,94846	11607	LUMPZIG	1	- De Leite - - sin heite - - - olle - - - draußen uffn Falle - un - - mähn. - - -
160911	18,85888	53,17872	1162	SIERAKOWO	1	- Dei Lüd - - sönd hitte - - - alle - - - butten opdäm Föll - o - - hogge. - - -
88799	10,74168	50,23953	11645	GLEISMUTHHAUSEN	1	- Die Leut - - senn hait - - - ölla - - - dausn - Fald - un - - mahn. - - -
92402	11,20975	50,24786	11673	MITWITZ	1	- Die Leut - - sin heit - - - [o/a?]lla - - - daußen aufn Feld - und - - meha. - - -
79021	10,4955	50,24929	11763	AUB	1	- Die Leut - - sen heint - - - alla - - - dous'n - Flur - un - - mähn. - - -
147552	15,50003	53,29161	1178	SOKOLINIEC	1	- Die Lüg - - sinn hüt - - - alle - - - buta um Fell - u. - - meiga. - - -
85535	11,00025	50,2494	11805	SEIDMANNSDORF	1	- Die Leut - - senn heit - - - öllä - - - taus'n uff'n Fäld - un - - mähn. - - -
81384	11,47316	50,26759	11825	WALLENFELS	1	- Die Leut - - sin heint - - - alla - - - daun aufm Feld - und - - mäha. - - -
84316	11,76361	50,27631	11844	NEUDORF	1	- Die Leit - - senn heint - - - alla̽ - - - daußen afm Feld - und - - mäha̽. - - -
87879	12,0103	50,28274	11864	DRAISENDORF	1	- Die Leit - - sènn heit - - - alla - - - drauß'n af'm Feld - und - - mäha. - - -
141286	12,28319	50,27688	11881	SOHL	1	- D' leit - - sen - - - - alle - - - drausz'n af'n fēld - z tan - miä. - - -
142488	10,49026	50,41091	11896	SￃﾜLZDORF	1	- Die Leut' - - senn heut - - - alle - - - daus of's Feld - on̄ - - mäwe - - -
370665	15,85412	53,25859	1192	DEBSKO	1	- De Lṻd - - sinn hüt - - - alle - - - būtê um Fel - u - - mähje. - - -
138479	10,97928	50,40853	11927	BACHFELD	1	- Die Leut - - senn heit - - - äll - - - draußen uf'n Feld - un - - mahn. - - -
163085	16,12236	53,27292	1197	PLOCICZNO	1	- De Lüd - - sin hüt - - - all - - - buta updem Fill - o - - mäja. - - -
148733	16,30259	53,26242	1203	NAKIELNO	1	- De Lüt - - sin hüt - - - alle - - - buta updem Fel - un - - mäja. - - -
141347	10,73533	50,42423	12037	HILDBURGHAUSEN	1	- Die Leut - - sen̄ heit - - - alle - - - drauß'n uff'n Fald - un - - mäh'n. - - -
140391	11,24222	50,44197	12070	NEUENBAU	1	- Die Leut' - - sen heit - - - ölle - - - daußen uffn Fald - un - - mehen. - - -
541572	16,62174662	53,26616634	1208	WISSULKE (WIESIￃﾓￅﾁKA)	1	- De Lüd - - sinn hütt - - - alle - - - butä uppdem Fill - u - - mäjä. - - -
136850	11,50062	50,42866	12085	GRUMBACH	1	- Då Leit - - sänn heit - - - alle - - - draußn off'n Fåld - unn - - mehn. - - -
138073	11,76687	50,44079	12104	FRￃﾖSSEN	1	- De Leit' - - sänn heint - - - alle - - - daußen off'n Feld - und - - mähje. - - -
142268	12,0079	50,43389	12125	SCHWAND	1	- De Leit - - sänn heit - - - alle - - - daußn (daun) Feld - unn - - mehn. - - -
140507	12,28579	50,43672	12148	KOTTENGRￃﾜN	1	- De Leut - - sei heut - - - alle - - - daun ofn Feld - un - - meh[e/n?]. - - -
371585	16,90232	53,26649	1215	PARUSZKA	1	- Dei Lühd - - sünn hüt - - - allä - - - butem uppdem̄ Fihl - uh - - megä. - - -
137045	10,41715	50,57103	12153	MEININGEN	1	- Die Lüt - - senn heute - - - all - - - drosse offn Feld - unn - - mäwe. - - -
137465	10,71167	50,55906	12167	ALTENDAMBACH	1	- Die Leut - - senn heut - - - allä - - - drußä offön Feeld - o - - meöbä. - - -
137776	10,96068	50,56467	12184	ALTENFELD	1	- Die Leut - - sen heint - - - ölle - - - dausse uffe, Fäld - un - - habe. - - -
142205	11,21968	50,60225	12341	ROHRBACH	1	- Die Leute - - sin heute - - - alle - - - drußn ofn Fele - unn - - mähn. - - -
542249	11,47786231	50,58586587	12371	ST. JACOB BEI LEUTENBERG	1	- De Leite - - sinn heute - - - alle - - - drussen uff'n Feld - un - - mähn(ärnten) - - -
136605	11,76828	50,60092	12390	NEUNDORF (BEI SCHLEIZ)	1	- D' Leit - - sen heit - - - alle - - - droßen uf'm Feld - un - - mäh'n - - -
138329	12,0133	50,59065	12410	EBERSGRￃﾜN	1	- Die Leit - - sei heint - - - alle - - - daußen - Fēild - und - - mehe. - - -
542252	12,28681029	50,61279344	12428	ROITZSCHAU/ROTSCHAU	1	- Di Leit - - sei - - - - allezam̄ - - - drau'n offn Fald - unn - - meha. - - -
83929	11,01356	50,08352	12496	HORSDORF	1	- Die Leut - - sen heut - - - ölla - - - daun auf'm Feld - und - - meha. - - -
90390	11,52863	50,0917	12529	KￃﾖDNITZ	1	- Die Leut - - sen heint - - - alla - - - daußn aufm Feld - und - - meha. - - -
73525	11,78865	50,09627	12556	KORNBACH	1	- DIe Leut' - - sen heut - - - alle - - - draußn afn Feld - und - - méha. - - -
92759	12,01162	50,11446	12572	HABNITH	1	- Die Leut - - sen heut - - - alla - - - draß aufm Feld - und - - mäha. - - -
92995	10,47912	50,0693	12594	UCHENHOFEN	1	- Die Leut - - senn heit - - - ölla - - - daußn aufn Fald - und - - mähn. - - -
81117	10,75411	50,07607	12616	REUTERSBRUNN	1	- Die Leut - - sen heit - - - ölle - - - - aufe Feld - und - - mahe. - - -
87919	11,23885	50,08397	12656	WEISMAIN	1	- Die Leut - - sen heit - - - alla - - - daun - - - und - - meha. - - -
375822	15,56066	53,43452	1278	INSKO	1	- De Lüd - - sin hüt - - - allě - - - būta(m) updem Fill - ǒ̌ - - mäja. - - -
374696	15,82821	53,44244	1287	KONOTOP	1	- De Lüd - - sinn hüt - - - alle - - - buta opdem Fill - o - - mäja. - - -
139318	12,54606	50,95499	12876	LOHMA	1	- De Leite - - sin heite - - - olle - - - drauhsen uff'en Falle - un - - hoχn. - - -
542291	12,79845622	50,93588982	12898	HEIERSDORF	1	- D' Leut - - sin heut - - - alle - - - draußen ofn Fald - un - - haun. - - -
140816	13,03963	50,94183	12921	SACHSENBURG	1	- D' Leut' - - senn heut' - - - oll' - - - dauß'n uff'n Fald - onn - - hau'n. - - -
138353	13,31425	50,9658	12942	ROTHENFURTH	1	- De Leud - - sin heud - - - alle - - - daußen uff'n Fald - un - - mah'n. - - -
153188	16,0857	53,43147	1296	ZABIN	1	- Die Lüd - - sinn heit - - - alle - - - but'a updemm Fill - ua - - mäga. - - -
138765	13,61631	50,94387	12969	BORLAS	1	- De Leuite - - sein heuite - - - olle - - - daußen - - - un - - mäh'n. - - -
140821	13,85701	50,95464	13005	DOHNA	1	- De Leide - - s[e?]in heite - - - olle - - - draußen uff'm Felde - und - - hau'n. - - -
142852	14,13042	50,93992	13019	PORSCHDORF	1	- De Leute - - sin heute - - - alle - - - draußen off'n Felde - und - - mähen - - -
542319	12,51314844	50,4441744	13047	MORGENRￃﾖTHE	1	- Die Leut' - - sei heut - - - alle - - - draun' of'm' Feld - und - - mehe. - - -
140498	12,80099	50,47348	13054	RITTERSGRￃﾜN	1	- De Leut - - sei heit - - - alle - - - draußen offen Feld - un - - häne. - - -
