Longitude	Latitude	REDE_GIDs	Name	Bogennummer	REDE_Namen	Sprache
11.00025	50.2494	85535	SEIDMANNSDORF	11805	Seidmannsdorf	1
11.47316	50.26759	81384	WALLENFELS	11825	Wallenfels	1
11.76361	50.27631	84316	NEUDORF	11844	Neudorf	1
12.0103	50.28274	87879	DRAISENDORF	11864	Draisendorf	1
12.28319	50.27688	141286	SOHL	11881	Sohl	1
10.49026	50.41091	142488	SￃﾜLZDORF	11896	Sülzdorf	1
15.85412	53.25859	370665	DEBSKO	1192	Debsko	1
10.97928	50.40853	138479	BACHFELD	11927	Bachfeld	1
16.12236	53.27292	163085	PLOCICZNO	1197	Plociczno	1
16.30259	53.26242	148733	NAKIELNO	1203	Nakielno	1
10.73533	50.42423	141347	HILDBURGHAUSEN	12037	Hildburghausen	1
11.24222	50.44197	140391	NEUENBAU	12070	Neuenbau	1
16.62174662	53.26616634	541572	WISSULKE (WIESIￃﾓￅﾁKA)	1208	Wissulke (Wiesiółka)	1
11.50062	50.42866	136850	GRUMBACH	12085	Grumbach	1
11.76687	50.44079	138073	FRￃﾖSSEN	12104	Frössen	1
12.0079	50.43389	142268	SCHWAND	12125	Schwand	1
12.28579	50.43672	140507	KOTTENGRￃﾜN	12148	Kottengrün	1
16.90232	53.26649	371585	PARUSZKA	1215	Paruszka	1
10.41715	50.57103	137045	MEININGEN	12153	Meiningen	1
10.71167	50.55906	137465	ALTENDAMBACH	12167	Altendambach	1
10.96068	50.56467	137776	ALTENFELD	12184	Altenfeld	1
11.21968	50.60225	142205	ROHRBACH	12341	Rohrbach	1
11.47786231	50.58586587	542249	ST. JACOB BEI LEUTENBERG	12371	St. Jacob bei Leutenberg	1
11.76828	50.60092	136605	NEUNDORF (BEI SCHLEIZ)	12390	Neundorf (bei Schleiz)	1
12.0133	50.59065	138329	EBERSGRￃﾜN	12410	Ebersgrün	1
12.28681029	50.61279344	542252	ROITZSCHAU/ROTSCHAU	12428	Roitzschau/Rotschau	1
11.01356	50.08352	83929	HORSDORF	12496	Horsdorf	1
11.52863	50.0917	90390	KￃﾖDNITZ	12529	Ködnitz	1
11.78865	50.09627	73525	KORNBACH	12556	Kornbach	1
12.01162	50.11446	92759	HABNITH	12572	Habnith	1
10.47912	50.0693	92995	UCHENHOFEN	12594	Uchenhofen	1
10.75411	50.07607	81117	REUTERSBRUNN	12616	Reutersbrunn	1
11.23885	50.08397	87919	WEISMAIN	12656	Weismain	1
15.56066	53.43452	375822	INSKO	1278	Insko	1
15.82821	53.44244	374696	KONOTOP	1287	Konotop	1
12.54606	50.95499	139318	LOHMA	12876	Lohma	1
12.79845622	50.93588982	542291	HEIERSDORF	12898	Heiersdorf	1
13.03963	50.94183	140816	SACHSENBURG	12921	Sachsenburg	1
13.31425	50.9658	138353	ROTHENFURTH	12942	Rothenfurth	1
16.0857	53.43147	153188	ZABIN	1296	Zabin	1
13.61631	50.94387	138765	BORLAS	12969	Borlas	1
13.85701	50.95464	140821	DOHNA	13005	Dohna	1
14.13042	50.93992	142852	PORSCHDORF	13019	Porschdorf	1
12.51314844	50.4441744	542319	MORGENRￃﾖTHE	13047	Morgenröthe	1
12.80099	50.47348	140498	RITTERSGRￃﾜN	13054	Rittersgrün	1
16.93735	53.43084	374882	KAMIEN	1315	Kamien	1
12.54046	50.61237	139321	SAUPERSDORF	13169	Saupersdorf	1
12.800879	50.61883463	542348	KￃﾜHNHEIDE	13187	Kühnheide	1
13.06058	50.62587	138641	HIMMELMￃﾜHLE	13210	Himmelmühle	1
13.30128	50.59763	139696	RￃﾜBENAU	13226	Rübenau	1
12.54647	50.76709	139438	THURM	13269	Thurm	1
12.7795	50.77904	142276	URSPRUNG	13286	Ursprung	1
15.51756	53.76575	160646	SOSNOWO	133	Sosnowo	1
13.05066	50.78027	138434	DITTMANNSDORF	13317	Dittmannsdorf	1
13.31924	50.79728	142819	GROSSHARTMANNSDORF	13340	Grosshartmannsdorf	1
13.56587	50.80319	140851	REICHENAU	13355	Reichenau	1
13.85538	50.78575	139047	LIEBENAU	13372	Liebenau	1
17.75795578	53.42095415	534933	DZIDNO	1338	Dzidno	1
15.72674275	50.77629276	542404	WANG-BRￃﾜCKENBERG	13529	Wang-Brückenberg	1
15.95486	50.78753	389165	PISARZOWICE	13543	Pisarzowice	1
16.20743	50.75691	386686	BOGUSZOW-GORCE	13559	Boguszow-Gorce	1
14.65276544	50.9556005	542439	NIEDERLEUTERSDORF/LEUTERSDORF	13655	Niederleutersdorf/Leutersdorf	1
14.90152069	50.94685019	542448	ROHNAU (-)	13678	Rohnau (-)	1
15.44277	50.95309	386289	REBISZￃﾓW	13700	Rebiszow	1
15.69243	50.94016	529888	SIEDLECIN	13719	Siedlecin	1
15.97695	50.9281	385883	MYSLOW	13727	Myslow	1
16.24996	50.94262	391578	JUGOWA	13745	Jugowa	1
16.47306	50.57075	386406	WLODOWICE	13830	Wlodowice	1
17.01494	50.57111	388750	BIERNACICE	13869	Biernacice	1
17.28777	50.56603	391919	RZYMIANY	13887	Rzymiany	1
17.54127	50.56379	388785	SZADURCZYCE	13898	Szadurczyce	1
16.75132	50.60111	390808	STOSZOWICE	13929	Stoszowice	1
16.49574	50.74669	367140	LUTOMIA GORNA	13996	Lutomia Gorna	1
16.7247	50.74663	388492	ROZTOCZNIK	14023	Roztocznik	1
15.53822	53.61301	158526	DOBIESZEWO	1403	Dobieszewo	1
16.98938	50.73384	366619	LIPOWA	14034	Lipowa	1
17.51417	50.74342	389581	MICHALOW	14074	Michalow	1
17.78334	50.70421	392718	KARCZOW	14092	Karczow	1
17.2612	50.75422	386194	JUTRZYNA	14159	Jutrzyna	1
15.82664	53.61641	375806	RYDZEWO	1417	Rydzewo	1
17.00388	50.90846	391860	BRZOZA	14234	Brzoza	1
17.27996	50.91595	388449	JACZKOWICE	14250	Jaczkowice	1
17.51786	50.89571	369484	PIASTOWICE	14275	Piastowice	1
16.5052	50.92217	392235	BOZANOW	14305	Bozanow	1
16.09713	53.5926	151328	RZEPOWO	1432	Rzepowo	1
16.75854	50.92697	385748	ROGOW SOBOCKI	14321	Rogow Sobocki	1
16.69625742	50.24949279	541497	WￃﾖLFELSDORF (WILKANￃﾓW)	14382	Wölfelsdorf (Wilkanów)	1
16.3881	53.58605	372645	LUBOWO	1442	Lubowo	1
18.02571486	50.04538313	540642	THRￃﾖM (TREBOM)	14449	Thröm (Trebom)	1
16.43333	50.40879	391058	SZCZYTNA	14458	Szczytna	1
16.73068	50.40811	388518	JASZKOWA GORNA	14471	Jaszkowa Gorna	1
17.26018	50.38899	387458	NADZIEJOW	14486	Nadziejow	1
15.86239	53.77752	373286	SMARDZKO	145	Smardzko	1
17.51572	50.40154	365314	PIORUNKOWICE	14505	Piorunkowice	1
16.64922303	53.57923598	541580	STEINFORTH (BRODￅﾹCE)	1451	Steinforth (Brodźce)	1
17.00516	50.27139	366235	BIELICE	14537	Bielice	1
19.02622	50.30465	528282	SIEMIANOWICE SLASKIE	14560	Siemianowice Slaskie	1
16.90083	53.59936	146871	WEGORZEWO SZCZECINECKIE	1461	Wegorzewo Szczecineckie	1
7.1428	49.58714	97519	NOHFELDEN	14613	Nohfelden	1
7.436449875	49.61119749	534301	ERZWEILER	14635	Erzweiler	1
7.69526	49.62895	99617	NUSSBACH	14670	Nussbach	1
