Index	Bogennummer	REDE_Namen	Sprache	WS12::Transliteration WS12
ab	10029	Ringhuscheid	1	Wu je∫t du hin, solä mär moat d'r joan.
ab	10044	Malberg	1	Wo geh∫t de hien, solle mer m?a?tt der gohn.
ab	1009	Nowy Klukom	1	Wo geh∫t (e kurz) du ha, schölla wie met die gauha?
ab	1018	Lasko K Choszczna	1	Wo jeh∫te du ha, schalle wie met die goa?
ab	10215	Pantenburg	1	Woar geh∫t dou, salle ma m?ä?tt dir gahn?
ab	1023	Golin	1	Wo geh∫t du hen, schäwie mit die gohn?
ab	10230	Beuren	1	Bo gäh∫t de hieh, selle mer met dr gehn
ab	10259	Mörsdorf	1	Bo gä∫t dau hie selle mie mete gin.
ab	10275	Badenhard	1	Wo geh∫t de hin, sulle mer met der gehn.
ab	1029	Niekursko	1	Wo'e ge∫t du hen, schö?w? met di metgauo
ab	10300	Welterod	1	Wu ke∫cht du hi, solle m'r mett d'r keh?
ab	10315	Bleidenstadt	1	Wu gi∫tn hi(n) solln merr met derr gih(n)?
ab	10335	Espeler	1	Wu gee∫t du hin, solle mirr met dirr jèhn?
ab	1035	Stobno	1	Wo ge∫t du he, schöf met die met gauo.
ab	10351	Brandscheid	1	Wu geh∫t dou hin, sollen mir mat dir gaun.
ab	10368	Büdesheim	1	Wao gēh∫t dou hin, solle mir matt d'r gaon.
ab	10381	Waldkönigen	1	Wô jeh∫t dou hin, solle mr môt dr john?
ab	1050	Krostkowo	1	Wou geh∫t du hen, scho wi mit die gauha?
ab	10584	Kalenborn	1	Boar gei∫t dou hen, sellen mier met dir gon?
ab	10601	Gappenach	1	Bo jä∫t de hin, selle mer met der john.
ab	10621	Rhens	1	Wo gi∫t de hinn, solle mer met der gihn?
ab	10649	Attenhausen	1	Wu gih∫t de hi, solle ma met da geh?
ab	10663	Heringen	1	Wu gih∫t dau hin, solle mer met der gihn?
ab	10690	Honsfeld	1	Wo jeh∫t du henn, sollen mer met der john?
ab	10697	Dahlem	1	War ge∫t de, da goon ech met dir.
ab	10709	Aremberg	1	Wo gei∫t dou hin, sollä mer mot dr gahn.
ab	10736	Hohenleimbach	1	Bo jeh∫t de hin salle mer met dr john.
ab	10857	Hatzfeld (Eder)	1	Bo geh∫te hinn, siene mer mot dr gi.
ab	10974	Haindorf	1	Bo gä∫te hüi, som=me met de gäh?
ab	110	Rozpedziny	1	Wo jeih∫t du hen, sulle wie met di gohne?
ab	11132	Schwarzwald	1	Wuâ ge∫t de hen, sonn miâ met dich giâ?
ab	11149	Wipfra	1	Wu gi∫∫t du henn, sommen mähe met dir giehn?
ab	11180	Remda	1	Wu gih∫t'n hän, soll mer met dir gih?
ab	11197	Zeutsch	1	Wu gieh∫t du hen, sull mer met dir giehe.
ab	11212	Breitenhain	1	Wu gih∫t du hin? Soll mer met der gihn?
ab	11230	Burkersdorf	1	Wu gieh∫ten hin sull mer mit die giehn?
ab	11252	Seelingstädt	1	Wu gieh∫ten du hin, sullen wir mit dir gehn?
ab	11262	Seebach	1	Bú gieh∫ten d?o?u hen sun sun mehi met dich gehe.
ab	1133	Debenke	1	Wäun geh∫t diu hen, schŏ wie mit die gauä.
ab	1139	Gliszcz	1	Wo geh∫t du hänn schow met du gauä.
ab	11467	Boilstädt	1	Wuh ge∫t de hänn, sun müh met dir gieh.
ab	11485	Ingersleben	1	Wu ge∫tn hän, so ma mät dir gihä?
ab	1150	Czarze	1	Wo geist du hen sew wi met di gohne.
ab	11515	Gutendorf	1	Wu gi∫t ä henn, salcha met d'r giha.
ab	11539	Kleinschwabhausen	1	Wu gieh∫t du hänn, summern mit dir gieh?
ab	11568	Thalbürgel	1	Wo gieh∫t´n henn, solle mern met dir gieh?
ab	1157	Bielczyny	1	Wo geh∫ch naa, sollet mir mit' dir geh.
ab	11586	Bad Köstritz	1	Wu gih∫tn hen, sullmr mit dr giehn?
ab	11607	Lumpzig	1	Wu gihste hen, sulln mr mitdr gih?
ab	1162	Sierakowo	1	Wo geh∫t du hen, sea wi möt d?ü? goane.
ab	11645	Gleismuthhausen	1	Wĕ geh∫ta hi, sölln mer mitr gia?
ab	11673	Mitwitz	1	Wo geh∫tè hi, soll me mit dir gehn
ab	11763	Aub	1	Bo gèh∫ta hie? söll mer mit děr gia?
ab	1178	Sokoliniec	1	Wo geh∫t da ha, schölla wi mit di goa.
ab	11805	Seidmannsdorf	1	Wu ge∫t´n hie, soll'n m'r mit dir giah?
ab	11825	Wallenfels	1	Wua ge∫t´n hi, soll me mit de gieh?
ab	11844	Neudorf	1	Wu géh∫t do-u he-i, selln mr mit dir geh?
ab	11864	Draisendorf	1	Wu geh∫t du hin, soll mer mit dir gahn?
ab	11881	Sohl	1	Wau gäist'n hi, sölln m'r mit gĭä?
ab	11896	Sülzdorf	1	Bu gä∫te hie, solla mer mit dich gehen?
ab	1192	Debsko	1	Woe geh∫t du he, schö wie mit die gaun?
ab	11927	Bachfeld	1	Wu geh∫t´n hie, soll'n m'r mit'r gih?
ab	1197	Plociczno	1	Wo geh∫t du heh, schöw wi mit die goa.
ab	1203	Nakielno	1	Wo geh∫t du hinn, schö wi mett gaua?
ab	12037	Hildburghausen	1	Wo geh∫t´a hie, säll'n m'r mit d'r geh?
ab	12070	Neuenbau	1	Wo geh∫te hi, sölln m'r mit d'r gih?
ab	1208	Wissulke (Wiesiółka)	1	Wo geh∫t du heh, schöllä wi mett di gauha?
ab	12085	Grumbach	1	Wu ge∫t da^o hien, sell'n ma^or mit dir geh?
ab	12104	Frössen	1	Wu ge∫ten hei, sell mer mit dir geh? (auch: meit geh.)
ab	12125	Schwand	1	Wuh geßte hie, selln mr mit dr gieh.
ab	12148	Kottengrün	1	Wĕ geh∫tn hie, selln mer mit der giehn?
ab	1215	Paruszka	1	Woh geh∫t du henn, scho wi wie mit di gane
ab	12153	Meiningen	1	Bu gässt n hie, somme mit dr gäe?
