Index	Bogennummer	REDE_Namen	Sprache	WS21::Transliteration WS21
ab	10029	Ringhuscheid	1	Wäem hat hän di neu Geschicht erzalt?
ab	10044	Malberg	1	Wähm hat e die nei Geschicht beziëhlt.
ab	1009	Nowy Klukom	1	Weim hät he de nieg (Gaumenl.) Geschicht vätällt?
ab	1018	Lasko K Choszczna	1	Wem het he de nig Geschicht vetählt?
ab	10215	Pantenburg	1	Wäm hoat en die neu Geschicht erzählt.
ab	1023	Golin	1	Wem het he de nieg Geschicht votellt?
ab	10230	Beuren	1	Bämm hot e dat Steckelche verzellt?
ab	10259	Mörsdorf	1	Bem hore de neu Geschicht vazellt
ab	10275	Badenhard	1	Wem hor=e die nei Geschicht verzahlt?
ab	1029	Niekursko	1	Weimo het he de nigg Geschicht vatjallt?
ab	10300	Welterod	1	Wem horre dej nâj Keschichd verzehbd? (kesohd?)
ab	10315	Bleidenstadt	1	Wem horre die nei Geschicht verzählt?
ab	10335	Espeler	1	Wem hat hen de neie Geschicht erzallt.
ab	1035	Stobno	1	Weimo had he de nikt Geschicht vetellt?
ab	10351	Brandscheid	1	Wem hout er die nei Geschicht verzaalt
ab	10368	Büdesheim	1	Wäïm haot säïn dē neï Geschicht erzellt?
ab	10381	Waldkönigen	1	Wem hôt en die neu Geschicht verzelhlt?
ab	1050	Krostkowo	1	Wem hält hei dei nig Geschicht vetelt
ab	10584	Kalenborn	1	Bem had är de neu Geschichd verzehlt.
ab	10601	Gappenach	1	Bem hat er de nau Geschicht verzehlt.
ab	10621	Rhens	1	Wem hor er die neu Geschicht verzellt?
ab	10649	Attenhausen	1	Wem herre die näi Geschicht verzählt?
ab	10663	Heringen	1	Wem horr'er die neu Geschicht verzallt?
ab	10690	Honsfeld	1	Wemm hat hen de neu Geschicht verzahlt?
ab	10697	Dahlem	1	Wemm hät he de neu Geschicht verzellt?
ab	10709	Aremberg	1	Wem hat er de neu Geschicht erjählt.
ab	10736	Hohenleimbach	1	Bäm hat er die neu Geschicht'verzelt?
ab	10857	Hatzfeld (Eder)	1	Wäm hett er de naue Geschichte verzahlt.
ab	10974	Haindorf	1	Bän hatt' ä de neu Geschöüchte erzahlt?
ab	110	Rozpedziny	1	Wem hät er de nig Geschicht vertellt.
ab	11132	Schwarzwald	1	Wân heât a de naue Geschichte erzeâlt?
ab	11149	Wipfra	1	Waen hatte en di neie Geschichte erzoahlt.
ab	11180	Remda	1	Wân hateren d'neie Geschichte erzehlt?
ab	11197	Zeutsch	1	Wan hotter die naue Geschichte erzählt.
ab	11212	Breitenhain	1	Wām hat ār die Neue Geschichte erzählt?
ab	11230	Burkersdorf	1	Waen hott er die neue Geschichte erzohlt?
ab	11252	Seelingstädt	1	Wam hot ar die naue Geschichte darzohlt?
ab	11262	Seebach	1	Bähr hättnd nobe Geschichten erzahlt.
ab	1133	Debenke	1	Wem hät hei dei nigä Geschichte vetällt.
ab	1139	Gliszcz	1	Wäm hätt hai dai nigg Geschicht fatällt.
ab	11467	Boilstädt	1	Wänn hätt är düh nauwe Geschöchte erzoalt?
ab	11485	Ingersleben	1	Wahn hätte di nuwwe Geschechte arzalld?
ab	1150	Czarze	1	Wem het he de nig Geschicht vatett.
ab	11515	Gutendorf	1	Wenn hat da de neie Geschechte erzählt.
ab	11539	Kleinschwabhausen	1	Wān hatte 'n die neie Jeschichte ārzählt?
ab	11568	Thalbürgel	1	Wän hatte de naue Geschichte erzehlt?
ab	1157	Bielczyny	1	Wem hat er die neu G'schichte verzählt?
ab	11586	Bad Köstritz	1	Wan hottern die naue Geschichte derzehlt?
ab	11607	Lumpzig	1	Wann hotte de naue Geschichte drzohlt?
ab	1162	Sierakowo	1	Wäm hett hei dei nigg Geschicht vetellt?
ab	11645	Gleismuthhausen	1	Wann hottr die neu Gschicht däzielt?
ab	11673	Mitwitz	1	Wem hot er die neu G'schicht de ziehlt.
ab	11763	Aub	1	Ban hot 'r die neuea Gschichte verzehlt.
ab	1178	Sokoliniec	1	Weima het he de nik Geschicht vätält.
ab	11805	Seidmannsdorf	1	Warn hot'r die neua G'schicht d'rziealt?
ab	11825	Wallenfels	1	Wem hot e die neu' G'schicht eziehlt?
ab	11844	Neudorf	1	Wem ho_ut r die nei Gschicht erzillt.
ab	11864	Draisendorf	1	Wem hot ĕr die nei G'schicht derziehlt?
ab	11881	Sohl	1	Worn haut'r döi neu g'schichte d'rzillt?
ab	11896	Sülzdorf	1	Bann hatt'er die neu Geschichte d'rzehlt
ab	1192	Debsko	1	Wäe het die de nieg Geschicht vetällt?
ab	11927	Bachfeld	1	Wäm hott'r die neu G'schicht drziählt?
ab	1197	Plociczno	1	Woime hät he de nieg Geschicht vetällt.
ab	1203	Nakielno	1	Weim hät he de nig Geschicht vetellt?
ab	12037	Hildburghausen	1	Wan hot'r die neue G'schichte erzehlt?
ab	12070	Neuenbau	1	Wann hot 'r die neu Geschicht d'rzihlt?
ab	1208	Wissulke (Wiesiółka)	1	Weim hett he de nieg Geschicht vätellt?
ab	12085	Grumbach	1	Wann hott är denn die neie Geschicht darziehlt.
ab	12104	Frössen	1	Wem hott'r de neie Geschicht d'rzillt?
ab	12125	Schwand	1	Wem hot'r de nei Geschicht erzieehlt?
ab	12148	Kottengrün	1	Wem hot er die neue Geschicht derziehlt?
ab	1215	Paruszka	1	Wäm hätt hei dei nig Geschicht vatellt?
ab	12153	Meiningen	1	Bam hatt er di neu Geschichte e[?]rzählt.
ab	12167	Altendambach	1	Wann host'n die neu Goschichte dörzahlt?
ab	12184	Altenfeld	1	Wan hot er denn die neu Geschicht erziehlt?
ab	12341	Rohrbach	1	Wan huate än die naube Geschichte arzählt?
ab	12371	St. Jacob bei Leutenberg	1	Wän hat'r die naue Geschichte erzehlt?
ab	12390	Neundorf (bei Schleiz)	1	Wän (Wen) hat' r'n döi neue G'schicht' 'rzehlt.
ab	12410	Ebersgrün	1	Wem hot arn die neie Geschichte darzehlt.
ab	12428	Roitzschau/Rotschau	1	Wann hotr de neie Gschicht erzehlt?
ab	12496	Horsdorf	1	Wem hout è die neua G'schichte èzîêhlt.
ab	12529	Ködnitz	1	Wem hoter denn die nei Gschicht däzielt?
ab	12556	Kornbach	1	Wem hot er die nai Gschicht derzihlt.
ab	12572	Habnith	1	Wem haut er die neua Gschicht erzialt?
ab	12594	Uchenhofen	1	Wann hotter die neu Geschich d'rzählt.
ab	12616	Reutersbrunn	1	Wann hett'r die neu Gschichte erziehlt?
ab	12656	Weismain	1	Wem hot er die neu Gschicht derzehlt?
ab	1278	Insko	1	Wemma het 'ĕ de nij Geschicht vĕtellt.
ab	1287	Konotop	1	Weim hätt he de nig Geschicht vetällt?
ab	12876	Lohma	1	Wan hotter de naue Geschichte d'rzohlt?
ab	12898	Heiersdorf	1	Wenn hat'r die neu Geschicht erzehlt?
ab	12921	Sachsenburg	1	Wahn hott'a die neu' G'schicht' dazählt?
ab	12942	Rothenfurth	1	Wam hadr de neue Geschichd arzahld?
ab	1296	Zabin	1	Weim hät he de nieg Geschicht vetellt?
ab	12969	Borlas	1	Wan hott'r de neuie Geschichte erzählt?
ab	13005	Dohna	1	Wahn hett'n de neie Geschichte drzahlt?
ab	13019	Porschdorf	1	Wem hat'r die neue Geschichte derzahlt?
ab	13047	Morgenröthe	1	Wäm hot er die Geschicht erzehlt (Geschichterzehlt) ?
ab	13054	Rittersgrün	1	Wään hoter dä die neie Gschicht därzehlt?
ab	1315	Kamien	1	Wäm hät hei dei nig Geschicht fätällt?
bc	13169	Saupersdorf	1	Wann hoter die neue Geschicht erzehlt?
bc	13187	Kühnheide	1	Wänn hat r die neue Geschicht derzöhlt?
bc	13210	Himmelmühle	1	Wann hot ar die neia Geschicht derzehlt.
bc	13226	Rübenau	1	Wan̄ hot er die neue Geschicht erzöhlt?
bc	13269	Thurm	1	Wem hot er die neie Geschichte erzehlt?
bc	13286	Ursprung	1	Wann hotr die neue Geschicht derzeehlt?
bc	133	Sosnowo	1	Wem hett hei dei nig Geschicht vatellt.
bc	13317	Dittmannsdorf	1	Wann hot ar de noia Gschicht darzehlt?
bc	13340	Grosshartmannsdorf	1	Wān hodd a die neie Gschicht dă zähld?
bc	13355	Reichenau	1	Wam hoat ar de neie Geschichte derzahlt.
bc	13372	Liebenau	1	Wan hat er'n de neie Geschichte derzählt?
bc	1338	Dzidno	1	Wemm hätt hei dei nich Geschicht vatällt.
bc	13529	Wang-Brückenberg	1	Wahm hod'a die neie Geschichte derzahlt?
bc	13543	Pisarzowice	1	Wahe hot a die neue Geschichte deezahlt?
bc	13559	Boguszow-Gorce	1	Wam hōt a die neue Geschichte (d) erzahlt?
bc	13655	Niederleutersdorf/Leutersdorf	1	Wam hade die noie Geschichte derzahlt?
bc	13678	Rohnau (-)	1	Woahm hodder de neue Gschichte derzahlt?
bc	13700	Rebiszow	1	Wamm hoht a die neue Geschicht derzahlt?
