Index	Bogennummer	REDE_Namen	Sprache	WS8::Transliteration WS8
ab	10029	Ringhuscheid	1	D'Fiß duh mirr si=er wigh, öch gelöw, öch han si durchgelow.
ab	10044	Malberg	1	Die Fehß dohn mer dichtig wieh, ich glew ich hap se durchgeloof. 
ab	1009	Nowy Klukom	1	De Föt don mi weh, iik löw, iik häb's mi dörchlope. 
ab	1018	Lasko K Choszczna	1	De Föt don mie sehr weh, ick glöw, ick hebs dörchlope.
ab	10215	Pantenburg	1	De Föiß dou mir wih, ech mehnen, ech hätt se durchgeloof.
ab	1023	Golin	1	De Föt dohn mi sehe weh, ik löm, ik haw's dürloope.
ab	10230	Beuren	1	De Feß de mer se' wie, ech geläf, ich hamer se durch gelof. 
ab	10259	Mörsdorf	1	De Feß do mer ganz wieh, ech glaf ech hanse ganz dorchgelaf.
ab	10275	Badenhard	1	Die Fiß dho mer sehr weh, ich glew, ich hon se dur(i)chgelaf. 
ab	1029	Niekursko	1	D'Fött doo mi sehe wee, ik löw, ik hebbs mi dörchlopo.
ab	10300	Welterod	1	Dej Fejs doun m'r sähr weh, ich klawe ich hon sehe dorg kelaf.
ab	10315	Bleidenstadt	1	Die Füß dhun merr wih, ich glawe, ich hun se darch gelafe.
ab	10335	Espeler	1	Die Feß dun mir siehr wieh, ich jlewe, ich hen sie durchgelofen.
ab	1035	Stobno	1	De Föt doho mi sehe weh, ik löw ik hebb mi döch lopo.
ab	10351	Brandscheid	1	Die Füß dun mir sihr wih, ich glewen, ich hon see durchgeloufen.
ab	10368	Büdesheim	1	De Fes doun mirr sihr wih, ech gelefen, ech haonn se durechgeloof.
ab	10381	Waldkönigen	1	De Föß do mr wieh, ech g'löf, ech hôn se durchjeloof. 
ab	1050	Krostkowo	1	Dei Feuts dou mie sohe weh, ik löw, ik heb sei döch lope.  
ab	10584	Kalenborn	1	De Veß demer rächt we, ech gelawe, ech han se dourchgelaw. 
ab	10601	Gappenach	1	De Feß dehn mer sihr wie, ech gelaf ech han se durch gelaf. 
ab	10621	Rhens	1	De Föß do mer sier wieh, ech glawe, ech hon se durch gelauf. 
ab	10649	Attenhausen	1	Die Feiß Doun mr arg wih, äich glawe, ääich honse dorch gelaafe.
