Index	Bogennummer	REDE_Namen	Sprache	WS26::Transliteration WS26
ab	10029	Ringhuscheid	1	Hoanner usem Haus stinn dre-i schunger Äpelbämcher moat rukden Äpelcher.
ab	10044	Malberg	1	Hanner oaßem Haus stnig drei schienge Aapelbemcher mat ruden Äppelcher.
ab	1009	Nowy Klukom	1	Hinna osem Huus staua der schihne sleean [?] Appaböhm mät slehna roga Äpla.
ab	1018	Lasko K Choszczna	1	Hinni osem Hus stoa der schön Appabömke met rohde Appakin.
ab	10215	Pantenburg	1	Honner usem Haus stihn drei schenr Apelbäm met dä ruden Apeln.
ab	1023	Golin	1	Hinne odem Huus stahn dre schön Appelbömkes mit rhode Äppelkes.
ab	10230	Beuren	1	Honner osem Haus stiehn dreu schinne Äpelbämcher mot rude Äpelcher.
ab	10259	Mörsdorf	1	Hennech ofem Haus stin drei schiene Äpelbamcher met rore Äpelcher.
ab	10275	Badenhard	1	Hinnr osem Haus stehn drei schene Aepelbemcher met rore Aepelcher.
ab	1029	Niekursko	1	Hino oosen Hus steno der schejal Appabömkjus met rodu Äppakjus.
ab	10300	Welterod	1	Henner usem Haus schtehn drei schene Äbelbemercher mett ruhre Äbelcher.
ab	10315	Bleidenstadt	1	Hinnar unserm Haus stihn drei schine Ebbelbämcher mit rure Ebbelcher. 
ab	10335	Espeler	1	Honnen an ust Hos stohn dren schuner Äppelbermcher met rukden Appelche.
ab	1035	Stobno	1	Hinno osom Hus stünno dre stram Äpalböhmkos met rodo Äpakos.
ab	10351	Brandscheid	1	Hinner isem Haus stinn drei schiner Apelbämcher mat ruten Apelcher.
ab	10368	Büdesheim	1	Haonner ousem Hous stin drei schiner Äbelbemcher mat ruden Aebelcher.
ab	10381	Waldkönigen	1	Honner osem Hous stiehn dre-i schühner Ääpelböhmcher mot ruhden Ääpelcher.
ab	1050	Krostkowo	1	Hine usem Hus stoune drei grel Apelböm mit rode Apel.
ab	10584	Kalenborn	1	Hönner osem Haus stien dreu schunner Äbbelbum met ruden Äbbelcher.
ab	10601	Gappenach	1	Henner osem Haus stin drei schene Appelbämche met rude Äppelche.
ab	10621	Rhens	1	Henner onsem Haus stien drei schöne Appelbämcher met ruthe Appelcher.
ab	10649	Attenhausen	1	Hinnär ischem Hüs schtend dri hibschi Äpfilboimjim mit rotn Äpfiltini.
ab	10663	Heringen	1	Hener unserm Haus stihn dri schine Äppelbehm mit rure Äppel.
ab	10690	Honsfeld	1	Henter os Hus stohn drei schuner Aepelbömcher met ruden Äpelcher.
ab	10697	Dahlem	1	Henner osem Hus stoon drie schüner Äpelbämcher met ruede Äppelcher.
ab	10709	Aremberg	1	Henner osem Haus stohn drei schöne Appelbämen mit ruten Appeln.
ab	10736	Hohenleimbach	1	Henner ossem Haus stahn drei feine Appelbömcher met rude Appelcher.
ab	10857	Hatzfeld (Eder)	1	Henner inserm Haus sti drei schön Äpelbämercher mit rohre Äpelcher.
ab	10974	Haindorf	1	Hönner onsem Huhs stenn dräi schönne Äpfelsbäumerln met rothe Äpfels. 
ab	110	Rozpedziny	1	Hinger onßeem Hus stohne dre schöne Aeppelbömkes met rode Aeppelkes.
ab	11132	Schwarzwald	1	Henger unsen Hus stenn drei schüane Apfelbämchen met ruaten Äpfelchen. 
ab	11149	Wipfra	1	Henger onsern Huse stinn drei schiene Äpfelbeeme met rueten Äpfelchen.
ab	11180	Remda	1	Henger unsen Hause schtihn drei schiene Äpfelbemchn met ruthn Äpfeln.
ab	11197	Zeutsch	1	Hinger unsen Hause stiehn drei schiene Äpfelbämchen mit ruthen Äpfeln. 
ab	11212	Breitenhain	1	Hinger onsen Hause stiehn drei schine Äpfelbämlich mit ruthen Äpflig.
ab	11230	Burkersdorf	1	Hiner unsen Hause stiehn drä schüne Äpfelbemchen mit ruthen Äpfeln.
ab	11252	Seelingstädt	1	Hinter unserm Haus stiehn drei schiene Äpfelbäme mit ruthen Äpfeln.
ab	11262	Seebach	1	Hiner üsem Hus staue dri schön Öpfelbäm mit rote Öpfle.
ab	1133	Debenke	1	Hinä usem Hius stanha drei grell Apelbömkes mit rodä Apelkes.
ab	1139	Gliszcz	1	Hinna usem Huß schtau(?) drei gräs Äppelbömkes mit rohde Äppelkas.
ab	11467	Boilstädt	1	Hinger unsen Hus stinn dräi Äpfelbäume mätt ruthen Äpfelchen.
ab	11485	Ingersleben	1	Henger onsern Hause stenn dri schiene Äpfelbeimchen met ruothen Äpfelchen.
ab	1150	Czarze	1	Hinge onsem Hus stone dre schmok Aepelbemkes met rod Aepelkes.
ab	11515	Gutendorf	1	Henger onsen Hause stiehn drei schiene Äpfelbeeme.
ab	11539	Kleinschwabhausen	1	Henger onsen Hause schtiehn drei schiene Appelbeemchen mätt ruthen Äpplchen.
ab	11568	Thalbürgel	1	Hinger onsern Hause stiehn drei schine Apelbömchen met ruthen Aepelchen. 
ab	1157	Bielczyny	1	Hinter unserm Haus stehen drei schöne Aepfelbämle mit rothe Aepfala.
ab	11586	Bad Köstritz	1	Hinner unsern Hause stihn drei schiene Eppelbemchen mit ruthen Eppelchen. 
ab	11607	Lumpzig	1	Henger unsn Hause stiehn drei schine Aeppelbeemchen mit ruthen Aeppelchen. 
ab	1162	Sierakowo	1	Hinge oasem Hus stoan drei schmokke Appelbömkes möt rode Aeppelkes.
