Index	Bogennummer	REDE_Namen	Sprache	WS23::Transliteration WS23
ab	10029	Ringhuscheid	1	Mir se mid oan han dugscht.
ab	10044	Malberg	1	Mir sei mohd un ham duhscht.
ab	1009	Nowy Klukom	1	Wie sin möög o döstig (häbba dost).
ab	1018	Lasko K Choszczna	1	Wie sind möd un hebbe dörst.
ab	10215	Pantenburg	1	Me sä müd un han duscht.
ab	1023	Golin	1	Wie sünd mööd u hewwe dost.
ab	10230	Beuren	1	Mir sei med un he duscht.
ab	10259	Mörsdorf	1	Mai seu met und hon dorscht.
ab	10275	Badenhard	1	Mir sen mid un hon durst.
ab	1029	Niekursko	1	Wi sinn möd on hebbon dost.
ab	10300	Welterod	1	Mir senn mejd un hon dorscht.
ab	10315	Bleidenstadt	1	Merr sinn mid unn hunn dorscht.
ab	10335	Espeler	1	Mirr sinn mid und han'n duscht.
ab	1035	Stobno	1	Wi sin möd u hebe dost.
ab	10351	Brandscheid	1	Mer senn möd un han durscht.
ab	10368	Büdesheim	1	Mer sinn meed un haon Douscht.
ab	10381	Waldkönigen	1	Mer seni möhd en hon dohscht.
ab	1050	Krostkowo	1	Wi sün meid u hebe döß.
ab	10584	Kalenborn	1	Mir seun möd un han duscht.
ab	10601	Gappenach	1	Mer sein med on han Durscht.
ab	10621	Rhens	1	Mir sein möd on honn durscht.
ab	10649	Attenhausen	1	Wiär si miädi u hei Durscht.
ab	10663	Heringen	1	Mer sen alle wil mäid, mer hun dorscht.
ab	10690	Honsfeld	1	Mer se möd on han duscht.
ab	10697	Dahlem	1	Mer se möd on han dusch.
ab	10709	Aremberg	1	Mir sen möd on  han durscht.
ab	10736	Hohenleimbach	1	Mr sein möd on han durscht.
ab	10857	Hatzfeld (Eder)	1	Wer sei mire un hüh dorscht.
ab	10974	Haindorf	1	Mäi sen möüd on hon duhrst.
ab	110	Rozpedziny	1	Wie send möd on häbe dörscht.
ab	11132	Schwarzwald	1	Mia sinn müade an han dorscht.
ab	11149	Wipfra	1	Me sinn miede oan honn dorscht
ab	11180	Remda	1	Me sinn mide onn ham dorscht.
ab	11197	Zeutsch	1	Mer sin müde un hun durscht.
ab	11212	Breitenhain	1	Mer sin müde un hon dorscht.
ab	11230	Burkersdorf	1	Mr sin müde un hobn durst.
ab	11252	Seelingstädt	1	Mir sind müh und han darscht.
ab	11262	Seebach	1	Mehi sin müide un han dorscht.
ab	1133	Debenke	1	Wie sün meud u hebä döstä.
ab	1139	Gliszcz	1	Wi synd moid u häbbe döst.
ab	11467	Boilstädt	1	Müh sinn müede un hann dorscht.
ab	11485	Ingersleben	1	Mie sinn miede on hon dorscht.
ab	1150	Czarze	1	Wi sind med on hebe Dest.
ab	11515	Gutendorf	1	Mi sinn miede on honn dorscht.
ab	11539	Kleinschwabhausen	1	Mr sen mide on hun dorscht.
ab	11568	Thalbürgel	1	Mer sin mide on hun dorscht.
ab	1157	Bielczyny	1	Mir sinn müad und henn durscht.
ab	11586	Bad Köstritz	1	Me sin mide un him dorscht.
ab	11607	Lumpzig	1	M'r sin mide un hunn dorscht.
ab	1162	Sierakowo	1	Wi söed meid o hebbe deäst.
ab	11645	Gleismuthhausen	1	Mer senn med un ham duäscht.
ab	11673	Mitwitz	1	Wie sin müd und hatn durscht.
ab	11763	Aub	1	Mer sen müed un hom durscht.
ab	1178	Sokoliniec	1	Wi sinn mög u hebba Döst.
ab	11805	Seidmannsdorf	1	M'r sen müd und hemm durscht.
ab	11825	Wallenfels	1	Wie sin mü und hobm duost.
ab	11844	Neudorf	1	Mir senn meih und ham dorscht.
ab	11864	Draisendorf	1	Mer senn müh und hann durscht.
ab	11881	Sohl	1	Ma sen möi u han Durscht.
ab	11896	Sülzdorf	1	Mr senn müd on hon durscht.
ab	1192	Debsko	1	Wie sind möd u hebbe döst.
ab	11927	Bachfeld	1	M'r senn müed un heb'm duest.
ab	1197	Plociczno	1	Wi sin möd o häbba döß.
ab	1203	Nakielno	1	Wi sina möd un häbba dosst.
ab	12037	Hildburghausen	1	M'r sen müd un ham dorscht.
ab	12070	Neuenbau	1	Mir senn müd und ham duest.
ab	1208	Wissulke (Wiesiółka)	1	Wi sinn möd u hebbä dost.
ab	12085	Grumbach	1	Mir saien mih unn ham dorscht.
ab	12104	Frössen	1	Wir sänn meöh und hamm dorscht.
ab	12125	Schwand	1	Merr sänn mieh unn hamm dorscht.
ab	12148	Kottengrün	1	Wer sin müh un habm duersch.
ab	1215	Paruszka	1	Wi sünn meud uh häbbe döst.
ab	12153	Meiningen	1	Mr senn mid unn henn Durst.
ab	12167	Altendambach	1	Wir senn müd o hon duöst.
ab	12184	Altenfeld	1	Mer sen med un hon duhsscht.
ab	12341	Rohrbach	1	Mieh sin müde un hon dorscht.
ab	12371	St. Jacob bei Leutenberg	1	Mir sin mide un hon dorscht.
ab	12390	Neundorf (bei Schleiz)	1	M'r sen möih un ham dorscht.
ab	12410	Ebersgrün	1	Mir sei mih und ham durscht.
ab	12428	Roitzschau/Rotschau	1	Mr sei müh unn ham dorscht.
ab	12496	Horsdorf	1	Wie sen müd und ham Duescht.
ab	12529	Ködnitz	1	Mir sen mü, haben durst.
ab	12556	Kornbach	1	Wir sen müd und ham durscht.
ab	12572	Habnith	1	Wia sen möid und haben durscht.
ab	12594	Uchenhofen	1	Mar senn müad un höm duarscht.
ab	12616	Reutersbrunn	1	Mir san med um hebe derscht.
ab	12656	Weismain	1	Mä sen müd und ham duärscht.
ab	1278	Insko	1	Wi sin möd o hewwa Döest.
ab	1287	Konotop	1	Wi sinn möd o hebba Döst.
ab	12876	Lohma	1	M'r sin mide un hun Dorscht.
ab	12898	Heiersdorf	1	Mir sin müd un haben dorscht.
ab	12921	Sachsenburg	1	M'r sin müd un hob'n dorscht.
ab	12942	Rothenfurth	1	Mer sin mid un han dorschd.
ab	1296	Zabin	1	Wie sind möad u hebba döast.
ab	12969	Borlas	1	Mir seni müde un hann dorscht.
ab	13005	Dohna	1	Mie sein müde und hom dorscht.
ab	13019	Porschdorf	1	Mir sein mide und han durscht.
ab	13047	Morgenröthe	1	Wir sei müd und ham durst.
ab	13054	Rittersgrün	1	Mär sei müd un hamm dorscht.
ab	1315	Kamien	1	Wi sünn möd u habbn döuste.
bc	13169	Saupersdorf	1	Mer sei müh un hobn dorscht.
bc	13187	Kühnheide	1	Me sei mied un hom dorscht.
bc	13210	Himmelmühle	1	Wir sei mied un hob'nt dorscht.
bc	13226	Rübenau	1	Mer sei müd un ha dorscht.
bc	13269	Thurm	1	Wir sin müde un hoben darscht.
bc	13286	Ursprung	1	Mir sei mud an hoabn dorscht.
bc	133	Sosnowo	1	Wi sünd meur o hewwn döst.
bc	13317	Dittmannsdorf	1	Mar sein müd on hom (hobn) dorscht.
bc	13340	Grosshartmannsdorf	1	Mia sein mid un hon dorschd.
bc	13355	Reichenau	1	Mer sein miede un hem dorscht.
bc	13372	Liebenau	1	Merr sein müde und hann dorscht.
bc	1338	Dzidno	1	Wie sen moid uh häbbe döst.
bc	13529	Wang-Brückenberg	1	Mr sein miede an honn durscht.
bc	13543	Pisarzowice	1	Meer sein müde un honn derst.
bc	13559	Boguszow-Gorce	1	Wir sein müde und hon dorscht.
bc	13655	Niederleutersdorf/Leutersdorf	1	Mer senn mide und ham dorscht.
bc	13678	Rohnau (-)	1	Mir sein mide un ham durscht.
bc	13700	Rebiszow	1	Mirr sein miede an honn dorscht.
bc	13719	Siedlecin	1	Mirr sein müde on honn durscht (dorscht).
bc	13727	Myslow	1	Mir sein miede und honn durscht.
