Index	Bogennummer	REDE_Namen	Sprache	WS28::Transliteration WS 28
bc	13678	Rohnau (-)	1	Ihr dirft ne sichte Kinnereien treibn.
bc	13700	Rebiszow	1	Ihr därft ne sichte Kindereia treiba.
bc	13719	Siedlecin	1	Ihr dirft nä siche Kinschheta (Lappschheta) treiwa.
bc	13727	Myslow	1	Ihr tirrscht nich sulche Kinschheeta treiba.
bc	13745	Jugowa	1	Ihr darft ni sulche Kindereien treiben.
bc	13830	Wlodowice	1	Ihr derft ne selche K[e]nderei treiwa.
bc	13869	Biernacice	1	Ihr müßt ju nich immerfurt kinscha!
bc	13887	Rzymiany	1	Ihr derft nich silche Kindereien treiben.
bc	13898	Szadurczyce	1	Ihr to͡arscht nich sitte Kindereien treiben.
bc	13929	Stoszowice	1	Ihr darft ni sulche Kinderei'n treiba.
bc	13996	Lutomia Gorna	1	Ihr dirft nich sulche Kinderei'n treiba.
bc	14023	Roztocznik	1	Jhr därft nich sulche Kinderei treiba.
bc	1403	Dobieszewo	1	Ji dära ni soan Kinarig driwa.
bc	14034	Lipowa	1	Ihr dirft nich siche Kindereien treiba.
bc	14074	Michalow	1	Jhr dürft nich sitte Kinderän träb'n.
bc	14092	Karczow	1	Ihr dürft nich silche Kindereien treiben.
bc	14159	Jutrzyna	1	Ihr dürft nicht silche Kindereien treiben.
bc	1417	Rydzewo	1	Ji dörĕ nĭ sōn Kinĕrige driewĕ.
bc	14234	Brzoza	1	Ihr dürft nich sulche Kindereien treib'n.
bc	14250	Jaczkowice	1	Ihr dirft nich solche Kindereien treiben.
bc	14275	Piastowice	1	Ihr derft nich silche Kindscherein treiben.
bc	14305	Bozanow	1	Ihr dürft nie sune Kinderein treiba.
bc	1432	Rzepowo	1	Gi döra nih so an Kinnerig driwa.
bc	14321	Rogow Sobocki	1	Ihr türft keene sulche Tummhet macha.
bc	14382	Wölfelsdorf (Wilkanów)	1	Ihr derft nie sella Kendereien treien.
bc	1442	Lubowo	1	Ii dare ni sun Kinneriee driwe.
bc	14449	Thröm (Trebom)	1	Ihr terft noch sechche Kenderein treiwn. 
bc	14458	Szczytna	1	Ihr därft ne solche Kenderreia treiwa.
bc	14471	Jaszkowa Gorna	1	Ihr derft ne selchte Kendereia treiwa.
