Index	Bogennummer	REDE_Namen	Sprache	WS19::Transliteration WS19
ab	10029	Ringhuscheid	1	wän hat mär me-i Kuoarv moat Fleesch gestoallen.
ab	10044	Malberg	1	Wehn hat mir mengn Koorf mat Fleesch gestohelen.
ab	1009	Nowy Klukom	1	Weim hät mi miena Korf mät Flesch stohla?
ab	1018	Lasko K Choszczna	1	Wem hett mir miena Korf miet Flesch stohla?
ab	10215	Pantenburg	1	Wer hoat mir me Korw mat Fleesch gestollen?
ab	1023	Golin	1	Wähe het mi mine Kof mit Fleesch stahle?
ab	10230	Beuren	1	Bär hat mer meune Korf mot Fläsch gestohle?
ab	10259	Mörsdorf	1	Bäa hot mer meu Korf meth Flasch gestohl.
ab	10275	Badenhard	1	Wer hot mer meine Kor(e)b met Flaisch gestohl?
ab	1029	Niekursko	1	weim het mi mino Kor? met Flesch staualo?
ab	10300	Welterod	1	Wer hott m'r mein Korb mett Flaasch keschtohle?
ab	10315	Bleidenstadt	1	Wer hat mir mein Korb met Flaasch gestohle?
ab	10335	Espeler	1	wän hat mirr mengn Kuorf met Fleesch gestuolle?
ab	1035	Stobno	1	Weim hä mie mino Kof met Flesch stauhalo.
ab	10351	Brandscheid	1	Wen hout mir mengen Korv mat Fleesch jestoulen.
ab	10368	Büdesheim	1	Wäm haot m'r minge Korf maot Fleesch gestoïllen?
ab	10381	Waldkönigen	1	Wähn hât mr me-ine Korf môt Flehsch jestolle?
ab	1050	Krostkowo	1	We hät mi mene Kof mit Flesch staule.
ab	10584	Kalenborn	1	Ber had mer meunen Korw met Fleisch gestollen?
ab	10601	Gappenach	1	Ber hot mer meine Korf met Flasch gestolle.
ab	10621	Rhens	1	Wer hot mir meine Korf met Fleisch gestohle?
ab	10649	Attenhausen	1	Wär hott ma mein Korb met Flasch gestohle?
ab	10663	Heringen	1	Wer hot mer mein Korb met Flasch gestohle?
ab	10690	Honsfeld	1	Wenn hat mer mingen Korf met Flesch jestollen?
ab	10697	Dahlem	1	We hätt mir menge Korf met Flesch gestolle?
ab	10709	Aremberg	1	Wer hat mer mengen Korf mot Fleisch gestohlen.
ab	10736	Hohenleimbach	1	Bär hatt mr meine Korf met Flösch gestolle?
ab	10857	Hatzfeld (Eder)	1	Wär hett mär mein Korb mit Fläsch gestohln.
ab	10974	Haindorf	1	Bähr had mäi min Kuhrb med Fleisch gestoll'n?
ab	110	Rozpedziny	1	Wer hät mi mine Korf met Flesch stohle?
ab	11132	Schwarzwald	1	Wâr heât miâ min Koârb met Fläsch gestolln?
ab	11149	Wipfra	1	Wäer hat mir minn Korb mett Fleesch gemuhst.
ab	11180	Remda	1	Wâr hat mer mein'n Korb met Flesch gestoll'n?
ab	11197	Zeutsch	1	War hot mir min Korb mit Flesch gestuhln?
ab	11212	Breitenhain	1	War hat mer män Korb met Flä(?)sch gestuhl'n?
ab	11230	Burkersdorf	1	Waer hot mir mein'n Korb mit Flesch gestuhl'n?
ab	11252	Seelingstädt	1	War hut mer meinen Kurb mit Flesch gestuhln?
ab	11262	Seebach	1	Bähr hätt mehi min Korb met Fleisch gemust.
ab	1133	Debenke	1	Wähä hät mi mine Kov mit Flesch stauhlä.
ab	1139	Gliszcz	1	Wä hätt mi miean Koof mit Fleasch staulä.
ab	11467	Boilstädt	1	Wär hätt mieh minn Korb mätt Fleisch gestohlen.
ab	11485	Ingersleben	1	War hät mi Korb mät Fleisch g'stolln?
ab	1150	Czarze	1	Wee het min Kip met Flesch stohle.
ab	11515	Gutendorf	1	War hat da mir'n Korb met'n Flesche gemaußt.
ab	11539	Kleinschwabhausen	1	War hat mir meinen Korb mätt Fleesch jemaust?
ab	11568	Thalbürgel	1	Wär hat mer meinen Korb met Flèsch gestuhlen.
ab	1157	Bielczyny	1	Wer hat mir mei' Korb mit Flaisch g'stohla?
ab	11586	Bad Köstritz	1	War hot mr mein Kurb mit Flesch gestuhln?
ab	11607	Lumpzig	1	War hott m'r mein Korb mit Fleesch gestulln?
ab	1162	Sierakowo	1	Wähe hett mi mine Karw möt Flösch stoahle?
