Index	Bogennummer	REDE_Namen	Sprache	WS11::Transliteration WS11
ab	10029	Ringhuscheid	1	Öch schloan döch gelöch moat däm Koachläffel ömt Uhren, du Aaf!
ab	10044	Malberg	1	Eich schlien dech gleich met dem Koochläfel um d'Uhren, dau Aaf.
ab	1009	Nowy Klukom	1	Ick schlau die glick mät däm Kaukleipa üm't Ohra, du Aup.
ab	1018	Lasko K Choszczna	1	Ick schloa die gliek mem Kauklepa umt Ohra, du Aff!
ab	10215	Pantenburg	1	Ech schleen dech deleich matt dem Koachlääfel um de Uhren, dau Aaf.
ab	1023	Golin	1	Ik schlah die glik mit'm Kokläpel üm't Ohre, du Ap!
ab	10230	Beuren	1	Euch(?) schlien dr geleuch de Koochläfel im de Uhre, dau Aff!
ab	10259	Mörsdorf	1	Ech schlon dech gleich merem Kochloffel im de Uhre, dau Aff!
ab	10275	Badenhard	1	Ich schlan dich gleïch me-rem Kochleffel em die Ohre, du Aff!
ab	1029	Niekursko	1	Ik schlau di glick mem Kaukleipa üm d'Ohro, du Aup.
ab	10300	Welterod	1	Ich schlohn d'r kleich merem Kochleffel em dej Ohre, du Aff.
ab	10315	Bleidenstadt	1	Ich schla(a)n dr fleich mit dm Kochlöffel um die Ohrn, du Aff!
ab	10335	Espeler	1	Ech schlog dich jen mat dem Kochlöffel im d'Uren, du Aaf!
ab	1035	Stobno	1	Ick schlau die gleich met dem Kauklejpa ümd Ohro, du Aup.
ab	10351	Brandscheid	1	Ech schloun dich glech mat dem Kouchläfel um die Urren, du Af.
ab	10368	Büdesheim	1	Ech schlaon dech gelech maot d'm Kauchlaifel im de Uhren, dou Aaf.
ab	10381	Waldkönigen	1	Ech schliehn dech jele-ich mot dm Koochläffel öm de Uhren, dou Aaf!
ab	1050	Krostkowo	1	Ik schlau die gleich mi m Kaukläpel umd Ohrn, dei Aug
ab	10584	Kalenborn	1	Ech schlin dech geleuch met dem Kochläffel em de Uren, du Afwi!
ab	10601	Gappenach	1	Ech schlin dech jeleich met dem Kachläffel im de Uhre, du Aff!
ab	10621	Rhens	1	Ech schlien dech gleich merrem Kochleffel om de Uhre, dau Aff??
ab	10649	Attenhausen	1	Äich schlon dich gläich met dein Kochleffel emm die Ohrn, du Aff.
ab	10663	Heringen	1	Ich schlon dich glo(?)ch mit dem Kochleffol im die Uhrn, dau Aff!
ab	10690	Honsfeld	1	Ich schlohn dich jelich met dem Kochläffel öm die Uhren, du Aff'!
ab	10697	Dahlem	1	Ech schlo dech glich met dem Kauchläffel öm de Uhre, du Aff.
ab	10709	Aremberg	1	Ech schlou dech glich mot dem Kochlöffel öm dä Uhren, dou Affe.
ab	10736	Hohenleimbach	1	Ech schlohn dech jeleich met dem Kochlöffel öm de Uhre dau Aff'!
ab	10857	Hatzfeld (Eder)	1	Ech schloh dech glech merrem Kochlâffel im de Ohrn du Affa.
ab	10974	Haindorf	1	Ich schlön dich gläich met den Kochläffel öm de Ourn, du Aff!
ab	110	Rozpedziny	1	Ick schlog di jleich met dem Kocklöpel öm de Ohre, du Op.
ab	11132	Schwarzwald	1	Ech schlo dich gleich met dân Kochläffel em de Uhren, du Aff!
ab	11149	Wipfra	1	Ech schloh dich gliech mett'n Kochläffel henger de Uhren, du Affe.
ab	11180	Remda	1	Ech schlag déh gleich met'n Kochläffel em d'Uhr'n, du Affe!
ab	11197	Zeutsch	1	Ich schlohtch gleich mitten Kuchlöffel im die Uhrn, du Offe!
ab	11212	Breitenhain	1	Ich schlon dich gleich mötten Kochlāffel öm de Uhr'n, du Affe!
ab	11230	Burkersdorf	1	Ich schlo dich glä mitten Kuchläffel im de Uhren, du Affe!
ab	11252	Seelingstädt	1	Ich schla dich glei mit dem Kuchlöffel um de Uhrn, du Aff.
ab	11262	Seebach	1	Ich schmist dich glech met n Kochleffer üm d Uhr, dau Aff.
ab	1133	Debenke	1	Iksch schla die gleich mit dem Kaukläpe ümm dei Eohrä, diu Aup.
ab	1139	Gliszcz	1	Ÿk schla di glaich mit dem Kaukläpel ÿmm d' Ohre du Aup.
ab	11467	Boilstädt	1	Ech schloh dech klich mätt dän Kochläffel hinger de Uhren, du Aff.
ab	11485	Ingersleben	1	Ech schlo dich glich mädden Kochläffel em de Uhren, du Affe.
ab	1150	Czarze	1	Ek schlo di glick met dem Kockloepel em de Ohre du Op.
ab	11515	Gutendorf	1	Ech schlot'ch gleich met'n Kochläffel em de Uhr'n du Affe.
ab	11539	Kleinschwabhausen	1	Ech schloh d'ch  gleich mät'n Kochläffel em de Uhr'n, du Affe!
ab	11568	Thalbürgel	1	Ich schlo dich mit dem Kuchläffel em die Uhren, du Offe!
ab	1157	Bielczyny	1	I schlag di glei' mit'm Kochlöffel um d'Ohra, du Aff!
ab	11586	Bad Köstritz	1	Ich schlo dch glei mit'n Kuchlöffel im de Uhren, du Offe!
ab	11607	Lumpzig	1	Ich schlo d'ch glei mitn Kuchläffel im de Uurn, du Offe!
ab	1162	Sierakowo	1	Oeck schlo dn fort(?) möt dem Koaklöpel emd Ohre, du Oap!
ab	11645	Gleismuthhausen	1	Ich schla dich gleich mittn Kuchelöffl üm die Urn, du Aff!
ab	11673	Mitwitz	1	Ich schla dich gleich mit ne Kuchalöffel um die Ohrn, du Aff!
ab	11763	Aub	1	Ich schlo dich dleich mitn Kochalöffel öm die Ohrn, du Affagsicht.
ab	1178	Sokoliniec	1	Ick schlau di glik mimm Kaukleipa ümt Ohra, du Aff.
ab	11805	Seidmannsdorf	1	Ich schlah dich gleich mit d'n Kugalöff'l üm die Uhrn, du Aff.
ab	11825	Wallenfels	1	Ich schleug di gleich mit'n Kuchalöffel üm die Ohn, du Aff'!
ab	11844	Neudorf	1	E-ich schla de-ich gleich mitn Kochlöffel im die Ohrn, do-u Aff!
ab	11864	Draisendorf	1	Ich schlao dich gleich mitn Kochlöff'l im die Ohr'n, du Aff'!
ab	11881	Sohl	1	Ich schlua d'r glei mit'n Kochlöff'l im di auern, du aff!
ab	11896	Sülzdorf	1	Ich schlag dich gleich mit'n Kochleffol öm die Orn, du Aff'!
ab	1192	Debsko	1	Ick schlau die glik mit demm Koakleipa ümd' Ohre, du Aup!
ab	11927	Bachfeld	1	Ich schla' dich gleich mit'n Kuchchelöffel um die Uhr'n, du Aff!
ab	1197	Plociczno	1	Ick schlau di glieck mit dem Koakläipa ümmt Ohra, du Aup.
ab	1203	Nakielno	1	Ick schalu die glik mett dem Kokleipa ümm de Ohra, du Aup!
ab	12037	Hildburghausen	1	Ich schla d'r gleich mit'n Kuchelöff'l hint'r die Ohr'n, du Aff!
ab	12070	Neuenbau	1	Ich schlaa dich gleich mit d'n Kuchchelöffel um die Uhren, du Aff!
ab	1208	Wissulke (Wiesiółka)	1	Ick schlau di glick mett'm Kaukleipa üm d'Ohrä, du Aup!
ab	12085	Grumbach	1	Ig schloh dich gleich mit dånn Kochlöffel imm då Uhr'n, du Aff!
ab	12104	Frössen	1	E-ich schlah dich gleich mit'n Kochleffel im de Ohr'n dou Aff'!
ab	12125	Schwand	1	Ich schlah dich (gleich) ost mit'm Kochlöffel imm de Ohrn, du Aff!
ab	12148	Kottengrün	1	Ich schla dich geleich mitn Kochlöffel im de Uohre, du Aff.
ab	1215	Paruszka	1	Ick schlau die glik mit demm Kaukläpä üm Ohre, du Aupp.
ab	12153	Meiningen	1	Ich schlö dich gleich mit dm Kochlöffel ömm die Ore, du Aff!
ab	12167	Altendambach	1	Ich schloä dich gleich mit n Kochlefföl öm die Orn, du Aff!
ab	12184	Altenfeld	1	Ich schlohe dich gleich mit'n Kichclöffel hinter die Uhrn, du Aff!
ab	12341	Rohrbach	1	Yech schlua diech gleich metn Kochläffl em de Uhrn, du Affe!
ab	12371	St. Jacob bei Leutenberg	1	Īch schl? Dich gleich mit'n Kuchleffel imm de Uhrn, du Affe!
ab	12390	Neundorf (bei Schleiz)	1	I' schla' dich gleich mit'n Kochlöff'l im d'Uhr'n, dau Aff'!
ab	12410	Ebersgrün	1	Ich schla dich glei mit'n Kochleffel imm de Uhrn, du Aff'.
ab	12428	Roitzschau/Rotschau	1	Ich schlah dich gleich mitn Kührlöffel hinner d'Uohrn, du Aff!
ab	12496	Horsdorf	1	I' schlog Dich gleich mit'n Kucheloffel üm die Ohr'n, Du Aff!
ab	12529	Ködnitz	1	Ich schlog dich gleich mit'n Kuchelöffl im die Ohrn rim, du Aff!
ab	12556	Kornbach	1	Ich schlog dich gleich mitn Kochlöffel im die Ohrn, du Aff!
ab	12572	Habnith	1	Ich schlag dé gleich mit'n Kochlöffl um die Auen, du Aff!
ab	12594	Uchenhofen	1	Ich schla dich gleich mitn Kochalöffel üm die Ohrn, du Aff!
ab	12616	Reutersbrunn	1	Ich schla dich gleich mit'n Kuachalöffl a die Uohre, du Aff!
ab	12656	Weismain	1	Ich schlog dir glei mit'n Kugälöff'l auf die Ohn, du Maulaff!
ab	1278	Insko	1	Ik schlŏă dī glīk mi'm Koaklēpa üm d'Oara, du Oap.
ab	1287	Konotop	1	Ick schlau di glik mit dem Kaukleipa umm de Ohra, du Aup!
ab	12876	Lohma	1	Ich schlo d'ch glei mit'n Kuchleffel im de Uhr'n, du Offe!
ab	12898	Heiersdorf	1	Ich schlo dich gleich met'n Kochlöffel um'd Uhren, du Aff!
ab	12921	Sachsenburg	1	Ich schloa d'ch glei mit'n Kouchleffel im d'Uhr'n, du Off'!
ab	12942	Rothenfurth	1	Ich schlå d'ch glei mid'dn Kóchleffel um de Ohr'n, du Åff'!
ab	1296	Zabin	1	Ick schlau die glieck mit demm Koakleupa um d Ohra, du Aff.
ab	12969	Borlas	1	Ich schlog dich glei mit'n Kuchläffel im de Uhrn, du Offe.
ab	13005	Dohna	1	Ich schloatch glei mitt'n Kuchlöffel im die Uhr'n, du Affe!
