Index	Bogennummer	REDE_Namen	Sprache	WS29::Transliteration WS29
ab	10029	Ringhuscheid	1	As Bärg se net si=er hih, irr se vill hiher.
ab	10044	Malberg	1	Ohß Berig sinn net sihr hieh de eiern s[ei/in?] fiel h[ie?]her.
ab	1009	Nowy Klukom	1	Us Bääg sin ne se|eh hoch, jug (: g. Gaumenl.) sin vei|a höge.
ab	1018	Lasko K Choszczna	1	Os Barg sin ni se hoch, jug sin fä a höje.
ab	10215	Pantenburg	1	Ous Berg sein nöt sehr hüe, eier sen viel hüher.
ab	1023	Golin	1	Os Baag sünn ni sehe hoch, juge sünn vill hööge.
ab	10230	Beuren	1	Os Barg seé net sier huh, auer seé vill hua.
ab	10259	Mörsdorf	1	Us Berg sei net ganz so huh, die auere sei viel hia.
ab	10275	Badenhard	1	Us Berge sen=et sehr hoch, die aure sen viel höjer.
ab	1029	Niekursko	1	Os Bag sin sehe hoch, jug sinn no veia höge.
ab	10300	Welterod	1	Us Berge senn nett sihr huk, dej äjer senn vill heher.
ab	10315	Bleidenstadt	1	Unser Be(a)rge sinn nitt sehr huch, die eiere sinn vill hiherr.
ab	10335	Espeler	1	As Biërg sine nitt siehr heh; de irr sin vill hiher.
ab	1035	Stobno	1	Os Bag sin ni sehe hoch, juk sin veia höge.
ab	10351	Brandscheid	1	Is Bärg senn net sou hih, die eiren senn viel hiher.
ab	10368	Büdesheim	1	Ous Bereg sinn nätt sir hi, euer sinn vill hier.
ab	10381	Waldkönigen	1	Os Berg se-in net siehr hüh euer se-i vill hüher.
ab	1050	Krostkowo	1	Us bag sün ni sehe hoch, jug sün väl h[öc/ä?]hn
ab	10584	Kalenborn	1	Os Bärg seun net sür hu, de oauer seuen vil huer.
ab	10601	Gappenach	1	Os Berg sein net siehr huh, de uhre sein vill hieher.
ab	10621	Rhens	1	Os Berig sein net sihr huh, die euer sein vill huher.
ab	10649	Attenhausen	1	Us Bärge senn net org huch, dei ouern senn vill hiher.
ab	10663	Heringen	1	Us Berje san net su huch wäi die auern, auer sen hécher.
ab	10690	Honsfeld	1	Os Berg sen net sihr höch, d'ör sen vell höcher.
ab	10697	Dahlem	1	Oos Berg se net sier hu, ür se vell huer.
ab	10709	Aremberg	1	Os Berg sen net sier huh, de euärä sen vill huher.
ab	10736	Hohenleimbach	1	Oß Berg' sein net arg huh, eur sein vill hüher.
ab	10857	Hatzfeld (Eder)	1	Inse Berge sei net sehr hok, owe sei viel heger.
ab	10974	Haindorf	1	Ons Bährk sen net sehr hoch, (de) euere sen vil höcher.
ab	110	Rozpedziny	1	Ons Barg send nich sehr hoch, jun send vel höcher.
ab	11132	Schwarzwald	1	Unse Bârge sinn nech siär huâch, die ubbere sinn veâl höcher.
ab	11149	Wipfra	1	Onse Bärge sinn nech sihre huech eire sinn väel höcher.
ab	11180	Remda	1	Unse Bärge sinn nech sihre huch, abber eire sinn väl hächcher.
ab	11197	Zeutsch	1	Unse Barge sin nich sehr huch, eire sin viel hicher.
ab	11212	Breitenhain	1	Onse Barge sin̄ nech sehr huch, eure sin̄ viel höcher.
ab	11230	Burkersdorf	1	Unsre Baerge sin̄ nich siehr huch, die ären sin̄ viel höcher.
ab	11252	Seelingstädt	1	Unsre Barge sind nicht sehre huch, die euern sin viel hüher.
